BOROUGH,SITE_STATUS,SITE_NAME,SITE_NUMBER,STREET_NUMBER,STREET_SUFFIX,STREET_NAME,POSTCODE,CITY,VOTER_ENTRANCE,HANDICAP_ENTRANCE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
BROOKLYN,A,PS 12,11537,430,,Howard Avenue,11233,Brooklyn,430 Howard Avenue (not used for voters),Enter on Prospect Place through school yard,,,16,41,363,3039174,3014570032,Ocean Hill,,,,,,
,A,Wyatt T. Walker Senior Housing,11517,2177,,Frederick Douglass Boulevard,10026,New York,2177 Frederick Douglas Blvd,2177 Frederick Douglas Blvd,,,,,,,,,,,,,,
QUEENS,A,Allen AME Senior Center,10590,112-04,,167 Street,11433,Jamaica,112-04 167th Street,112-04 167th Street,40.691478,-73.783335,12,27,266,4435291,4123220001,South Jamaica,"(40.691478, -73.783335)",24668,41,3,6,71
BROOKLYN,A,Marlboro Memorial Post,11493,300,,Avenue X,11223,Brooklyn,300 Avenue X,300 Avenue X,,,15,47,37402,3195077,3071940001,Gravesend,,,,,,
BROOKLYN,A,PAL-Wynn Center,11629,495,,Gates Avenue,11216,Brooklyn,495 Gates Avenue,495 Gates Avenue,,,3,36,265,3050974,3018090062,Bedford,,,,,,
MANHATTAN,A,George Washington High School,11620,549,,Audubon Avenue,10040,New York,549 Audubon Avenue,549 Audubon Avenue,,,12,10,277,1076751,1021600018,Washington Heights North,,,,,,
QUEENS,A,PS 201-Discovery School for Inquiry & Research,Q0228,65-11,,155 Street,11367,Flushing,65-11 155 Street,Rear Entrance on 156th Street,40.736939,-73.81325,8,24,122702,4146992,4067920100,Pomonok-Flushing Heights-Hillcrest,"(40.736939, -73.81325)",14509,25,3,24,65
QUEENS,A,The Center at Maple Grove,11745,127-15,,Kew Gardens Road,11415,Kew Gardens,127-15 Kew Gardens Road,127-15 Kew Gardens Road,,,9,29,216,4590254,4096310136,Kew Gardens,,,,,,
BROOKLYN,A,Crown Heights Apts,11187,1055,,St Johns Place,11213,Brooklyn,1055 St Johns Place,1055 St Johns Place,40.671307,-73.943295,8,35,339,3399146,3012500040,Crown Heights North,"(40.671307, -73.943295)",17615,16,2,48,49
MANHATTAN,A,Dewitt Clinton Center,10518,120,,East 110 Street,10029,New York,120 East 110 Street,120 East 110 Street,40.795097,-73.945316,11,8,172,1078931,1016370001,East Harlem South,"(40.795097, -73.945316)",12426,7,4,35,14
QUEENS,A,PS 191-Mayflower,Q0271,85-15,,258 Street,11001,Floral Park,85-15 258 Street,Entrance on 259th Street,40.73445,-73.709104,13,23,157903,4180083,4088010014,Glen Oaks-Floral Park-New Hyde Park,"(40.73445, -73.709104)",15785,63,3,16,63
BRONX,A,East Bronx Academy,11738,1716,,Southern Boulevard,10460,Bronx,1716 Southern Boulevard,"Exit 4, First door right of main entrance",,,3,17,161,2010604,2029830015,Crotona Park East,,,,,,
BROOKLYN,A,Brooklyn Prospect Charter School,11432,3002,,Ft Hamilton Parkway,11218,Brooklyn,3002 Ft Hamilton Parkway,3002 Ft Hamilton Parkway,40.648019,-73.978772,7,39,500,3123973,3053160001,Windsor Terrace,"(40.648019, -73.978772)",17620,9,2,27,45
QUEENS,A,Information Technology H. S.,11112,21-16,,44 Road,11101,Long Island City,21-16 44 Road,21-16 44 Road,40.748696,-73.946694,2,26,19,4005184,4004380026,Hunters Point-Sunnyside-West Maspeth,"(40.748696, -73.946694)",16858,53,3,33,66
QUEENS,A,JHS 157-Stephen A Halsey,Q0222,63-55,,102 Street,11374,Rego Park,63-55 102 Street,Side Entrance located midway on 63rd Drive,40.73233,-73.853759,6,29,721,4442846,4021260014,Forest Hills,"(40.73233, -73.853759)",14785,40,3,28,70
MANHATTAN,A,Washington Sq SE Ap,10007,505,,Laguardia Place,10012,New York,505 LaGuardia Place,Wooster Street,40.727542,-73.999293,2,1,5501,1008241,1005240001,West Village,"(40.727542, -73.999293)",12075,57,4,32,3
STATEN IS,A,Eltingville Lutheran Church,11426,300,,Genesee Avenue,10312,Staten Island,300 Genesee Avenue,300 Genesee Avenue,40.552704,-74.166845,3,51,14604,5073549,5055200145,Great Kills,"(40.552704, -74.166845)",10699,15,1,9,76
STATEN IS,A,PS 32 The Gifford School,S0034,232,,Barlow Avenue,10308,Staten Island,232 Barlow Avenue,232 Barlow Avenue,40.555758,-74.154529,3,51,14608,5070651,5054440012,Great Kills,"(40.555758, -74.154529)",10695,15,1,9,76
MANHATTAN,A,B'nai Jeshurun,11748,270,,West 89 Street,10024,New York,270 West 89 Street,270 West 89 Street,,,7,6,175,1033304,1012360058,Upper West Side,,,,,,
BROOKLYN,A,Cypress Hills Sr Housing Residences,11752,137,,Jamaica Avenue,11207,Brooklyn,137 Jamaica Avenue,137 Jamaica Avenue,,,5,37,114201,3326569,3034870021,Cypress Hills-City Line,,,,,,
BRONX,A,Mt. St. Michael Academy,X0155,4300,,Murdock Avenue,10466,Bronx,4300 Murdock Avenue,Corner of Nereid and Hill Avenue,40.897368,-73.842413,12,12,444,2087387,2050600001,Woodlawn-Wakefield,"(40.897368, -73.842413)",11275,29,5,2,30
BRONX,A,Van Nest Academy-PS/MS 498,11373,1640,,Bronxdale Avenue,10462,Bronx,1640 Bronxdale Avenue - poll site is on 2nd floor,1640 Bronxdale Avenue - poll site is on 2nd floor,40.845068,-73.858266,11,13,244,2116414,2040910001,Van Nest-Morris Park-Westchester Square,"(40.845068, -73.858266)",11271,59,5,12,32
MANHATTAN,A,PS 184M,11260,327,,Cherry Street,10002,New York,327 Cherry Street,327 Cherry Street,40.711494,-73.986492,3,1,201,1003143,1002450007,Lower East Side,"(40.711494, -73.986492)",11723,70,4,32,4
BROOKLYN,A,Hope Gardens Sr Ctr,B0101,195,,Linden Street,11221,Brooklyn,195 Linden Street,195 Linden Street,40.69538,-73.917579,4,37,417,3076116,3033240019,Bushwick South,"(40.69538, -73.917579)",18181,42,2,37,53
QUEENS,A,PS 166-Henry Gradstein,Q0145,33-09,,35 Avenue,11106,Astoria,33-09 35 Avenue,Rear School Entrance from 33rd Street,40.75737,-73.926709,1,26,57,4008220,4006100001,Astoria,"(40.75737, -73.926709)",16863,39,3,33,72
BRONX,A,PS 48 Joseph R. Drake,X0027,1290,,Spofford Avenue,10474,Bronx,1290 Spofford Avenue,Side School entrance on Coster Street,40.814373,-73.886888,2,17,93,2006680,2027660001,Hunts Point,"(40.814373, -73.886888)",12343,8,5,43,24
BROOKLYN,A,PS 120,B0088,18,,Beaver Street,11206,Brooklyn,18 Beaver Street,Left side of main entrance through school yard,40.700954,-73.938825,4,34,389,3071806,3031370026,Bushwick South,"(40.700954, -73.938825)",17213,42,2,30,53
QUEENS,A,Mary's Nativity Church,11041,46-02,,Parsons Boulevard,11355,Flushing,46-02 Parsons Boulevard,Side Entrance on Jasmine Avenue,40.754109,-73.813486,7,20,1201,4117775,4052130021,East Flushing,"(40.754109, -73.813486)",14190,22,3,3,67
BRONX,A,RIVERDALE -- YMY-WHA,X0237,5625,,Arlington Avenue,10471,Bronx,5625 Arlington Avenue,Second floor Recreational Room,40.905078,-73.907189,8,11,323,2086312,2059520374,North Riverdale-Fieldston-Riverdale,"(40.905078, -73.907189)",11609,48,5,40,33
BROOKLYN,A,Fort Hamilton Senior Center,11488,9941,,Fort Hamilton Parkway,11209,Brooklyn,main entrance,main entrance,,,10,43,162,3398498,3061530060,Bay Ridge,,,,,,
MANHATTAN,A,PS/JHS 117,M0140,240,,East 109 Street,10029,New York,240 East 109 Street,2nd Ave (Through walkway / Parking Lot),40.793035,-73.942389,11,8,170,1052433,1016560100,East Harlem South,"(40.793035, -73.942389)",12426,7,4,35,14
MANHATTAN,A,PS 175,M0081,175,,West 134 Street,10030,New York,175 West 134 Street,175 West 134 Street,40.814362,-73.943354,10,9,228,1058248,1019190006,Central Harlem North-Polo Grounds,"(40.814362, -73.943354)",12427,18,4,36,20
BROOKLYN,A,IS 88,10253,544,,7 Avenue,11215,Brooklyn,544 7 Avenue,544 7 Avenue,40.660048,-73.987707,7,38,147,3331276,3008800001,Sunset Park West,"(40.660048, -73.987707)",17617,9,2,7,45
QUEENS,A,PS 142-Queens Transition Center /Queens Academy,Q0047,142-10,,Linden Boulevard,11436,Jamaica,142-10 Linden Boulevard,Rear Parking Lot Entrance on 143rd Street,40.684087,-73.801465,12,28,192,4259200,4119720070,Baisley Park,"(40.684087, -73.801465)",24671,41,3,46,71
STATEN IS,A,Holy Rosary Par. Ctr,10417,85,,Jerome Avenue,10305,Staten Island,85 Jerome Avenue,85 Jerome Avenue,40.596458,-74.076151,2,50,64,5133958,5032700025,Grasmere-Arrochar-Ft. Wadsworth,"(40.596458, -74.076151)",10692,30,1,14,76
BROOKLYN,A,Midwood Catholic Academy,B0071,1501,,Hendrickson Street,11234,Brooklyn,1501 Hendrickson Street,1501 Hendrickson Street,40.619258,-73.934404,18,45,650,3337372,3078610025,Flatlands,"(40.619258, -73.934404)",13825,5,2,26,38
STATEN IS,A,The Michael J. Petrides School - Building K,10709,715,,Ocean Terrace,10301,Staten Island,715 Ocean Terrace,100 Milford Drive,40.609504,-74.104221,2,50,177,5113169,5006830001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"(40.609504, -74.104221)",10369,30,1,14,76
QUEENS,A,PS 130,Q0100,200-01,,42 Avenue,11361,Bayside,200-01 42 Avenue,Through Pathway on 201st Street between School and Park,40.759612,-73.784127,11,19,1463,4137034,4062030001,Bayside-Bayside Hills,"(40.759612, -73.784127)",14196,26,3,20,69
MANHATTAN,A,PS 149,M0215,41,,West 117 Street,10026,New York,41 West 117 Street,West 118th Street (Through Schoolyard),40.802142,-73.947505,10,9,190,1051434,1016010001,Central Harlem South,"(40.802142, -73.947505)",12423,18,4,36,18
BRONX,A,PS 11 Highbridge,X0025,1257,,Ogden Avenue,10452,Bronx,1257 Ogden Avenue,Entrance on Merriam Avenue through gated yard,40.839332,-73.92582,4,16,201,2003519,2025290081,Highbridge,"(40.839332, -73.92582)",10930,50,5,42,27
BROOKLYN,A,PS 89,11433,265,,Warwick Street,11207,Brooklyn,265 Warwick Street,Enter on the right side of the Main Entrance (Atlantic Ave),40.677162,-73.886667,5,37,1170,3397079,3039520047,East New York,"(40.677162, -73.886667)",17214,45,2,37,47
BROOKLYN,A,PS 244,11107,5404,,Tilden Avenue,11203,Brooklyn,5404 Tilden Avenue,To left of main entrance on East 55 Street,40.648368,-73.925986,17,45,946,3104513,3047390001,Rugby-Remsen Village,"(40.648368, -73.925986)",16866,61,2,26,40
BROOKLYN,A,Vandalia  Ctr,B0252,47,,Vandalia Avenue,11239,Brooklyn,47 Vandalia Avenue,47 Vandalia Avenue,40.650051,-73.886474,5,42,105804,3348859,3044310100,Starrett City,"(40.650051, -73.886474)",13830,45,2,25,47
QUEENS,A,PS 205-Alexander Graham Bell,Q0250,75-25,,Bell Boulevard,11364,Oakland Gardens,75-25 Bell Boulevard,75-25 Bell Boulevard,40.738307,-73.757027,11,23,129103,4164007,4077530001,Oakland Gardens,"(40.738307, -73.757027)",14506,26,3,16,69
BROOKLYN,A,Erasmus Hall HS,B0365,911,,Flatbush Avenue,11226,Brooklyn,911 Flatbush Avenue,Bedford Avenue & Erasmus Street,40.64958,-73.958412,14,40,794,3336215,3051030010,Erasmus,"(40.64958, -73.958412)",13510,60,2,11,43
STATEN IS,A,PS 8 Shirlee Solomon,S0073,112,,Lindenwood Road,10308,Staten Island,112 Lindenwood Road,Side entrance on Lindenwood Rd,40.548305,-74.152421,3,51,15601,5066295,5052210001,Great Kills,"(40.548305, -74.152421)",10695,15,1,9,76
MANHATTAN,A,PS 3,M0245,490,,Hudson Street,10014,New York,490 Hudson Street,490 Hudson Street,40.732572,-74.006384,2,3,73,1009872,1005850041,West Village,"(40.732572, -74.006384)",12077,57,4,10,3
BROOKLYN,A,Warbasse Bldg 4,B0159,2770,,West 5 Street,11224,Brooklyn,2770 West 5 Street,West Avenue,40.581281,-73.971448,13,47,354,3257105,3072500001,West Brighton,"(40.581281, -73.971448)",18184,21,2,45,35
STATEN IS,A,IS 72 Rocco Laurie,10298,33,,Ferndale Avenue,10314,Staten Island,33 Ferndale Avenue,33 Ferndale Avenue,40.593097,-74.15879,2,51,27706,5037524,5023640001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"(40.593097, -74.15879)",10700,30,1,9,75
