"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","K 533- School for Democracy and Leadership 600 Kingston Avenue","Brooklyn","CAMBA","718.282.5575","grades 6 to 8",,,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Voyagees Prepatory High School","Queens","Central Brooklyn Economic Development Corporation","(718) 592-5757"," High School",,,,,,,,,,
"Family Support,NDA Programs"," Housing","AIDS Center of Queens County Jamaica Site","Queens","St. Luke A.M.E Church","(718) 896-2500","Adults",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Services","Sanctuary for Families, Inc. (Manhattan) ","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.","212.349.6009           ext. 264","All Ages",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Services","Family Justice Centers in Queens and Brooklyn ","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.","212.349.6009           ext. 264","All Ages",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Safe Horizon - Immigration Law Project","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Safe Horizon, Inc.",,"All Ages",,,,,,,,,,
"Family Support,NDA Programs","Fatherhood Initiative","Friends of the Island Academy ","New York ","Friends of Island Academy","212.760.0755","16 to 24","330 38th Street
New York, NEW YORK 10018
(40.755442281976, -73.993381175372)",,,,,,,,,
"Family Support,NDA Programs","Fatherhood Initiative","Strive/East Harlem Employment Service, Inc. ","New York ","East Harlem Employment Services, Inc.","212.360.1100","16 to 24","240 123rd Street
New York, NEW YORK 10035
(40.801631007365, -73.935035566046)",,,,,,,,,
"Family Support,NDA Programs","Health Stat","Asian Americans for Equality","Queens","Asian Americans for Equality","(718)961-0888","All Ages","95 05 Roosevelt Ave
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.748936","-73.871635","3","21","273","4036629","4014830055","Jackson Heights                                                            ","11372"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Safe Space - Family Resource Center (Jamaica)","Queens","Safe Space","718.785.9062","All Ages","90 25 161st Street
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","40.705199","-73.799253","12","24","44601","4442231","4097600001","Jamaica                                                                    ","11432"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Manhattanville Houses Senior Center","New York","DeWitt","(800) 624-8474","Seniors","530 133rd Street
New York, NEW YORK 10026
(40.818106900531, -73.954490583741)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Murray Bergtraum HS","New York","BCA Sunset Park Asian Senior Center","(212) 748-1225"," High School","411 Pearl Street
New York, NEW YORK 10001
(40.711348522879, -74.000800582114)","40.711442","-74.000851","1","1","29","1001388","1001130100","Chinatown                                                                  ","10038"
"Family Support,NDA Programs","Healthy Families","Aids Center of Queens County","Queens","Father David Cassella Plaza","(718) 896-2500",,"1600 Central Avenue
Queens, NEW YORK 11691
(40.605264212936, -73.751891714766)","40.605182","-73.751962","14","31","103202","4297967","4155370147","Far Rockaway-Bayswater                                                     ","11691"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","New Heights Neighborhood Center","New York","Northern Manhattan Improvement Corporation","(212) 822-8300","16+","216 Ft Washington Avenue
New York, NEW YORK 10032
(40.842343769667, -73.942200758685)","40.842571","-73.942097","12","10","251","1063381","1021380079","Washington Heights South                                                   ","10032"
"Family Support,NDA Programs","Healthy Families","St. Raymond Community Outreach","Bronx","RBSCC","(718) 824-0353",,"1720 Metropolitan Avenue
Bronx, NEW YORK 10462
(40.840552520607, -73.853865592913)","40.840657","-73.85368","9","18","222","2041258","2039580010","Parkchester                                                                ","10462"
"Family Support,NDA Programs","Healthy Families","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Phipps Opportunity Center","(718) 331-6800",,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326706, -73.989192742721)","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           ","11214"
"Family Support,NDA Programs","Healthy Families","St. Dominic School / Italian American Civil Rights League","Brooklyn","Italian American Civil Rights League ","(718) 642-2180",,"1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.646077795287, -73.879950181902)","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              ","11239"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Boulevard Houses Senior Center","Brooklyn","YMPJ","(718) 345-5665","Seniors","726 Stanley Avenue
Brooklyn, NEW YORK 11207
(40.660160583971, -73.882023470829)","40.660225","-73.881862","5","42","1110","3324277","3043770001","East New York                                                              ","11207"
"Family Support,NDA Programs","Healthy Families","BCA Avenue U Senior & Youth Center","Brooklyn","Jaime Towers","(718) 438-0008",,"2072 15th Street
Brooklyn, NEW YORK 11229
(40.59945561594, -73.956558225028)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 166 GEORGE GERSHWIN (K166)","Brooklyn","IPR/HE Brooklyn Caregivers","(212) 652-2812","Middle School","800 VAN SICLEN AVENUE
Brooklyn, NEW YORK 11207
(40.660221698125, -73.885485457846)","40.66011","-73.885387","5","42","1104","3097675","3043490050","East New York                                                              ","11207"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Catholic Charities Community Service, Archdiocese of N Y","Manhattan","Catholic Charities Community Service, Archdiocese of N Y","212-419-3700","All Ages","1011 First Avenue
Manhattan, NEW YORK 10022
(40.757278332489, -73.963713878292)","40.757271","-73.963692","6","5","108","1039972","1013480023","Turtle Bay-East Midtown                                                    ","10022"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Center for Integration and Advancement of New Americans (CIANA)","Queens","New Immigrant Community Empowerment (NICE)","718.545.4040","All Ages","31 09 Newtown Avenue
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","40.767493","-73.920661","1","22","71","4536739","4006190020","Old Astoria                                                                ","11102"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","1081 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.631085769962, -73.966320469543)","40.631068","-73.966441","14","45","528","3178916","3066860076","Flatbush                                                                   ","11230"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","South Jamaica Houses","Queens","IS 252 ARTHUR S SOMMERS (K252)","(800) 624-8474","Seniors","106 62 160th Street
Queens, NEW YORK 11433
(40.698104881735, -73.787574033914)","40.697791","-73.794832","12","28","254","4451839","4101270001","South Jamaica                                                              ","11433"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Jackson Heights-Elmhust Kehilah","Queens","Jackson Heights-Elmhust Kehilah, Inc.","718.457.4591","ESOL/Civics","33 47 91st Street (Jackson Heights
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.755586","-73.876834","3","25","275","4431407","4014390001","Jackson Heights                                                            ","11372"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Henry Street Settlement's Helen Hall Youth Center","New York","CCCS South Bronx Center","(212) 766-9200"," High School","301 Henry Street
New York, NEW YORK 10002
(40.71399949306, -73.983398773047)","40.714054","-73.982797","3","1","202","1003737","1002880021","Lower East Side                                                            ","10002"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Latin American Integration Center","Woodside","Make the Road New York","(718) 418-7690 x 211","16+","46 09 Skillman Avenue
Woodside, NEW YORK 11377
(40.745193764481, -73.90484714408)","40.746551","-73.91782","2","26","169",,,"Hunters Point-Sunnyside-West Maspeth                                       ","11104"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Queens Community House","Queens","The Legal Aid Society","212-577-3292 ","All Ages","108 25 62nd Drive
Queens, NEW YORK 11375
(40.72070726303, -73.846284296083)","40.73591","-73.850212","6","29","745","4432108","4021590002","Forest Hills                                                               ","11375"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training","Bronx","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","750 Astor Avenue
Bronx, NEW YORK 10467
(40.859547368358, -73.865559186365)","40.859588","-73.865442","11","13","330","2050030","2043450029","Bronxdale                                                                  ","10467"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Lutheran Family Health Centers Adult & Family Education","Brooklyn","Lutheran Family Health Centers Adult & Family Education","(718) 630-7150 x 4070","16+","330 59th Street
Brooklyn, NEW YORK 11220
(40.642201614799, -74.019175801725)","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           ","11220"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","New Immigrant Community Empowerment (NICE) (Admin & Activity site)","Queens","New Immigrant Community Empowerment (NICE)","718.205.8796","18+","37 41 77th Street
Queens, NEW YORK 10302
(40.630833311108, -74.137734298699)","40.748031","-73.888838","3","25","287","4029910","4012880060","Jackson Heights                                                            ","11372"
