"year","disease","gender","borough_county","age_category","case_count"
"2017","Chronic Hepatitis B","FEMALE","BRONX","0-19","16"
"2017","Chronic Hepatitis B","FEMALE","BRONX","20-29","94"
"2017","Chronic Hepatitis B","FEMALE","BRONX","30-39","98"
"2017","Chronic Hepatitis B","FEMALE","BRONX","40-49","80"
"2017","Chronic Hepatitis B","FEMALE","BRONX","50-59","69"
"2017","Chronic Hepatitis B","FEMALE","BRONX","60-69","61"
"2017","Chronic Hepatitis B","FEMALE","BRONX","70+","31"
"2017","Chronic Hepatitis B","FEMALE","BROOKLYN","0-19","33"
"2017","Chronic Hepatitis B","FEMALE","BROOKLYN","20-29","215"
"2017","Chronic Hepatitis B","FEMALE","BROOKLYN","30-39","282"
"2017","Chronic Hepatitis B","FEMALE","BROOKLYN","40-49","166"
"2017","Chronic Hepatitis B","FEMALE","BROOKLYN","50-59","198"
"2017","Chronic Hepatitis B","FEMALE","BROOKLYN","60-69","139"
"2017","Chronic Hepatitis B","FEMALE","BROOKLYN","70+","53"
"2017","Chronic Hepatitis B","FEMALE","MANHATTAN","0-19","9"
"2017","Chronic Hepatitis B","FEMALE","MANHATTAN","20-29","71"
"2017","Chronic Hepatitis B","FEMALE","MANHATTAN","30-39","115"
"2017","Chronic Hepatitis B","FEMALE","MANHATTAN","40-49","69"
"2017","Chronic Hepatitis B","FEMALE","MANHATTAN","50-59","69"
"2017","Chronic Hepatitis B","FEMALE","MANHATTAN","60-69","56"
"2017","Chronic Hepatitis B","FEMALE","MANHATTAN","70+","26"
"2017","Chronic Hepatitis B","FEMALE","QUEENS","0-19","28"
"2017","Chronic Hepatitis B","FEMALE","QUEENS","20-29","165"
"2017","Chronic Hepatitis B","FEMALE","QUEENS","30-39","226"
"2017","Chronic Hepatitis B","FEMALE","QUEENS","40-49","180"
"2017","Chronic Hepatitis B","FEMALE","QUEENS","50-59","219"
"2017","Chronic Hepatitis B","FEMALE","QUEENS","60-69","159"
"2017","Chronic Hepatitis B","FEMALE","QUEENS","70+","61"
"2017","Chronic Hepatitis B","FEMALE","STATEN ISLAND","0-19","1"
"2017","Chronic Hepatitis B","FEMALE","STATEN ISLAND","20-29","10"
"2017","Chronic Hepatitis B","FEMALE","STATEN ISLAND","30-39","22"
"2017","Chronic Hepatitis B","FEMALE","STATEN ISLAND","40-49","13"
"2017","Chronic Hepatitis B","FEMALE","STATEN ISLAND","50-59","17"
"2017","Chronic Hepatitis B","FEMALE","STATEN ISLAND","60-69","18"
"2017","Chronic Hepatitis B","FEMALE","STATEN ISLAND","70+","4"
"2017","Chronic Hepatitis B","FEMALE","UNKNOWN","20-29","14"
"2017","Chronic Hepatitis B","FEMALE","UNKNOWN","30-39","29"
"2017","Chronic Hepatitis B","FEMALE","UNKNOWN","40-49","24"
"2017","Chronic Hepatitis B","FEMALE","UNKNOWN","50-59","17"
"2017","Chronic Hepatitis B","FEMALE","UNKNOWN","60-69","12"
"2017","Chronic Hepatitis B","FEMALE","UNKNOWN","70+","8"
"2017","Chronic Hepatitis B","MALE","BRONX","0-19","19"
"2017","Chronic Hepatitis B","MALE","BRONX","20-29","90"
"2017","Chronic Hepatitis B","MALE","BRONX","30-39","164"
"2017","Chronic Hepatitis B","MALE","BRONX","40-49","146"
"2017","Chronic Hepatitis B","MALE","BRONX","50-59","122"
"2017","Chronic Hepatitis B","MALE","BRONX","60-69","50"
"2017","Chronic Hepatitis B","MALE","BRONX","70+","33"
"2017","Chronic Hepatitis B","MALE","BROOKLYN","0-19","39"
"2017","Chronic Hepatitis B","MALE","BROOKLYN","20-29","227"
"2017","Chronic Hepatitis B","MALE","BROOKLYN","30-39","403"
"2017","Chronic Hepatitis B","MALE","BROOKLYN","40-49","275"
"2017","Chronic Hepatitis B","MALE","BROOKLYN","50-59","224"
"2017","Chronic Hepatitis B","MALE","BROOKLYN","60-69","189"
"2017","Chronic Hepatitis B","MALE","BROOKLYN","70+","69"
"2017","Chronic Hepatitis B","MALE","MANHATTAN","0-19","12"
"2017","Chronic Hepatitis B","MALE","MANHATTAN","20-29","72"
"2017","Chronic Hepatitis B","MALE","MANHATTAN","30-39","145"
"2017","Chronic Hepatitis B","MALE","MANHATTAN","40-49","120"
"2017","Chronic Hepatitis B","MALE","MANHATTAN","50-59","100"
"2017","Chronic Hepatitis B","MALE","MANHATTAN","60-69","65"
"2017","Chronic Hepatitis B","MALE","MANHATTAN","70+","31"
"2017","Chronic Hepatitis B","MALE","QUEENS","0-19","26"
"2017","Chronic Hepatitis B","MALE","QUEENS","20-29","134"
"2017","Chronic Hepatitis B","MALE","QUEENS","30-39","288"
"2017","Chronic Hepatitis B","MALE","QUEENS","40-49","261"
"2017","Chronic Hepatitis B","MALE","QUEENS","50-59","188"
"2017","Chronic Hepatitis B","MALE","QUEENS","60-69","162"
"2017","Chronic Hepatitis B","MALE","QUEENS","70+","61"
"2017","Chronic Hepatitis B","MALE","STATEN ISLAND","0-19","1"
"2017","Chronic Hepatitis B","MALE","STATEN ISLAND","20-29","8"
"2017","Chronic Hepatitis B","MALE","STATEN ISLAND","30-39","30"
"2017","Chronic Hepatitis B","MALE","STATEN ISLAND","40-49","22"
"2017","Chronic Hepatitis B","MALE","STATEN ISLAND","50-59","21"
"2017","Chronic Hepatitis B","MALE","STATEN ISLAND","60-69","17"
"2017","Chronic Hepatitis B","MALE","STATEN ISLAND","70+","7"
"2017","Chronic Hepatitis B","MALE","UNKNOWN","0-19","4"
"2017","Chronic Hepatitis B","MALE","UNKNOWN","20-29","24"
"2017","Chronic Hepatitis B","MALE","UNKNOWN","30-39","66"
"2017","Chronic Hepatitis B","MALE","UNKNOWN","40-49","43"
"2017","Chronic Hepatitis B","MALE","UNKNOWN","50-59","36"
"2017","Chronic Hepatitis B","MALE","UNKNOWN","60-69","16"
"2017","Chronic Hepatitis B","MALE","UNKNOWN","70+","2"
"2017","Chronic Hepatitis B","UNKNOWN","BRONX","20-29","1"
"2017","Chronic Hepatitis B","UNKNOWN","BRONX","40-49","1"
"2017","Chronic Hepatitis B","UNKNOWN","BROOKLYN","0-19","1"
"2017","Chronic Hepatitis B","UNKNOWN","BROOKLYN","20-29","1"
"2017","Chronic Hepatitis B","UNKNOWN","BROOKLYN","30-39","1"
"2017","Chronic Hepatitis B","UNKNOWN","BROOKLYN","40-49","1"
"2017","Chronic Hepatitis B","UNKNOWN","BROOKLYN","50-59","1"
"2017","Chronic Hepatitis B","UNKNOWN","BROOKLYN","70+","1"
"2017","Chronic Hepatitis B","UNKNOWN","MANHATTAN","20-29","1"
"2017","Chronic Hepatitis B","UNKNOWN","MANHATTAN","30-39","1"
"2017","Chronic Hepatitis B","UNKNOWN","MANHATTAN","70+","1"
"2017","Chronic Hepatitis B","UNKNOWN","QUEENS","30-39","1"
"2017","Chronic Hepatitis B","UNKNOWN","QUEENS","50-59","1"
"2017","Chronic Hepatitis B","UNKNOWN","UNKNOWN","30-39","1"
"2017","Chronic Hepatitis B","UNKNOWN","UNKNOWN","40-49","1"
"2019","Chronic Hepatitis B","FEMALE","BRONX","0-19","16"
"2019","Chronic Hepatitis B","FEMALE","BRONX","20-29","76"
"2019","Chronic Hepatitis B","FEMALE","BRONX","30-39","113"
"2019","Chronic Hepatitis B","FEMALE","BRONX","40-49","67"
"2019","Chronic Hepatitis B","FEMALE","BRONX","50-59","68"
"2019","Chronic Hepatitis B","FEMALE","BRONX","60-69","51"
"2019","Chronic Hepatitis B","FEMALE","BRONX","70+","31"
"2019","Chronic Hepatitis B","FEMALE","BROOKLYN","0-19","29"
