"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"New York Home Contractors LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinator@verizon.net","33 Bedford Park Blvd","3310","2","Bronx","Commercial, New Building, retail","electrical, carpentry,  plumbing, masonry, hvac, etc.","$5,200,000.00","2018-08-01T00:00:00.000","10468","Bronx 7","2021-11-26T09:18:50.000","40.872650","-73.888477","7","11","411","2017303","2033100002","Bedford Park-Fordham North"
"Third Avenue BX LLC","MGNY Consulting Corp","(718) 522-1111","michael@mgnyconsulting.com","4477 3rd Avenue","3051","49, 55","Bronx","Commercial, New Building, Hotel","electrical, plumbing, hvac, etc.","$6,000,000.00","2020-01-20T00:00:00.000","10457","Bronx 6","2021-11-26T09:18:50.000","40.853075","-73.891894","6","15","385","2011595","2030510049","Claremont-Bathgate"
"RD Brooklyn LLC","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","4510-4514 16th Avenue","5433","1001, 1002, 1003, 1004","Brooklyn","Commercial, retail, alteration","electric, hvac, plumbing, etc.","$2,500,000.00","2018-03-02T00:00:00.000","11204","Brooklyn 12","2021-11-26T09:18:50.000","40.633160","-73.983315","12","44","232","3320669","3054337502","Borough Park"
"Madison 45 Broad Development LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","45 Broad Street","25","7","Manhattan","Commercial, new building","concrete, masonry, steel, millwork, asphalt, electrical","$42,000,000.00","2016-10-15T00:00:00.000","10004","Manhattan 1","2021-11-26T09:18:50.000","40.705466","-74.011466","1","1","9","1000000","1000250007","Battery Park City-Lower Manhattan"
"C + G Empire Realty, LLC","Moseson & Assoc.","718 327-5779","yehuda_moseson@hotmail.com","134-03 35 Avenue, Flushing","4949","46","Queens","Commercial, new building, hotel","hvac, electric, plumbing, etc.","$15,000,000.00","2018-08-01T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000",,,,,,,,
"OHP Retail Owner LLC","Jack Jaffa & Associates","718 855-6110","aj@jackjaffa.com","1 Hanson Place","2111","1001","Brooklyn","Commercial, retail, alteration","demolition, masonry, concrete, carpentry, decorative metalwork, fire protection, electrical, fire alarm","$4,080,239.00","2017-09-05T00:00:00.000","11243","Brooklyn 2","2021-11-26T09:18:50.000","40.685107","-73.977732","2","35","35","3059183","3021117501","Fort Greene"
"JFK Hotel Partners LLC","Marcus & Pollack LLP","215 490-2900","jmarcus@marcuspollack.com","144-02 135th Avenue","12099","33 (to be subdivided)","Queens","Hotel, alteration","Fa̤ade, electrical, HVAC, carpentry, masonry, steel, etc.","$10,000,000.00","2021-07-04T00:00:00.000","11439","Queens 14","2021-11-26T09:18:50.000","40.668289","-73.795990","12","28","792","4262620","4120990030","Baisley Park"
"Queens Theater Owner LLC","Venable LLP","212 370-6243","dmbernsein@venable.com","135-35 Northern Boulevard","4958","48","Queens","Commercial, retail, alteration","carpentry, steel, painting, plumbing, hvac,","$18,017,222.00","2016-09-28T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000","40.762987","-73.831852","7","20","869","4112123","4049580038","Flushing"
"1 Park Row Development LLC","Akerman LLP","212 822-2266","beth.zafonte@akerman.com","1 Park Row","90","1","Manhattan","Commercial, retail, alteration, addition to existing space","electrical, plumbing, hvac, etc.","$15,650,000.00","2019-12-26T00:00:00.000","10038","Manhattan 1","2021-11-26T09:18:50.000","40.711395","-74.008156","1","1","1501","1085949","1000900001","Battery Park City-Lower Manhattan"
"Harmony Rockaway LLC","Brandt, Steinberg, Lewis & Blond LLP","212 629-4272","ikeating@bsl-taxcert.com","90-01 Beach Channel Drive","16124","33","Queens","commercial, alteration, addition","hvac, electrical, plumbing","$11,758,960.00","2016-04-01T00:00:00.000","11693","Queens 14","2021-11-26T09:18:50.000","40.589316","-73.815656","14","32","94202","4303515","4161240033","Hammels-Arverne-Edgemere"
"620 W 153 Realty LLC","Re Tax Service, LLC","718 222-3500","Esty@retaxservice.com","620 West 153rd Street","2099","17","Manhattan","Commercial, new building, residential","GC, electrical, elevator, HVAC, concrete structure, stucco, woodflooring, paring stackers, fire alarm, aluminum exterior, foundation, waterproofing, carpentry, framing, inetrior metal stairs, painting, windows, tiles, plumbing, sprinkler, roofing","$5,000,000.00","2021-11-15T00:00:00.000","10031","Manhattan 9","2021-11-26T09:18:50.000","40.831853","-73.947708","9","7","237","1062466","1020997502","Hamilton Heights"
