"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-05141-0120","2049 BARTOW AVENUE
Bronx, NY 
(40.869509649521, -73.829054961098)","2","10475","40.869472","-73.828582","10","12","46201","2097466","2051410100","Co-op City                                                                 ",,,,,"13540113","145014610","10.71","307000000","22.67","2-02882-0229","16 RICHMAN PLAZA
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","D3-ELEVATOR","1654","1973","1597950","19139855","11.98","40600000","25.4","5.1",,,,,,,,,,,,
"2-02511-0027","100 162 STREET
Bronx, NY 
(40.828982618893, -73.924794421228)","2",,,,,,,,,,,,,,"13425","147290","10.97","312000","23.24","2-02427-0018","1268 CLAY AVENUE
Bronx, NY 
(40.833666143802, -73.909851664709)","MELROSE/CONCOURSE","C1-WALK-UP","12","1909","11345","102734","9.06","218000","19.22","1.1","2-02487-0010","1065 GERARD AVENUE
Bronx, NY 
(40.83204594071, -73.922318802188)","MELROSE/CONCOURSE","D1-ELEVATOR","126","1999","96774","1054293","10.89","2730000","28.2","0.45"
"2-02931-0098","605 169 STREET
Bronx, NY 
(40.83190131863, -73.902344298592)","2",,,,,,,,,,,,,,"41580","350103","8.42","742000","17.85","2-03237-0097","160 KINGSBRIDGE ROAD
Bronx, NY 
(40.870266345425, -73.904440241983)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","36","1927","39600","392609","9.91","832000","21.01","2.45","2-03298-0028","2986 BRIGGS AVENUE
Bronx, NY 
(40.871648293439, -73.884948880008)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","36","1938","40381","318279","7.88","675000","16.72","2.75"
"2-02534-0008","1380 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"182218","1645990","9.03","3910000","21.46","2-02869-0058","109 TREMONT AVENUE
Bronx, NY 
(40.850833686417, -73.907555995329)","HIGHBRIDGE/MORRIS HEIGHTS","D7-ELEVATOR","69","1941","64594","636273","9.85","1510000","23.38","1","2-02878-0015","1615 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","D7-ELEVATOR","33","1917","46383","480945","10.37","1020000","21.99","0.45"
"2-02683-0052","547 SOUTHERN BOULEVARD
Bronx, NY 
(40.812255591242, -73.903806142601)","2","10455","40.812318","-73.903531","2","17","83","2005088","2026830052","Longwood                                                                   ",,,,,"16875","203360","12.05","431000","25.5","2-02653-0067","786 152 STREET
Bronx, NY 
(40.815585924749, -73.905962114751)","MORRISANIA/LONGWOOD","C7-WALK-UP","31","1906","19422","243483","12.54","684000","35.2","0.2","2-02653-0065","644 WALES AVENUE
Bronx, NY 
(40.815038223573, -73.906432685393)","MORRISANIA/LONGWOOD","C7-WALK-UP","25","1906","20700","222176","10.73","576000","27.8","0.2"
"2-05779-0815","3810 GREYSTONE AVENUE
Bronx, NY 
(40.888278067491, -73.904940414837)","2","10463","40.887716","-73.905175","8","11","335","2084038","2057790815","North Riverdale-Fieldston-Riverdale                                        ",,,,,"41068","447641","10.9","1160000","28.2","2-05700-0087","226 KIMBERLY PLACE
Bronx, NY 
(40.87773137245, -73.90576548722)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","41","1927","46053","457149","9.93","1090000","23.67","0.7","2-05781-1100","3900 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","37","1928","37962","413477","10.89","1070000","28.2","0.15"
"2-02459-0030","860 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"115140","1108855","9.63","2640000","22.93","2-02282-0018","430 138 STREET
Bronx, NY 
(40.80864958472, -73.921889633726)","MOTT HAVEN/PORT MORRIS","D7-ELEVATOR","155","1932","145936","1779558","12.19","5000000","34.3","1.25","2-02338-0003","2862 PARK AVENUE
Bronx, NY 
(40.818378839855, -73.924820026915)","MELROSE/CONCOURSE","D7-ELEVATOR","520","1974","547382","7114310","13","15100000","27.6","0.55"
"2-05845-1863","5425 VALLES AVENUE
Bronx, NY 
(40.901688988553, -73.899737484959)","2","10471","40.901943","-73.899617","8","11","345","2084745","2058451863","North Riverdale-Fieldston-Riverdale                                        ",,,,,"110000","1298000","11.8","3650000","33.2","2-05904-0267","600 239 STREET
Bronx, NY 
(40.889579457198, -73.911174785847)","RIVERDALE","D1-ELEVATOR","90","1956","98681","1338816","13.57","4170000","42.3","1.05","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1228776","12.23","3450000","34.3","1.35"
"2-05743-0002","2530 INDEPENDENCE AVENUE
Bronx, NY 
(40.880204018919, -73.921487230353)","2","10463","40.880351","-73.921025","8","11","29301","2083466","2057430002","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"79296","951552","12","2670000","33.7","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","895116","12.34","2520000","34.7","0.75","2-05874-1028","6629 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","84","1962","76009","1028922","13.54","3200000","42.1","2.35"
"2-05743-0198","2390 PALISADE AVENUE
Bronx, NY 
(40.879982832359, -73.921938115916)","2","10463","40.879395","-73.920791","8","11","29301","2083469","2057430198","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"80214","962568","12","2700000","33.7","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","895116","12.34","2520000","34.7","0.7","2-05874-1028","6629 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","84","1962","76009","1028922","13.54","3200000","42.1","2.3"
