"service_name","provider_name","mission_statement","website","address_line_1","address_line_2","city","state","zip_code"
"Work Readiness","Staten Island Mental Health Society, Inc.","The SIMHS is a not-for-profit children's services provider agency, founded in 1895. Our mission is to diagnose and treat emotional, behavioral, organic, and developmental problems; to create and support programs and environments that reduce the risk of disability and advance the optimal development of children; to increase our knowledge of the causes and treatments of mental illness and developmental impairment; and to promote public awareness of, and support for, the value and availability of our services.","simhs.org","669 Castleton Avenue",,"Staten Island","NY","10301"
"Work Readiness","The Hudson Guild","To create and sustain a strong, effective community that acknowledges and responds to the potential, achievements and interdependence of its diverse members.   Rooted in and primarily focused on the Chelsea neighborhood, we seek to empower all individuals and families to achieve their highest potential, while maintaining a priority focus on those in economic need.","www.hudsonguild.org","441 WEST   26 STREET",,"NEW YORK","NY","10001"
"Work Readiness","RNF Innovations LLC","The mission of RNF Innovations is to provide direct services in the form of housing, intensive mentoring and social services training and consultancy.",,"152 Tier Street, Unit 203A",,"Bronx","NY","10464"
"Work Readiness","Staten Island Mental Health Society, Inc.","The SIMHS is a not-for-profit children's services provider agency, founded in 1895. Our mission is to diagnose and treat emotional, behavioral, organic, and developmental problems; to create and support programs and environments that reduce the risk of disability and advance the optimal development of children; to increase our knowledge of the causes and treatments of mental illness and developmental impairment; and to promote public awareness of, and support for, the value and availability of our services.","simhs.org","669 Castleton Avenue",,"Staten Island","NY","10301"
"Work Readiness","The Hudson Guild","To create and sustain a strong, effective community that acknowledges and responds to the potential, achievements and interdependence of its diverse members.   Rooted in and primarily focused on the Chelsea neighborhood, we seek to empower all individuals and families to achieve their highest potential, while maintaining a priority focus on those in economic need.","www.hudsonguild.org","441 WEST   26 STREET",,"NEW YORK","NY","10001"
"Work Readiness","Junior Achievement of New York, Inc.","To inspire & prepare young people to succeed in the global economy through K-12 programs in financial literacy, entrepreneurship & work readiness.","www.jany.org","420 Lexington Avenue","Suite 205","New York","NY","10170"
"Work Readiness","READ ALLIANCE, INC.","READ ALLIANCE UTILIZES THE POWER OF TEEN LEADERSHIP TO IMPROVE THE EDUCATIONAL TRAJECTORY OF UNDERSERVED, EARLY ELEMENTARY STUDENTS THROUGH ONE-TO-ONE","www.readalliance.org","160 Broadway","8th Floor, East Building","New York","NY","10038"
"Work Readiness","Network Temps INC","With over 40 years of experience, Network ESC has established itself as one of the premier executive search, management consulting and temporary staff","www.networkesc.com","53 WEST   36 STREET",,"NEW YORK","NY","10018"
"Work Readiness","Recycle For Education Inc.","To provide recycling opportunities for members of the community and work opportunities for youth community youth.","www.recycleforeducation.net","200-07 MURDOCK AVENUE",,"Saint Albans","NY","11412"
"Work Readiness","Staten Island Community Job Center, Inc.","To empower the immigrant community through education culture and economic development","www.lacolmenanyc.org","774 PORT RICHMOND AVE 2 FL",,"STATEN ISLAND","NY","10302"
"Work Readiness","The Hetrick-Martin Institute, Inc.","HMI provides a safe and supportive environment for all young people, regardless of sexual orientation or identity, so they can develop and thrive.","www.hmi.org","740 Broadway","8th floor","New York","NY","10003"
"Work Readiness","Educational Data Systems Incorporated","We must strive to create enthusiasm in our clients, see through their eyes, understand their needs and deliver more than they expect.","www.edsisolutions.com","15300 N COMMERCE DR","Suite 200","DEARBORN","MI","48120"
"Work Readiness","Harlem Congregations for Community Improvement, Inc.","Harlem Congregations for Community Improvement, Inc. (HCCI) is committed to the holistic revitalization and development of Harlem. ","https://www.hcci.org","256 WEST  153 STREET",,"NEW YORK","NY","10039"
"Work Readiness","Julia Dyckman Andrus Memorial, Inc.","ANDRUS nurtures social and emotional well-being in children and their families by delivering a broad range of vital services and by providing research, training and innovative program models that promote standards of excellence for professional performance in and beyond our service community. 
Programs","www.andrus1928.org","1156 N BROADWAY",,"YONKERS","NY","10701"
"Work Readiness","New Alternatives for Children, Inc.","NAC's mission is to provide innovative high quality services in support of birth, foster, and adoptive families caring primarily for medically complex children, which includes children with severe physical disabilities, emotional and behavioral challenges, and developmental disabilities. NAC's services enable children to remain in or to be returned to their families whenever possible or to be adopted by loving families.  Working with children whose birth families live in poverty, NAC's continuum of services ensures that children's physical, social, educational, recreational, medical, and mental healthcare needs are met.

By supporting families NAC prevents lengthy stays in foster care, hospitals, or other institutions. NAC builds on family strengths, provides opportunities, and assists all family members in reaching for and achieving their potential.","www.NacKidsCan.org","37 WEST   26 STREET","6th Floor","NEW YORK","NY","10010"
"Work Readiness","Community Revitalization Partnership Incorporated","CRP is a not-for-profit organization founded to create safe and inspirational spaces for youth and their families to live, work, play and THRIVE. CRP ","www.crpartnership.org","107-04 GUY R BREWER BOULEVARD","Suite 7C","Jamaica","NY","11433"
"Work Readiness","Morrisania Revitalization Corporation, Inc.","MRC's mission is to meet our community's housing needs by providing affordable and safe housing to under employed and under- served families.","mrcbx.org","576 EAST  165 STREET",,"BRONX","NY","10456"
"Work Readiness","Network Support Services, Incorporated","NETWORK IS:
*    A pathway to a sustainable lifestyle for justice involved men and women who have pledged to transform their lives and rejoin society as productive, fulfilled citizens in the community.
*    A unique model for high impact change, building individuals and communities and longterm public safety.

","www.networkssi.org","555 Bergen Avenue",,"Bronx","NY","10455"
