"fiscal_year","organization_legal_name","address","city","state","zip","phone","website","project_category_1","project_category_2","total_fiscal_year_funding","funding_source","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"FY2019","Chhaya Community Development Corporation","37-43 77th Street, 2nd Floor","Jackson Heights","NY","11372"," (718) 478-3848","http://chhayacdc.org/","N/A",,"100000.00","CDBG","QUEENS   ","40.747993","-73.888827","3","25","287","4029909","4012880059","Jackson Heights                                                            "
"FY2019","Community League of the Heights","500 West 159th Street","New York","NY","10032","(212) 795-4779","https://www.cloth159.org/","N/A",,"100000.00","CDBG","MANHATTAN","40.834279","-73.941537","12","7","245","1062764","1021170034","Washington Heights South                                                   "
"FY2019","Flatbush Development Corporation","1616 Newkirk Ave","Brooklyn","NY","11226","(718) 859-3800","www.fdconline.org","N/A",,"100000.00","CDBG","BROOKLYN ","40.63604","-73.962241","14","40","518","3121203","3052370006","Flatbush                                                                   "
"FY2019","Harlem Park to Park Initiative","134 W. 118th Street","New York","NY","10026","(917) 568-3490","http://harlemparktopark.org/","N/A",,"100000.00","CDBG","MANHATTAN","40.803795","-73.949857","10","9","218","1057464","1019020148","Central Harlem South                                                       "
"FY2019","Jamaica Center Business Improvement Association","161-10 Jamaica Avenue, Suite 419","Jamaica","NY","11432","(718) 526-2422","http://jamaica.nyc/","N/A",,"100000.00","CDBG","QUEENS   ","40.704033","-73.798412","12","27","44601","4440641","4101010015","Jamaica                                                                    "
"FY2019","Mosholu Preservation Corporation","3400 Reservoir Oval East","Bronx","NY","10467","(718) 324-4461","http://mpcbronx.org/","N/A",,"100000.00","CDBG","BRONX    ","40.878889","-73.87581","7","11","423","2018218","2033430185","Norwood                                                                    "
"FY2019","Pitkin Avenue District Management Association","1572 Pitkin Avenue,","Bronx","NY","11212","(718) 385-4860","http://pitkinavenue.nyc/","N/A",,"100000.00","CDBG","BROOKLYN ","40.668961","-73.915565","16","41","902","3252123","3035160038","Brownsville                                                                "
"FY2019","Rockaway Business Alliance","Po Box 940502","Rockaway Park","NY","11694","(646) 539-8155","https://www.rockawaybusinessalliance.org/","N/A",,"100000.00","CDBG",,,,,,,,,
"FY2019","Urban Health Plan, Inc.","1065 Southern Boulevard","Bronx","NY","10459","(718) 589-2440","https://ghpedc.org/","N/A",,"100000.00","CDBG","BRONX    ","40.825276","-73.891935","2","17","12701","2114609","2027270058","Hunts Point                                                                "
"FY2019","Central Fulton District Management Association","896-900 Fulton Street","Brooklyn","NY","11238","(347) 823-5709","www.faballiance.org","Placemaking",,"30000.00","CDBG","BROOKLYN ","40.683139","-73.965293","2","35","199","3399791","3020120032","Clinton Hill                                                               "
"FY2019","Grand Street District Management Association ","246 Graham Avenue","Brooklyn","NY","11206","(718) 218-8836","www.grandstbklyn.com","Business Attraction/Retention",,"30000.00","CDBG","BROOKLYN ","40.710597","-73.943727","1","34","493","3327887","3030260001","Bushwick South                                                             "
"FY2019","Midwood Development Corporation","1416 Avenue M","Brooklyn","NY","11230","(718) 376-0999","www.middev.org","Placemaking",,"30000.00","CDBG","BROOKLYN ","40.617962","-73.960396","14","48","768","3180877","3067430006","Midwood                                                                    "
"FY2019","Southwest Brooklyn Industrial Development Corporation","241 41st Street 2nd Floor/402 Van Brunt","Brooklyn","NY","11231","(718) 965-3100","www.sbidc.org","Placemaking","Business Attraction/Retention","60000.00","CDBG","BROOKLYN ","40.653566","-74.010725","7","38","2","3010563","3007120028","Sunset Park West                                                           "
"FY2019","Kingsbridge Riverdale Van Cortlandt Development Corporation","5760 Broadway, 2nd Floor","Bronx","NY","10463","(917) 570-9027","www.krvcdc.org","Merchant Organizing",,"30000.00","CDBG","BRONX    ","40.883599","-73.901503","8","11","283","2094714","2032700001","Spuyten Duyvil-Kingsbridge                                                 "
