"dca_license_number","license_status","business_name","dba_trade_name","building_number","street","unit","city","state","postcode","borough","darp_enrollment_status","rotow_enrollment_status","community_board","council_district","police_precinct","bbl","bin","x_coordinate","y_coordinate","latitude","longitude","census_tract","nta","geocoded_column_1"
"0971954-DCA","Active","FRANKIE'S TOWING 77, INC.",,"9","MAIN ST",,"FORT PLAIN","NY","13339-1126","Outside NYC","Not Enrolled","Not Enrolled",,,,,,"0","0",,,,,
"2072637-DCA","Active","TOWING AND GOING INC.",,"3","TIOGA BLVD","1","APALACHIN","NY","13732-4150","Outside NYC",,,,,,,,,,,,,,
"1122094-DCA","Active","A.T.A. TOWING, INC.",,"5354","VAN DAM ST",,"LONG ISLAND CITY","NY","11101-3223","Queens","Enrolled","Enrolled","402","26","108","4002980010","4003583","1001395","206761","40.734652","-73.937778","199","Hunters Point-Sunnyside-West Maspeth","POINT (-73.937778 40.734652)"
"1474700-DCA","Active","360 COLLISION & TOWING INC.",,"684","E 137TH ST",,"BRONX","NY","10454-3304","Bronx","Enrolled","Not Enrolled","201","8","40","2025650008","2092950","1007934","232438","40.804562","-73.914284","2701","Mott Haven-Port Morris","POINT (-73.914284 40.804562)"
"1361360-DCA","Active","JUSTICE RECOVERY INC.",,"10517","101ST AVE",,"OZONE PARK","NY","11416-2704","Queens","Enrolled","Not Enrolled","409","28","102","4094070029","4197811","1029198","189454","40.68657","-73.83793","116","Richmond Hill","POINT (-73.83793 40.68657)"
"0832833-DCA","Active","D. MAC ARTHUR AUTO BODY LTD.",,"13631","SPRINGFIELD BLVD",,"SPRINGFIELD GARDENS","NY","11413-2237","Queens","Enrolled","Not Enrolled","413","31","105","4130180032","4280067","1052128","186067","40.677128","-73.755285","358","Laurelton","POINT (-73.755285 40.677128)"
"1303471-DCA","Active","O.Z. AUTO BODY & TOWING INC.",,"9821","LINDEN BLVD",,"OZONE PARK","NY","11417-2523","Queens","Enrolled","Not Enrolled","410","32","106","4115010058","4248255","1029459","185133","40.674709","-73.837018","864","South Ozone Park","POINT (-73.837018 40.674709)"
"2045899-DCA","Active","FIVE J'S AUTOMOTIVE LTD.",,"10","FRANCES KIERNAN PL",,"CARMEL","NY","10512-4446","Outside NYC",,,,,,,,,,,,,,
"1412322-DCA","Active","CROSS COUNTY COLLISION & TOWING INC.",,"5933","FRESH MEADOW LN",,"FRESH MEADOWS","NY","11365-1513","Queens","Enrolled","Not Enrolled","411","20","111","4068870020","4148767","1040525","208782","40.739556","-73.796926","1417","Auburndale","POINT (-73.796926 40.73955600000001)"
"2092560-DCA","Active","NK TECH AUTOMOBILE SERVICES INC",,"1712","JEROME AVE",,"BRONX","NY","10453-5704","Bronx",,,"205","14","46","2028490005","2008174","1008336","247820","40.846851","-73.912943","22701","Mount Hope","POINT (-73.912943 40.846851)"
"0832867-DCA","Active","TRIANGLE AUTO BODY INC.",,"5711","79TH AVE",,"GLENDALE","NY","11385-6057","Queens","Enrolled","Enrolled","405","30","104","4035580007","4085826","1012189","192284","40.694408","-73.899248","565","Glendale","POINT (-73.899248 40.694408)"
"1419615-DCA","Active","BUS MAINTENANCE II LLC",,"9714","ATLANTIC AVE",,"OZONE PARK","NY","11416-1620","Queens","Not Enrolled","Not Enrolled","409","32","102","4090420001","4187795","1027159","190393","40.689158","-73.845276","32","Woodhaven","POINT (-73.845276 40.689158)"
"2084096-DCA","Active","ATLANTIC AUTO SPA CORP.",,"150","2ND AVE",,"BROOKLYN","NY","11215-3811","Brooklyn","Enrolled",,"306","39","78","3010250043","3000000","985701","183724","40.671031","-73.994708","119","Park Slope-Gowanus","POINT (-73.994708 40.671031)"
"0833037-DCA","Active","JETS TOWING INC",,"918","E 51ST ST",,"BROOKLYN","NY","11203-6736","Brooklyn","Not Enrolled","Enrolled","317","45","67","3047850026","3106472","1004235","172001","40.638757","-73.927991","932","East Flatbush-Farragut","POINT (-73.927991 40.638757)"
"0998978-DCA","Active","ALL MAGIC AUTOMOTIVE, INC.",,"537","W 38TH ST",,"NEW YORK","NY","10018-1111","Manhattan","Not Enrolled","Not Enrolled","104","3","10","1007100011","1012524","984557","215362","40.757796","-73.998892","117","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.998892 40.757796000000006)"
"2004454-DCA","Active","WRECK O MEND AUTO EXPERTS CORP",,"80","GRANITE AVE",,"STATEN ISLAND","NY","10303-2718","Staten Island","Enrolled","Not Enrolled","501","49","121","5011570031","5026644","943260","170818","40.635438","-74.147686","223","Mariner's Harbor-Arlington-Port Ivory-Graniteville","POINT (-74.147686 40.635438)"
"2019310-DCA","Active","ACTION AUTO COLLISION & TOWING INC",,"5873","GRAND AVE",,"MASPETH","NY","11378-3230","Queens","Enrolled",,"405","30","104","4026800062","4437547","1009387","201674","40.72019","-73.909317","531","Maspeth","POINT (-73.909317 40.72019)"
