"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Reading & Writing","Adolescent Literacy","School for Democracy and Leadership 600 Kingston Avenue","Brooklyn","Church Ave. Merchants Block Assoc.","718.282.5575","grades 6 to 8",,,"11203",,,,,,,,
"Reading & Writing","Adult Literacy","Union Settlement Association","New York","Union Settlement Association","212.828.6016 ","At least 16 Years Old or Older","237 104th Street
New York, NEW YORK 10029
(40.789924588094, -73.944769131203)","237 East 104th Street","10029","40.789687","-73.944267","11","8","170","1080671","1016540011","East Harlem South                                                          "
"Reading & Writing","Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","718.508.3881","At least 16 Years Old or Older","475 Victory Boulevard Staten Island
NEW YORK,  10301
(40.630627751644, -74.088519564089)","475 Victory Boulevard","10301","40.630635","-74.088475","1","49","75","5002887","5001200112","New Brighton-Silver Lake                                                   "
"Reading & Writing,English Language Program,Adult Literacy","ESOL","Greater Chinatown Community Association","New York","Greater Chinatown Community Association","212.374.1311 or 12.374.0032         ","ESOL/Civics","105 Mosco Street (between Mott & Mulberry streets
New York, NEW YORK 10013
(40.714478163541, -73.999235761783)","105 Mosco Street (between Mott & Mulberry streets)","10013","40.714459","-73.999347","3","1","29","1001820","1001640044","Chinatown                                                                  "
"Reading & Writing","Adult Literacy","African Services Committee, Inc.","New York","African Services Committee, Inc.","212.222.3882","At least 16 Years Old or Older","429 127 Street
New York, NEW YORK 10027
(40.813196742697, -73.95433261286)","429 West 127 Street","10027","40.813002","-73.953849","9","7","21303","1084104","1019670060","Manhattanville                                                             "
"Reading & Writing","Adult Literacy","Harlem YMCA","New York","YMCA of Greater New York / ELESAIR","212.875.4336","At least 16 Years Old or Older","180 135th Street
New York, NEW YORK 10030
(40.815023338273, -73.943122982412)","180 West 135th Street","10030","40.815114","-73.943263","10","9","228","1058250","1019190053","Central Harlem North-Polo Grounds                                          "
"Reading & Writing","Family Literacy","I.S. 231","Queens","Homes for the Homeless","212.529.5252","A parent 16 Years Old or Older ","145 00 Springfield Boulevard
Queens, NEW YORK 11413
(40.669711181226, -73.750873933285)","145-00 Springfield Boulevard","11413","40.664597","-73.758748","13","31","320","4285682","4133310001","Springfield Gardens South-Brookville                                       "
"Reading & Writing","Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","At least 16 Years Old or Older","1081 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.631085769962, -73.966320469543)","1081 Coney Island Avenue","11230","40.631068","-73.966441","14","45","528","3178916","3066860076","Flatbush                                                                   "
"Reading & Writing","Adult Literacy","Family Support Center","Brooklyn","Lutheran Family Health Centers Adult & Family Education","718.630.7150","At least 16 Years Old or Older","6025 6th Avenue
Brooklyn, NEW YORK 11220
(40.637992703156, -74.014094988895)","6025 6th Avenue","11220","40.637961","-74.014149","7","38","118","3143523","3057840001","Sunset Park East                                                           "
"Reading & Writing","Adult Literacy","YWCA of Queens","Queens","YWCA of Queens","718.353.4553","At least 16 Years Old or Older","42 07 Parsons Boulevard
Queens, NEW YORK 11355
(40.751299796948, -73.821478547897)","42-07 Parsons Boulevard","11355","40.757857","-73.819077","7","20","861","4583346","4053750006","East Flushing                                                              "
"Reading & Writing","Family Literacy","Public School 78Q - The Robert F. Wagner School ","Queens","Queens Borough Public Library (Central)","718.661.1244","A parent 16 Years Old or Older ","48 09 Center Boulevard
Queens, NEW YORK 11109
(40.744414792409, -73.957702346686)","48-09 Center Boulevard","11109","40.744753","-73.957971","2","26","1","4000019","4000180001","Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing","Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","718.681.2222","At least 16 Years Old or Older","979 Ogden Avenue
Bronx, NEW YORK 10452
(40.832241154928, -73.929812514562)","979 Ogden Avenue","10452","40.832189","-73.929809","4","8","189","2003447","2025240040","Highbridge                                                                 "
"Reading & Writing","Adult Literacy","CAB Immigration Office","Bronx","Citizens Advice Bureau","718.508.3132","At least 16 Years Old or Older","2070 Grand
Concourse Bronx, NEW YORK 10457
(40.853090592091, -73.902808775875)","2070 Grand Concourse, Suite 1","10457","40.853222","-73.902947","5","15","23502","2013631","2031560009","Mount Hope                                                                 "
"Reading & Writing","Adolescent Literacy","MS 35","Brooklyn","Stanton Heiskell Center","212.817.2106","grades 6 to 8","272 McDonough Street
Brooklyn, NEW YORK 11233
(40.681892092944, -73.935841631993)","272 McDonough Street","11233","40.681896","-73.935963","3","36","273","3047054","3016740011","Stuyvesant Heights                                                         "
"Reading & Writing","Adolescent Literacy","I.S. 49","Brooklyn","Brooklyn Ctr. for Urban Environment","718.788.8500","grades 6 to 8","223 Graham Avenue
Brooklyn, NEW YORK 11206
(40.709988264882, -73.943671327367)","223 Graham Avenue","11206","40.709941","-73.943641","1","34","505","3070825","3030250001","East Williamsburg                                                          "
"Reading & Writing","Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","At least 16 Years Old or Older","387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592, -73.942503354999)","387 Kingston Avenue","11225","40.665708","-73.942532","9","35","333","3034315","3013000010","Crown Heights South                                                        "
"Reading & Writing","Adult Literacy","Korean Community Services of Metropolitan New York, Inc.","Queens","Korean Community Services of Metropolitan New York, Inc.","718.353.2253","At least 16 Years Old or Older","35 56 159th Street
Queens, NEW YORK 11358
(40.760350968822, -73.796326458199)","35-56 159th Street","11358","40.765263","-73.806158","7","19","1171","4119327","4052740070","Murray Hill                                                                "
