"download_pdf_report","license_number","industry_sector","base_does_business_as","base_name","serving_areas","year_base_opened","green_taxi_service","on_demand_service","book_ahead_service","phone","website","email","booking_app","_24_hours","_2015_honor_roll_drivers","_2015_honor_roll_base","hosted_vision_zero_training","vehicle_safety_technology_used","base_provides_safety_training","fatal_crashes","fatal_crash_details","injury_crashes_per_vehicle","sector_average_injury_crashes_per_vehicle","vehicle_safety_violations_per_vehicle","sector_average_vehicle_safety_violations_per_vehicle","base_safety_violations_per_vehicle","sector_average_base_safety_violations_per_vehicle","affiliated_vehicles","average_vehicle_age","sector_average_average_vehicle_age","percent_hybrid_alt_fuel_vehicles","percent_wheelchair_accessible_vehicles","top_vehicle_models_1","top_vehicle_models_2","top_vehicle_models_3","top_vehicle_models_4","top_vehicle_models_5","address","latitude","longitude","location","postcode","borough","community_board","council_district","census_tract","bin","bbl","nta"
"http://www.nyc.gov/html/tlc/downloads/pdf/B01679.pdf","B01679","livery","CENTURY CAR SERVICE ",,"New York City","1997","No","Not Reported","Not Reported","718-740-6600",,"LBLESSINGERJR@OLLIESTAXI.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.05","0","0.1","0","0.03","14","10.9","7.3","0","0","Ford Crown Victoria","Lincoln Town Car","Dodge Caravan",,,"39 ROAD LITTLE NECK PARKWAY  LITTLE NECK NY 11363","40.773679","-73.742098","(40.773679, -73.742098)","11363",,,,,,,
"http://www.nyc.gov/html/tlc/downloads/pdf/B02705.pdf","B02705","luxury limo","GROUND JET EXECUTIVE TRANSPORTATION ",,"New York City","2013","No","Not Reported","Not Reported","201-368-1000",,"INFO@GROUNDJETLIMO.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0","0.06","0","0.01","12","4.1","3.8","0","0","Lincoln Navigator","BMW 7-Series","Cadillac XTS","GMC Denali","Lexus LS 460","470 MARKET STREET  SADDLE BROOK NJ 07663","40.897082","-74.09972","(40.897082, -74.09972)",,,,,,,,
"http://www.nyc.gov/html/tlc/downloads/pdf/B02727.pdf","B02727","luxury limo","OSCAR LIMOUSINE ",,"New York City","2014","No","Not Reported","Not Reported","646-853-0201",,"OSCARLIMO2727@GMAIL.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0.2","0.06","0","0.01","15","4.4","3.8","0","0","Chevrolet Tahoe","Lincoln Town Car","Chevrolet Suburban","Ford E350","Ford Excursion","16 HARWOOD PLACE  MELVILLE NY 11747","40.803977","-73.40549","(40.803977, -73.40549)","11747",,,,,,,
"http://www.nyc.gov/html/tlc/downloads/pdf/B02627.pdf","B02627","luxury limo","APL LIMO ",,"New York City","2013","No","Not Reported","Not Reported","973-777-3007",,"APLLIMOLLC@GMAIL.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0","0.06","0","0.01","12","4.9","3.8","0","0","Lincoln Town Car","Chevrolet Suburban","Chevrolet Tahoe","Ford E350","Mercedes-Benz S550","176 SADDLE RIVER AVENUE BLDG F HACKENSACK NJ 07606","40.863348","-74.09752","(40.863348, -74.09752)",,,,,,,,
"http://www.nyc.gov/html/tlc/downloads/pdf/B02113.pdf","B02113","luxury limo","BER LIMO",,"New York City","2005","No","Not Reported","Not Reported","212-647-8400",,"PETER@BERMUDALIMO.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0","0.06","0","0.01","23","1.7","3.8","0","0","Lincoln MKT","Cadillac Escalade","Lincoln Navigator","Mercedes-Benz S550","Mercedes-Benz Sprinter","492 FRANKLYN AVENUE  NUTLEY NJ 07110","40.823087","-74.155516","(40.823087, -74.155516)",,,,,,,,
"http://www.nyc.gov/html/tlc/downloads/pdf/B02382.pdf","B02382","luxury limo","THE ORIGINAL DIAL CAR & LIMO",,"New York City","2010","No","Not Reported","Not Reported","718-743-8042",,"MISHKAK@LIVE.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0.13","0.06","0","0.01","23","7","3.8","0","0","Lincoln Town Car","Toyota Avalon","Chrysler 300","Honda Accord","Toyota Highlander","2104 AVENUE X  BROOKLYN NY 11235","40.592698","-73.948855","(40.592698, -73.948855)","11235","BROOKLYN ","15","48","59401","3336740","3074220202","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"http://www.nyc.gov/html/tlc/downloads/pdf/B01355.pdf","B01355","livery","NEW HARLEM CAR SERVICE",,"New York City","1997","Yes","Not Reported","Not Reported","212-663-9090",,"NEWHARLEMCARSERVICE@YMAIL.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0.08","0.05","0.08","0.1","0","0.03","84","7.4","7.3","10","2","Lincoln Town Car","Toyota Camry","Toyota Venza","Ford Escape","Toyota Sienna","1940 ADAM CLAYTON POWELL BOULEVARD  NEW YORK NY 10026","40.804257","-73.9523","(40.804257, -73.9523)","10026",,,,,,,
"http://www.nyc.gov/html/tlc/downloads/pdf/B02267.pdf","B02267","luxury limo","IFFY TOWNCAR SERVICE","(ROSLYN LIMOUSINE)","New York City","2008","No","Not Reported","Not Reported","516-523-6937",,"INFO@ROSLYNLIMO.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0.08","0.06","0","0.01","12","4.8","3.8","0","0","Lincoln Town Car","Toyota Venza","Cadillac Escalade","Cadillac XTS","Chevrolet Suburban","591 MIDDLE NECK ROAD  GREAT NECK NY 11023","40.80247","-73.735732","(40.80247, -73.735732)","11023",,,,,,,
"http://www.nyc.gov/html/tlc/downloads/pdf/B00419.pdf","B00419","livery","KOOP DISPATCHING ",,"The Bronx","1991","Yes","Yes","Yes","718-824-6666",,"DIMPLES289@AOL.COM",,"Not Reported","0","No","No","Yes","Yes","0",,"0.08","0.05","0.08","0.1","0","0.03","24","5.9","7.3","16","13","Toyota Camry","Toyota Sienna","Chevrolet Impala","Lincoln Town Car","Nissan Sentra","3287B WESTCHESTER AVENUE  BRONX NY 10461","40.853011","-73.827527","(40.853011, -73.827527)","10461","BRONX    ","10","13","300","2047781","2042490048","Pelham Bay-Country Club-City Island                                        "
"http://www.nyc.gov/html/tlc/downloads/pdf/B01979.pdf","B01979","livery","DREAMLAND CAR & LIMO SERVICE",,"New York City","2002","Yes","Not Reported","Not Reported","718-444-5000",,"DREAMLANDCARSANDLIMO@GMAIL.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0.14","0.05","0.09","0.1","0","0.03","22","7.7","7.3","9","0","Ford Crown Victoria","Lincoln Town Car","Nissan Altima","Ford Escape","Ford Flex","9732 SEAVIEW AVENUE  BROOKLYN NY 11236","40.634234","-73.888321","(40.634234, -73.888321)","11236","BROOKLYN ","18","46","1034","3235260","3083290001","Canarsie                                                                   "
"http://www.nyc.gov/html/tlc/downloads/pdf/B00991.pdf","B00991","livery","P F MANAGEMENT","(BLUE LANE CAR SERVICE)","New York City","1997","No","Not Reported","Not Reported","718-738-1348",,"BLTAXI108@AOL.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0.03","0.05","0.06","0.1","0","0.03","33","13","7.3","0","0","Mercury Grand Marquis","Ford Crown Victoria","Lincoln Town Car","Dodge Caravan",,"104-19 99TH STREET  OZONE PARK NY 11417","40.682799","-73.841307","(40.682799, -73.841307)","11417","QUEENS   ","10","32","4002","4615253","4091710059","Ozone Park                                                                 "
"http://www.nyc.gov/html/tlc/downloads/pdf/B00706.pdf","B00706","livery","VIC & BAY CAR SERVICE","(DEJOY'S RED TOP)","New York City","1997","No","Not Reported","Not Reported","718-447-2500",,"DEJOYSREDTOP@GMAIL.COM",,"Not Reported","0","No","Yes","No","Not Reported","0",,"0.14","0.05","0.05","0.1","0","0.03","21","8.7","7.3","14","0","Ford Crown Victoria","Chrysler Town and Country","Dodge Caravan","Toyota Prius","Mazda MAZDA5","200 BAY STREET  STATEN ISLAND NY 10301","40.637194","-74.076872","(40.637194, -74.076872)","10301","STATEN IS","1","49","21","5013255","5004980062","Stapleton-Rosebank                                                         "
"http://www.nyc.gov/html/tlc/downloads/pdf/B02342.pdf","B02342","black car","QUEST INTERNATIONAL LIMOUSINE",,"New York City","2009","No","Yes","Yes","212-265-0307","http://quest-limo.com","JAMES@QUEST-LIMO.COM",,"Not Reported","0","No","Yes","Yes","Yes","0",,"0.03","0.04","0","0.09","0","0.02","35","3.4","3.4","3","0","Chevrolet Tahoe","Toyota Sienna","Lincoln MKT","Cadillac Escalade","Honda Odyssey","330 WEST   38 STREET STE 1408 NEW YORK NY 10018","40.755282","-73.99349","(40.755282, -73.99349)","10018","MANHATTAN","4","3","111","1013627","1007610053","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"http://www.nyc.gov/html/tlc/downloads/pdf/B01907.pdf","B01907","luxury limo","BEN'S LUXURY CAR & LIMOUSINE SERVICE ",,"New York City","2000","No","Not Reported","Not Reported","718-433-1212",,"BILL@BENSLIMO.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0.05","0.06","0.03","0.01","37","5","3.8","0","0","Lincoln Town Car","Lincoln MKT","Chevrolet Tahoe","Chevrolet Suburban","Mercedes-Benz S550","11-01   43 AVENUE  LIC NY 11101","40.751982","-73.947523","(40.751982, -73.947523)","11101","QUEENS   ","2","26","19","4005284","4004590005","Hunters Point-Sunnyside-West Maspeth                                       "
"http://www.nyc.gov/html/tlc/downloads/pdf/B01804.pdf","B01804","luxury limo","GOLDCREST TRANSPORT ",,"New York City","1998","No","Not Reported","Not Reported","516-822-5555",,"INFO@GOLDLIMO.COM",,"Not Reported","0","No","No","No","Not Reported","0",,"0","0.01","0.06","0.06","0","0.01","16","3.6","3.8","0","0","Lincoln Town Car","Ford Expedition","Lincoln MKT","BMW 7-Series","Cadillac Escalade","145 WEST JOHN STREET  PLAINVIEW NY 11801","40.767439","-73.532154","(40.767439, -73.532154)","11801",,,,,,,
