"date_and_time_of_initial","date_and_time_of_ranger","borough","property","location","species_description","call_source","species_status","animal_condition","duration_of_response","age","animal_class","_311sr_number","final_ranger_action","of_animals","pep_response","animal_monitored","rehabilitator","hours_spent_monitoring","police_response","esu_response","acc_intake_number"
"2021-06-23T16:45:00.000","2021-06-24T08:00:00.000","Brooklyn","Sternberg Park","Inside locked athletic field under construction","Chukar","Other","Exotic","Healthy","6","Adult","Birds","311-06712416","ACC","6","false","false",,,"false","false","163537"
"2021-06-24T10:00:00.000","2021-06-24T11:00:00.000","Bronx","Haffen Park","Haffen Pool","Sparrow","Central","Native","Healthy","1.75","Infant","Birds","311-06714879","Rehabilitator","4","false","false",,,"false","false",
"2021-06-23T14:30:00.000","2021-06-23T14:30:00.000","Bronx","Pelham Bay Park","Pelham Bay South","White-tailed Deer","Employee","Native","N/A","1","Juvenile","Deer",,"Unfounded","0","false","false",,,"false","false",
"2021-06-23T13:00:00.000","2021-06-23T13:10:00.000","Staten Island","Willowbrook Park","The carousel","Raccoon","Employee","Native","N/A","2","Adult;#Juvenile","Small Mammals-RVS",,"Unfounded","0","false","false",,,"false","false",
"2021-06-23T09:20:00.000","2021-06-23T09:20:00.000","Queens","Judge Moses Weinstein Playground","Garbage can","Virginia Opossum","Central","Native","Healthy","2.25","Juvenile","Small Mammals-non RVS","311-06699415","ACC","1","false","false",,,"false","false","119833"
"2021-06-23T09:00:00.000","2021-06-23T09:10:00.000","Staten Island","Clove Lakes Park","Martling Pond on shore","Domestic Duck","Employee","Domestic","Healthy","1.25","Adult","Domestic;#Birds","311-06700321","ACC","1","false","false",,,"false","false","119822"
"2021-06-23T05:30:00.000","2021-06-23T08:20:00.000","Staten Island","Willowbrook Park","Pond","Canada Goose","Employee","Native","Injured","0.5","Juvenile","Birds",,"Unfounded","0","false","false",,,"false","false",
"2021-06-22T15:00:00.000","2021-06-22T15:00:00.000","Queens","Travers Park","78th Street Plaza","Cat","Public","Domestic","Unhealthy","1","Adult","Domestic",,"Unfounded","0","false","false",,,"false","false",
"2021-06-22T15:30:00.000","2021-06-22T15:30:00.000","Brooklyn","Prospect Park","V/O Drummers Circle","Dog","Employee","Domestic","Injured","0.5","Juvenile","Domestic",,"ACC","1","true","false",,,"false","false",
"2021-06-22T11:30:00.000","2021-06-22T11:30:00.000","Manhattan","Highbridge Park","Coogan's Bluff Playground","Dog","Central","Domestic","N/A","0.75","Adult","Domestic",,"Unfounded","0","false","false",,,"false","false",
"2021-06-22T11:55:00.000","2021-06-22T11:55:00.000","Queens","Forest Park","Giovanelli Playground","Eastern Rat Snake","Central","Native","Healthy","2","Juvenile","Terrestrial Reptile or Amphibian","311-06691186","Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-22T12:00:00.000","2021-06-22T12:00:00.000","Manhattan","Inwood Hill Park","214th and Seaman Ave","Eastern Gray Squirrel","Employee","Native","Injured","0.5","Adult","Small Mammals-non RVS",,"Advised/Educated others","1","false","true",,"0.5","false","false",
"2021-06-22T11:30:00.000","2021-06-22T12:00:00.000","Brooklyn","Marine Park","Salt Marsh Nature Trail","Domestic Rabbit","Employee","Domestic","Healthy","2","Adult","Domestic",,"Unfounded","0","false","false",,,"false","false",
"2021-06-21T14:02:00.000","2021-06-21T14:02:00.000","Queens","Queens Botanical Garden","Education building","Northern Cardinal","Central","Native","Injured","2.75","Juvenile","Birds","311-06682248","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-21T14:45:00.000","2021-06-21T14:50:00.000","Staten Island","Franklin D. Roosevelt Boardwalk and Beach","PEP Trailer","Mallard Duck","Employee","Native","Healthy","1.5","Infant","Birds","311-06684155","ACC","1","true","false",,,"false","false","52440"
"2021-06-21T08:50:00.000","2021-06-21T15:50:00.000","Bronx","Van Cortlandt Park","Van Cortlandt Lake and its trails","Double-crested Cormorant","Conservancies/""Friends of"" Groups","Native","Healthy","0.75","Adult","Birds","311-06684-300","Monitored Animal","1","false","true",,"3","false","false",
"2021-06-21T09:20:00.000","2021-06-21T12:00:00.000","Manhattan","Central Park","West 97 St entrance","Raccoon","Central","Native","Injured","0.5","Juvenile","Small Mammals-RVS","311- 06678452","Unfounded","0","false","false",,,"false","false",
"2021-06-21T08:50:00.000","2021-06-21T09:05:00.000","Bronx","Van Cortlandt Park","Adjacent to Golf Clubhouse past golf cart parking","Double-crested Cormorant","Conservancies/""Friends of"" Groups","Native","Injured","0.3","Adult","Birds","N/A","Unfounded","0","false","false",,,"false","false",
"2021-06-16T12:00:00.000","2021-06-16T13:00:00.000","Brooklyn","Prospect Park","Prospect Lake near LeFrak Center","Domestic Duck","Conservancies/""Friends of"" Groups","Domestic","Unhealthy","2","Adult","Domestic;#Birds","311-06621675","ACC","1","false","false",,,"false","false","119360"
"2021-06-20T09:00:00.000","2021-06-20T15:00:00.000","Manhattan","Inwood Hill Park","Northwest edge of Gaelic Field","Common Snapping Turtle","Employee","Native","N/A","1","Adult","Terrestrial Reptile or Amphibian",,"Unfounded","0","false","false",,,"false","false",
"2021-06-19T09:00:00.000","2021-06-19T10:00:00.000","Manhattan","Inwood Hill Park","Payson Visitor Center","Common Snapping Turtle","Employee","Native","Healthy","0.5","Adult","Terrestrial Reptile or Amphibian",,"Relocated/Condition Corrected","1","false","true",,"0.5","false","false",
"2021-06-20T14:30:00.000","2021-06-20T14:45:00.000","Queens","Udall's Park Preserve","Trail off of 247th St and 40th Ave","Chicken","Central","Domestic","Unhealthy","2","Adult","Domestic;#Birds","311-06668041","ACC","1","false","false",,,"false","false","119706"
"2021-06-19T14:00:00.000","2021-06-19T15:00:00.000","Queens","Rockaway Beach and Boardwalk","On Beach 109th St","Dog","Central","Domestic","Healthy","3","Adult","Domestic","311-0665718","ACC","1","false","false",,,"false","false","119644"
"2021-06-19T09:15:00.000","2021-06-19T09:15:00.000","Bronx","Van Cortlandt Park","Van Cortlandt Pool","Raccoon","Employee","Native","Healthy","0.5","Juvenile","Small Mammals-RVS",,"Unfounded","0","false","false",,,"false","false",
"2021-06-18T16:00:00.000","2021-06-18T16:05:00.000","Bronx","Crotona Park","Behind Crotona Park Nature Center","Argentine Black and White Tegu","Employee","Exotic","Unhealthy","10","Adult","Terrestrial Reptile or Amphibian","311-06646388","ACC","1","false","false",,,"false","false","119570"
"2021-06-17T15:40:00.000","2021-06-17T15:40:00.000","Queens","Flushing Meadows Corona Park","Fountain of the Planets","Mallard Duck","Employee","Native","DOA","1.5","Adult","Birds","311-06634743","Submitted for DEC Testing","12","true","false",,,"false","false",
"2021-06-17T08:00:00.000","2021-06-17T10:00:00.000","Manhattan","Riverside Park","Entrance at Riverside Dr and West 108th St","Raccoon","Central","Native","Healthy","1","Juvenile","Small Mammals-RVS","311-06628837","Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-17T10:00:00.000","2021-06-17T10:00:00.000","Manhattan","William McCray Playground","playground cross street West 158th","American Kestrel","Central","Native","Injured","0.5","Juvenile","Raptors","311-06630118","Advised/Educated others","1","false","false",,,"false","false",
"2021-06-16T17:20:00.000","2021-06-16T17:20:00.000","Bronx","Van Cortlandt Park","Mosholu Avenue/ Broadway","Red-tailed Hawk","Employee","Native","Injured","2.5","Adult","Raptors","311-0662-4220","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-16T10:15:00.000","2021-06-16T10:45:00.000","Brooklyn","Red Hook Recreation Area","Clinton Street south of Bay Street","Raccoon","Central","Native","Healthy","1","Juvenile","Small Mammals-RVS",,"Unfounded","0","false","false",,,"false","false",
"2021-06-11T12:00:00.000","2021-06-16T12:30:00.000","Brooklyn","Canarsie Park","By parkhouse","Cat","Employee","Domestic","Healthy","2","Adult","Domestic","311-06564233","ACC","1","false","false",,,"false","false",
"2021-06-16T10:13:00.000","2021-06-16T10:32:00.000","Manhattan","Central Park","Central Park Zoo","Raccoon","Employee","Native","Healthy","1","Infant","Small Mammals-RVS",,"Relocated/Condition Corrected","2","false","false",,,"false","false",
"2021-06-15T15:20:00.000","2021-06-15T16:15:00.000","Queens","Rockaway Beach and Boardwalk","Beach 43rd Street","Dog","Central","Domestic","N/A","1.5","Adult","Domestic",,"Unfounded","0","false","false",,,"false","false",
"2021-06-15T08:30:00.000","2021-06-15T15:00:00.000","Manhattan","Inwood Hill Park","Gaelic Field","Common Snapping Turtle","Employee","Native","Healthy","1","Adult","Terrestrial Reptile or Amphibian",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-15T10:30:00.000","2021-06-15T10:45:00.000","Brooklyn","Bensonhurst Park","Athletic Field","Canada Goose","Central","Native","Injured","1","Adult","Birds",,"Unfounded","0","false","false",,,"false","false",
"2021-06-14T15:30:00.000","2021-06-14T15:45:00.000","Manhattan","Central Park","Central Park Arsenal","Domestic Duck","Central","Domestic","Healthy","2","Juvenile","Domestic;#Birds","311-06599987","ACC","1","false","false",,,"false","false","119217"
"2021-06-14T11:00:00.000","2021-06-14T11:15:00.000","Brooklyn","Prospect Park","South shore of Lake","Canada Goose","Conservancies/""Friends of"" Groups","Native","Unhealthy","2","Adult","Birds","311-06598366","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-14T12:15:00.000","2021-06-14T12:30:00.000","Brooklyn","Parade Ground","Erasmus Hall Educational Campus","Red-tailed Hawk","Central","Native","Healthy","1","Juvenile","Raptors","311-06597894","Advised/Educated others","1","false","true",,"0.5","false","false",
"2021-06-13T14:10:00.000","2021-06-13T14:12:00.000","Queens","Flushing Meadows Corona Park","Near the Queens Zoo","Rock Dove","Employee","Native","Injured","2.5","Adult","Birds","311-06588447","ACC","1","false","false",,,"false","false","119146"
"2021-06-13T13:59:00.000","2021-06-13T14:05:00.000","Staten Island","Clove Lakes Park","Brooke's Pond","Catfish","Employee","Native","DOA","1","Adult;#Juvenile","Fish-numerous quantity",,"Advised/Educated others","12","false","false",,,"false","false",
"2021-06-13T10:30:00.000","2021-06-13T11:39:00.000","Queens","Alley Pond Park","Oakland Lake","Red-Eared Slider","Central","Invasive","DOA","1","Adult","Terrestrial Reptile or Amphibian",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-13T13:20:00.000","2021-06-13T13:40:00.000","Queens","Highland Park","Path west of the Ridgewood Reservoir","Raccoon","Employee","Native","Healthy","1","Adult","Small Mammals-RVS",,"Monitored Animal","1","false","true",,"0.75","false","false",
"2021-06-13T10:00:00.000","2021-06-13T10:00:00.000","Manhattan","Central Park","59th Street Pond near Gapstow Bridge","Common Snapping Turtle","Central","Native","Healthy","0.5","Adult","Terrestrial Reptile or Amphibian",,"Advised/Educated others","1","false","false",,,"false","false",
"2021-06-12T12:00:00.000","2021-06-12T13:10:00.000","Queens","Astoria Park","Hoyt Ave N and 19th Street","Red-tailed Hawk","Central","Native","Injured","3","Juvenile","Raptors",,"Rehabilitator","1","false","false","Bobby Horvath",,"true","false",
