"name","hours","number","street","street_address_2","city","borough","state","postcode","details","location_type","latitude","longitude","bin","bbl","nta","councildistrict","censustract","communityboard"
"Bronx Employment Works","Mon - Wed: 9:00 AM - 5:00 PM; Thu - Fri: 9:00 AM - 7:00 PM","369","East 148th Street","1st Floor","Bronx","Bronx","NY","10455","This center provides career advisement and preparation workshops to help Bronx and Manhattan candidates succeed beyond barriers to work that are common for individuals formerly acquainted with the criminal justice system. Please call 311 to contact this location.","Employment Works","40.815895","-73.919111","2097041","2023270072","Melrose South-Mott Haven North                                             ","17","65","1"
"Bronx Workforce1 Career Center","Mon - Fri: 8:30 AM - 5:00 PM","400","East Fordham Road","Entrance on Webster Avenue","Bronx","Bronx","NY","10458","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.861042","-73.891505","2116415","2030337501","Fordham South                                                              ","15","38302","6"
"Bronx Workforce1 Industrial & Transportation Career Center","Mon - Fri: 8:30 AM - 5:00 PM","14","Bruckner Boulevard","3rd Floor","Bronx","Bronx","NY","10454","The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.807212","-73.929499","2000682","2023080001","Mott Haven-Port Morris                                                     ","8","19","1"
"Brooklyn Employment Works","Mon: 8:30 AM - 5:00 PM; Tue: 8:30 AM - 7:00 PM; Wed: 8:30 AM - 6:00 PM; Thu - Fri: 8:30 AM - 5:00 PM","9","Bond Street","5th Floor","Brooklyn","Brooklyn","NY","11201","This center provides career advisement and preparation workshops to help Brooklyn, Queens, and Staten Island candidates succeed beyond barriers to work that are common for individuals formerly acquainted with the criminal justice system. Please call 311 to contact this location.","Employment Works","40.689247","-73.982865","3329441","3001600007","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","33","37","2"
"Brooklyn Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","9","Bond Street","5th Floor","Brooklyn","Brooklyn","NY","11201","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.689247","-73.982865","3329441","3001600007","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","33","37","2"
"Brooklyn Workforce1 Industrial & Transportation Career Center","Mon - Fri: 8:30 AM - 5:00 PM","140","58th Street","Building B"" Lobby""","Brooklyn","Brooklyn","NY","11220","The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.645199","-74.027196","3257058","3057780001","Sunset Park West                                                           ","38","18","7"
"East New York Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","2619","Atlantic Avenue",,"Brooklyn","Brooklyn","NY","11207","This center provides an array of career services for area residents, including specially designed workshops to serve out-of-school, out-of-work youth and individuals formerly acquainted with the criminal justice system. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.675954","-73.897776","3083267","3036690001","East New York                                                              ","37","1198","5"
"Flushing Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","41-17","Main Street","3rd Floor","Flushing","Queens","NY","11355","Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.757822","-73.828913","4114282","4050430011","Flushing                                                                   ","20","853","7"
"Hunts Point Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","1029","East 163rd Street","3rd Floor","Bronx","Bronx","NY","10459","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.821245","-73.892072","2005788","2027240190","Hunts Point                                                                ","17","159","2"
"Long Island City Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","38-81","13th Street",,"Long Island City","Queens","NY","11101","Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.755758","-73.941707","4005324","4004710696","Queensbridge-Ravenswood-Long Island City                                   ","26","85","1"
"Midtown Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","1250","Broadway","Suite 810","New York","Manhattan","NY","10001","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.747774","-73.987874",,,,,,
"NYC Business Solutions Bronx Center","Mon - Fri: 9:00 AM - 5:00 PM","400","East Fordham Road","7th Floor","Bronx","Bronx","NY","10458","Please call 311 to contact this location.","NYC Business Solutions Center","40.861042","-73.891505","2116415","2030337501","Fordham South                                                              ","15","38302","6"
"NYC Business Solutions Brooklyn Center","Mon - Fri: 9:00 AM - 5:00 PM","9","Bond Street","5th Floor","Brooklyn","Brooklyn","NY","11201","Please call 311 to contact this location.","NYC Business Solutions Center","40.689247","-73.982865","3329441","3001600007","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","33","37","2"
"NYC Business Solutions Industrial and Transportation - Bronx","Call 311 to contact this location for hours.","555","Bergen Avenue","3rd Floor","Bronx","Bronx","NY","10455",,"NYC Business Solutions Industrial and Transportation","40.816138","-73.91669","2097027","2022940002","Melrose South-Mott Haven North                                             ","17","71","1"
"NYC Business Solutions Industrial and Transportation - Brooklyn","Call 311 to contact this location for hours.","85","South Oxford Street",,"Brooklyn","Brooklyn","NY","11217","East New York and Flatlands Neighborhoods","NYC Business Solutions Industrial and Transportation","40.686992","-73.973292","3059350","3021180011","Fort Greene                                                                ","35","181","2"
"NYC Business Solutions Industrial and Transportation - Brooklyn","Call 311 to contact this location for hours.","2","Kingsland Avenue",,"Brooklyn","Brooklyn","NY","11211","Greenpoint and Williamsburg Neighborhoods","NYC Business Solutions Industrial and Transportation","40.7162","-73.939776","3389465","3028850010","East Williamsburg                                                          ","34","449","1"
"NYC Business Solutions Industrial and Transportation - Brooklyn","Call 311 to contact this location for hours.","241","41st Street",,"Brooklyn","Brooklyn","NY","11232","Sunset Park and Southwest Brooklyn Neighborhoods","NYC Business Solutions Industrial and Transportation","40.653522","-74.01021","3010563","3007120028","Sunset Park West                                                           ","38","2","7"
"NYC Business Solutions Industrial and Transportation - Manhattan","Call 311 to contact this location for hours.","79","John Street","2nd Floor","New York","Manhattan","NY","10038",,"NYC Business Solutions Industrial and Transportation","40.708774","-74.006745","1001186","1000770008","Battery Park City-Lower Manhattan                                          ","1","1502","1"
"NYC Business Solutions Industrial and Transportation - Queens","Call 311 to contact this location for hours.","96-11","40th Road",,"Corona","Queens","NY","11368","Maspeth, Ridgewood/SoMA, Steinway, and Woodside Neighborhoods","NYC Business Solutions Industrial and Transportation","40.748721","-73.86847","4040179","4016050011","North Corona                                                               ","21","375","4"
"NYC Business Solutions Industrial and Transportation - Queens","Call 311 to contact this location for hours.","27-01","Queens Plaza North","9th Floor","Long Island City","Queens","NY","11101","Long Island City Neighborhood","NYC Business Solutions Industrial and Transportation","40.750808","-73.938615","4005016","4004160010","Queensbridge-Ravenswood-Long Island City                                   ","26","33","1"
"NYC Business Solutions Industrial and Transportation - Queens","Call 311 to contact this location for hours.","90-04","161st Street",,"Jamaica","Queens","NY","11432","Jamaica and JFK Neighborhoods","NYC Business Solutions Industrial and Transportation","40.705199","-73.799278","4208850","4097570023","Jamaica                                                                    ","24","44601","12"
"NYC Business Solutions Industrial and Transportation - Staten Island","Call 311 to contact this location for hours.","900","South Avenue","Suite 402","Staten Island","Staten Island","NY","10314",,"NYC Business Solutions Industrial and Transportation","40.61431","-74.173997","5113281","5017250085","New Springville-Bloomfield-Travis                                          ","50","29102","2"
"NYC Business Solutions Lower Manhattan Center","Mon - Fri: 9:00 AM - 5:00 PM","79","John Street","2nd Floor","New York","Manhattan","NY","10038","Please call 311 to contact this location.","NYC Business Solutions Center","40.708774","-74.006745","1001186","1000770008","Battery Park City-Lower Manhattan                                          ","1","1502","1"
"NYC Business Solutions Queens Center at the NYC Small Business Support Center","Mon - Fri: 9:00 AM - 5:00 PM","90-27","Sutphin Boulevard","4th Floor","Jamaica","Queens","NY","11435","The NYC Small Business Support Center offers services from Department of Consumer Affairs (DCA), Department of Health and Mental Hygiene (DOHMH), and Small Business Services (SBS) at one convenient location. Please call 311 to contact this location.","NYC Business Solutions Center","40.70246","-73.807823","4206784","4096770007","Jamaica                                                                    ","24","240","12"
"NYC Business Solutions Staten Island Center","Mon - Fri: 9:00 AM - 5:00 PM","120","Stuyvesant Place","3rd Floor","Staten Island","Staten Island","NY","10301","Please call 311 to contact this location.","NYC Business Solutions Center","40.643277","-74.077667","5000084","5000080060","West New Brighton-New Brighton-St. George                                  ","49","3","1"
"NYC Business Solutions Upper Manhattan Center","Mon - Fri: 9:00 AM - 5:00 PM","361","John Street","2nd Floor","New York","Manhattan","NY","10027","Please call 311 to contact this location.","NYC Business Solutions Center","40.811232","-73.952976",,,,,,
"NYC Business Solutions Washington Heights Center","Mon - Fri: 9:00 AM - 5:00 PM","560","West 181st Street","2nd Floor","New York","Manhattan","NY","10033","Please call 311 to contact this location.","NYC Business Solutions Center","40.848514","-73.933392","1081875","1021530081","Washington Heights North                                                   ","10","269","12"
"NYS Department of Labor Flushing Workforce1 Career Center","Mon - Fri: 8:30 AM - 5:00 PM","138-60","Barclay Avenue","2nd Floor","Flushing","Queens","NY","11355","Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.758018","-73.825855","4114294","4050457501","Flushing                                                                   ","20","853","7"
"NYS Department of Labor Lower Manhattan Workforce1 Career Center","Mon - Fri: 8:30 AM - 4:30 PM","75","Varick Street","2nd Floor","New York","Manhattan","NY","10013","Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.723439","-74.006819","1002934","1002260001","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1","37","2"
"NYS Department of Labor MetroTech Workforce1 Career Center","Mon - Fri: 8:00 AM - 4:30 PM","250","Schermerhorn Street",,"Brooklyn","Brooklyn","NY","11201","Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.68813","-73.984477","3000542","3001710026","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","33","41","2"
"Queens Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","168-25","Jamaica Avenue","2nd Floor","Jamaica","Queens","NY","11432","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.707139","-73.791644","4209641","4097990001","Jamaica                                                                    ","27","460","12"
"Rockaway Workforce1 Career Center","Mon - Fri: 8:30 AM - 5:00 PM","57-17","Shore Front Parkway",,"Arverne","Queens","NY","11692","Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.590668","-73.78751",,,,,,
"Sandy Recovery Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","1906","Mermaid Avenue","2nd Floor","Brooklyn","Brooklyn","NY","11224","The center connects Sandy-affected residents to recovery- and resiliency-related career opportunities and job training. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.576239","-73.98608","3398528","3070600010","Seagate-Coney Island                                                       ","47","326","13"
"Staten Island South Shore Workforce1 Career Center","Mon - Fri: 9:00 AM - 5:00 PM","3845","Richmond Avenue","2nd Floor","Staten Island","Staten Island","NY","10312","The center connects Sandy-affected residents to recovery- and resiliency-related career opportunities and job training. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.544112","-74.164751","5073200","5054970150","Great Kills                                                                ","51","14604","3"
"Staten Island Workforce1 Career Center","Mon - Fri: 8:30 AM - 5:00 PM","120","Stuyvesant Place","3rd Floor","Staten Island","Staten Island","NY","10301","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.643277","-74.077667","5000084","5000080060","West New Brighton-New Brighton-St. George                                  ","49","3","1"
"Staten Island Workforce1 Industrial & Transportation Career Center","Mon - Fri: 8:30 AM - 5:00 PM","1972","Richmond Terrace",,"Staten Island","Staten Island","NY","10302","The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.638918","-74.129555","5167185","5010060062","Port Richmond                                                              ","49","207","1"
"Upper Manhattan Workforce1 Career Center","Mon - Tue: 8:30 AM - 5:00 PM; Wed: 8:30 AM - 8:00 PM; Thu - Fri: 8:30 AM - 5:00 PM","215","West 125th Street","6th Floor","New York","Manhattan","NY","10027","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.809693","-73.948939","1058659","1019310021","Central Harlem South                                                       ","9","222","10"
"Washington Heights Workforce1 Career Center","Mon - Fri: 8:30 AM - 5:00 PM","516","West 181st Street","5th Floor","New York","Manhattan","NY","10033","The center offers Global Talent Pipeline services, which support connections to employment and training for foreign-born New Yorkers. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.848357","-73.932207","1063614","1021520067","Washington Heights North                                                   ","10","269","12"
"West Farms Workforce1 Career Center","Mon - Fri: 8:30 AM - 5:00 PM","901","East Tremont Avenue","2nd Floor","Bronx","Bronx","NY","10460","The center offers services for youth, ages 18-24, who seek to obtain a High School Equivalency Diploma while preparing for careers. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.842429","-73.884361","2113796","2031210033","East Tremont                                                               ","17","363","6"
"Workforce1 Healthcare Career Center","Mon - Fri: 9:00 AM - 5:00 PM","79","John Street","2nd Floor","New York","Manhattan","NY","10038","Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.708774","-74.006745","1001186","1000770008","Battery Park City-Lower Manhattan                                          ","1","1502","1"
"Workforce1 Industrial & Transportation Career Center","Mon - Fri: 8:30 AM - 5:00 PM","168-46","91 Avenue","2nd Floor","Jamaica","Queens","NY","11432","The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network. Please call 311 to contact this location.","Workforce1 Career Center","40.707139","-73.791644","4209641","4097990001","Jamaica                                                                    ","27","460","12"
