"permit_type","accela","facility_name","address_no","address_st","bo","zip","inspection_date","inspection_type","of_all_violations","of_phh_violations","of_critical_violations","of_general_violations","docket","lat","long","x","y","x_property_coordinate","y_property_coordinate","community_board","council_district","census_tract","bin","nta"
"Indoor","40000005","SUNY MARITIME (STATE FACILITY)","6","PENNYFIELD AVENUE","BX","10465","2019-09-18T00:00:00.000","Routine Inspection","2","0","1","1",,"40.80910284","-73.80124955","1039269","234120","1040948","233334","10","13","118","2100430","Schuylerville-Throgs Neck-Edgewater Park"
"Indoor","40000014","BROOKLYN CHILDREN PSYCH. CENTER (STATE FACILITY)","1819","BERGEN STREET","BK","11233","2019-12-11T00:00:00.000","Routine Inspection","3","0","2","1",,"40.67453484","-73.92126151","1006091","185040","1006257","185174","16","41","303","3038839","Ocean Hill"
"Indoor","40000035","FIORELLA H. LAGUARDIA COMMUNITY COLLEGE","31-10","THOMPSON AVENUE","QU","11101","2019-05-31T00:00:00.000","Routine Inspection","2","0","1","1",,"40.74489468","-73.93502177","1002255","210671","1002221","210327","2","26","179","4003534","Hunters Point-Sunnyside-West Maspeth"
"Indoor","40000058","SUNY DOWNSTATE STUDENT CTR","394","LENOX ROAD","BK","11203","2019-11-19T00:00:00.000","Routine Inspection","3","1","1","1",,"40.65437521","-73.94633309","999141","177690","999103","177468","17","40","818","3327730","Erasmus"
"Indoor","40000058","SUNY DOWNSTATE STUDENT CTR","394","LENOX ROAD","BK","11203","2019-12-09T00:00:00.000","Re-Inspection","1","0","1","0",,"40.65437521","-73.94633309","999141","177690","999103","177468","17","40","818","3327730","Erasmus"
"Indoor","40000098","S.I. DEVELOPMENTAL DISABILITIES SERVICES OFFICE","930","WILLOWBROOK ROAD","SI","10314","2019-12-16T00:00:00.000","Routine Inspection","4","0","1","3",,"40.60331013","-74.14179794","944875","159113","944369","157944","2","50","27301","5107306","New Springville-Bloomfield-Travis"
"Indoor","40425393","COLONY CLUB","564","PARK AVENUE","MA","10021","2019-01-03T00:00:00.000","Routine Inspection","0","0","0","0",,"40.76504424","-73.96825371","993044","218007","992917","218042","8","4","11401","1040899","Upper East Side-Carnegie Hill"
"Indoor","40425398","Y.M. HEBREW ASSOCIATION OF BORO PARK","4910","14 AVENUE","BK","11219","2019-06-24T00:00:00.000","Routine Inspection","3","1","0","2","12265-19S0","40.63357092","-73.99005252","987011","170106","986919","170159","12","44","236","3416888","Borough Park"
"Indoor","40425398","Y.M. HEBREW ASSOCIATION OF BORO PARK","4910","14 AVENUE","BK","11219","2019-07-08T00:00:00.000","Re-Inspection","1","1","0","0","12265-19S1","40.63357092","-73.99005252","987011","170106","986919","170159","12","44","236","3416888","Borough Park"
"Indoor","40425399","THE UNIVERSITY CLUB","1","WEST 54 STREET","MA","10019","2019-12-17T00:00:00.000","Routine Inspection","1","1","0","0","23872-19S0","40.76124461","-73.97585413","990939","216622","990989","216702","5","4","104","1034800","Midtown-Midtown South"
