"district","dbn","school_name","address","phone","g_t_grades","accessibility","citywide_g_t","x_coordinate","y_coordinate","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"01","01M015","P.S. 015 Roberto Clemente","333 East 4th Street","212-228-8730","K-5","Partially Accessible",,"990141","202349","10009","MANHATTAN","40.721791","-73.978986","103","2","2601","1004415","1003740020","Lower East Side"
"01","01M110","P.S. 110 Florence Nightingale","285 Delancy Street","212-674-2690","K-5","Not Accessible",,"989846","200153","10002","MANHATTAN","40.715915","-73.979893","103","1","12","1004066","1003310140","Lower East Side"
"01","01M539","New Explorations into Science, Technology and Math","111 Columbia Street","212-677-5190","K-5","Not Accessible","Y","989910","201380","10002","MANHATTAN","40.718895","-73.979308","103","2","2201","1004070","1003350001","Lower East Side"
"02","02M011","P.S. 011 William T. Harris","320 West 21st Street","212-929-1743","K-5","Not Accessible",,"984044","210404","10011","MANHATTAN","40.744349","-74.000253","104","3","89","1013260","1007440024","Hudson Yards-Chelsea-Flatiron-Union Square"
"02","02M033","P.S. 033 Chelsea Prep","281 9th Avenue","212-244-6426","K-5","Fully Accessible",,"984184","212163","10001","MANHATTAN","40.748977","-73.999531","104","3","97","1012829","1007240023","Hudson Yards-Chelsea-Flatiron-Union Square"
"02","02M077","P.S. 77 Lower Lab School","1700 3rd Avenue","212-427-2798","K-5","Not Accessible",,"997980","225284","10128","MANHATTAN","40.784826","-73.949611","108","5","15801","1048492","1015240023","Upper East Side-Carnegie Hill"
"02","02M111","P.S. 111 Adolph S. Ochs","440 West 53rd Street","212-582-7420","K-5","Not Accessible",,"987082","218308","10019","MANHATTAN","40.765878","-73.988823","104","3","133","1026740","1010620003","Clinton"
"02","02M124","P.S. 124 Yung Wing","40 Division Street","212-966-7237","K-5","Partially Accessible",,"985354","199806","10002","MANHATTAN","40.714201","-73.995087","103","1","16","1075787","1002890001","Chinatown"
"02","02M130","P.S. 130 Hernando De Soto","143 Baxter Street","212-226-8072","K-5","Fully Accessible",,"984714","201104","10013","MANHATTAN","40.718903","-73.998438","102","1","41","1003086","1002360038","SoHo-TriBeCa-Civic Center-Little Italy"
"02","02M198","P.S. 198 Isador E. Ida Straus","1700 3rd Avenue","212-289-3702","K-5","Not Accessible",,"997980","225284","10128","MANHATTAN","40.784826","-73.949611","108","5","15801","1048492","1015240023","Upper East Side-Carnegie Hill"
"02","02M217","P.S./I.S. 217 Roosevelt Island","645 Main Street","212-980-0294","K-5","Fully Accessible",,"996320","213836","10044","MANHATTAN","40.763894","-73.947916","108","5","23802","1084848","1013730001","Lenox Hill-Roosevelt Island"
"03","03M163","P.S. 163 Alfred E. Smith","163 West 97th Street","212-678-2854","K-5","Not Accessible",,"992980","228978","10025","MANHATTAN","40.794264","-73.968706","107","7","185","1055908","1018520099","Upper West Side"
"03","03M165","P.S. 165 Robert E. Simon","234 West 109th Street","212-678-2873","K-5","Not Accessible",,"993677","231707","10025","MANHATTAN","40.802917","-73.965613","107","7","195","1056676","1018800013","Morningside Heights"
"03","03M166","P.S. 166 The Richard Rodgers School of The Arts and Technology","132 West 89th Street","212-678-2829","K-5","Partially Accessible",,"991849","226705","10024","MANHATTAN","40.788865","-73.971847","107","6","173","1032308","1012190047","Upper West Side"
"03","03M334","The Anderson School","100 West 77th Street","212-595-7193","K-5","Partially Accessible","Y","990453","223648","10024","MANHATTAN","40.780822","-73.976855","107","6","161","1030178","1011480014","Upper West Side"
