Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&Maes B.V.;;;1;;;;;1
&Samhoud Nederland B.V.;;;2;;;;;2
(Medical Point Of View);;2;;;;;;2
2 Know How;;;;;;1;;1
200 OK;;;;;;1;;1
4 Happinezz;1;;;;;;;1
7Zebra's;2;;;;;;;2
A Piece of Sense;1;;;;;;;1
A.M.C. van Gorp;1;;;;;;;1
Aan de statie;;;1;;;;;1
Aaneen;;;1;;;;;1
Aanmelder.nl B.V.;2;;;;;;;2
ABBYY Europe GmbH;;;;;;1;;1
ABF Research B.V.;5;;;;;;;5
Accenture B.V.;;;;;;2;;2
ActiZ;4;;;;;;;4
Adviesbureau Hollander en van der Mey B.V.;3;;;;;;;3
Adviesbureau Van Montfoort B.V.;2;;;;;;;2
AEVES B.V.;4;;;;;;4;5
Agressie, en daarna?;1;;;;;;;1
Aigency B.V.;;;;;;2;;2
Alet Klarenbeek;2;;1;;;;;2
Altra Centraal Bureau;2;;;;;;;2
America Digitaal Druk B.V.;1;;;;;;;1
Amsterdams Centrum voor Familietherapie;1;;;;;;;1
ANBO;2;;;;;;;2
Andersson Elffers Felix;;2;6;;;;;6
Andersson Elffers Felix Beheer B.V.;;;;;;2;;2
Ankerpunt.com B.V.;3;;;;;;;3
Anne Frank Stichting;;;1;;;;;1
Anoniem_VWS_4;;;;;;1;;1
Anoniem_VWS_6;2;;;;;;;2
Anoniem_VWS_9;;;1;;;;;1
Apotheekhoudende Huisartspraktijk Mutsaerts;;;1;;;;;1
Arbo Unie B.V.;2;;;;;;;2
Archie Europe B.V.;1;;;;;;;1
Argo;2;;1;;;;;2
Art 4 You Decorations;1;;;;;;;1
Artivatie B.V.;4;;;;;;;4
Assistis;;;3;;;;;3
Associatie Wijkteams;2;;;;;;;2
Atos Nederland B.V.;;;4;;;3;;5
Automotive Publishing B.V.;2;;;;;;;2
AVB Vertalingen;;;;;;2;;2
Aveq Show Theatre & Congress Facilities;2;;;;;;;2
AVS;2;;;;;;;2
Babbage Company B.V.;3;;;;;;;3
Battle of Concepts B.V.;2;;;;;;;2
BDO Advisory B.V.;;;3;;;;;3
Be Positive;1;;;;;;;1
BeBright Consultancy B.V.;1;;;;;;;1
Beekhuizen Bloembinders v.o.f.;;;1;;;;;1
Beer advocaten N.V.;;;2;;;;;2
Begonia Advies;2;;;;;;;2
Behandelpaspoort B.V.;4;;;;;;;4
