 leveranciers;5110 - Verblijf extern;5210 - Wagenpark;5-Vervoer en verblijfskosten
7Am;2;;2
A1-City;1;;1
AC Restaurants & Hotels;1;;1
Achtienhonderdeenenvijftig (1851);1;;1
Albron Catering;4;;4
Alticom;2;;2
Amazing Bread Company (incl. Mammomi);1;;1
Amershof Restaurant-Hotel-Zalencentrum;1;;1
Amsterdam Airport Schiphol;1;;1
A-Point;;1;1
Ara Hotel;1;;1
Arab Translation Service;1;;1
Ardea Auto;;1;1
ASS Autofauteuils;;2;2
Athlon Car Lease;;4;4
Auto Heurkens Echt B.V.;;1;1
Auto Hoogenboom;;1;1
Auto Indumij Dordrecht;;1;1
Auto Muntstad;;1;1
Auto Smidts Tolbert B.V.;;1;1
Autobedrijf Botman Zwaag B.V.;;1;1
Autobedrijf Coppes B.V.;;1;1
Autobedrijf Van Haren B.V.;;1;1
Autobedrijf van Mossel;;1;1
Automobielbedrijf Blekkink Aalten B.V.;;1;1
Autoverhuur Bultman;;1;1
B&S Autoaanpassing en Research;;1;1
Baarends;;1;1
Badhotel;1;;1
BCN Business Centre Nederland;1;;1
Berend Jan van der Kolk;;2;2
Best Western Hotels;1;;1
Bever Autoaanpassingen;;1;1
Bilderberg Hotels;1;;1
Blingaffair/nomadz;1;;1
BPF - Bouwinvest Office Fund;1;;1
Brandsen Rondeel;1;;1
Brandsma's Autobedrijf;;1;1
Broekhuis Bedrijfswagens;;1;1
BST Dintelsas;;1;1
Bureau G.I.T;1;;1
Campanile Hotel & Restaurant;1;;1
Carlson Wagonlit Travel;7;;7
Carrosserie Akkermans;;1;1
Carwash & Co;;1;1
Castra Restaurant;1;;1
Centre For Generative Leadership;1;;1
Century Autogroep (incl. BMC Groningen);;1;1
Cityrent Autoverhuur;;1;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);1;;1
Compu Act Opleidingen;2;;2
Conferentiecentrum Kaap Doorn;1;;1
Connexxion;;4;4
Conrad Electronic;;1;1
Coolblue - Pda Shops;;1;1
Cotica HRM advies;1;;1
Crepa;;1;1
Crepa Heftruck Verhuur;;1;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;1;;1
Crowne Plaza;2;;2
Dazhong;1;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;1;;1
De Beukenhof Restaurant Hotel;1;;1
De Bonte Wever Assen (De Smelt);1;;1
De Haan Minerale Olien;;1;1
De Hoorneboeg/Ernst Sillem Hoeve Conferentiecentrum;1;;1
De Koningshof Restaurant;1;;1
De Observant Stadscafé;1;;1
De oude school;1;;1
De Posthoorn Hotel-Café-Restaurant;1;;1
De Prom Utrecht (incl. Vredenburg);1;;1
De Rode Hoed;1;;1
De Wittenburg;1;;1
Delano;1;;1
Delflandhoeve/Kemps en Geraeds;1;;1
Disconsult (incl. Dior Opleidingen);1;;1
DOCplus B.V.;1;;1
Domstad Hogeschool, Cursus- en Vergadercentrum;1;;1
Dorpscafe 'T Steckie;1;;1
Dorpshuis De Betuwe Poort;1;;1
DPI Value Centre;1;;1
Ducktrail;1;;1
D'Uston & Allard;;1;1
Eden Hotels;1;;1
Ehzerwold Landgoed;1;;1
Emmeloord Hotel;1;;1
Eurodata Compliance Group B.V.;1;;1
Eurohotel;1;;1
Exploitatiemaatschappij Seaport Beach Resort;1;;1
Fashion Hotel Amsterdam;2;;2
Fine Asian Gourmet;1;;1
Fleetlogic;;1;1
Fletcher Hotel Restaurant;1;;1
G. Heijman en Zn.;;1;1
Geniet Eetwinkel;1;;1
Golden Tulip;1;;1
Grevelingen Restaurant;1;;1
Groeneveld Catering;3;;3
