;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
A.C.S. B.V.;1;;;;;;1
Arvato Benelux B.V.;;;;;1;;1
Axiell ALM Netherlands B.V.;;;1;;;;1
BCT B.V.;;;;1;;;1
Bourgonje Geluid- en Lichtservice B.V.;;2;;;;;2
BPI Services B.V.;;2;;;;;2
Bumicom Telecommunicatie B.V.;;1;2;;;;2
Bureau BlauwGeel B.V.;;;1;;;;1
Buyitdirect.com B.V.;3;;;;;;3
Centralpoint Amstelveen B.V.;;2;;;;;2
Centralpoint Nijmegen B.V.;3;4;;1;;2;5
CM.COM Netherlands B.V.;;;;;1;;1
COMPAREX Nederland B.V.;;;4;5;;;6
Coolblue B.V.;1;;;;;;1
DEDACOM B.V.;;;;;1;;1
DTG B.V.;;;;;1;;1
Easy Systems B.V.;;;2;;;;2
EMMA Communicatie B.V.;;;;;;2;2
Entopic B.V.;;;;1;;;1
GW Cross Media B.V.;;;;;;2;2
Hewlett-Packard Nederland B.V.;;;;;;2;2
Holland Catering Specialisten Loc. Woudestein;;1;;;;;1
Icorp.NL B.V.;;;;1;;;1
ING Bank N.V.;;;1;1;;;1
KPN B.V.;;;;;2;3;3
KPN Contact lokatie Eindhoven;;;;1;1;;1
KPN Mobiel;;;;;1;;1
KPN Ventures B.V.;;;;;1;;1
KPN winkel;;;;3;;;3
Liters B.V.;;;2;;;;2
Loo Van Eck B.V.;;;2;;;;2
Micro Focus Nederland B.V.;;;;2;;;2
Motiv It Masters B.V.;;;;;;2;2
Multi-Post Nederland B.V.;;1;;;;;1
Nielsen Media Research B.V.;;;1;;;;1
Office Depot B.V.;1;;;;;;1
Oped (II) B.V.;;;2;;;;2
Pardon Consult;;;1;1;;;1
Preware IT B.V.;;;;1;;;1
Prik! Vormgeving;;;;1;;;1
Prisma-IT B.V.;;;;1;;;1
Protinus IT B.V.;1;;1;1;;;1
Reconi B.V.;;;1;;;;1
SAP Nederland B.V.;;;;2;;;2
Slik Media;;;1;;;;1
Softcrow B.V.;;;;1;;;1
SoftwareONE B.V.;;;;4;;4;4
Solvinity B.V.;;;;;;1;1
Square Information Solutions;;;1;1;;;2
Tele2 Nederland B.V.;;;;1;2;;2
Telindus-ISIT B.V.;;;;4;;;4
TOPdesk Nederland B.V.;;;;1;;2;2
UNIT4 Business Software B.V.;;;;3;;;3
VCD Business Intelligence B.V.;;;;1;;;1
Vodafone;;;;;3;1;3
Xerox (Nederland) B.V.;1;1;;1;;;2
Ziggo B.V.;;;;1;2;;2
Eindtotaal;4;5;5;6;4;5;7
