Gemeente_naam;Verkiezingen_type;Verkiezingen_jaar;Stembureau_nummer;Stembureau_naam;Stembureau_woonplaats;Stembureau_straat;Stembureau_huisnummer;Stembureau_huisletter;Stembureau_huisnummertoevoeging;Stembureau_postcode;Stembureau_wijknaam;Stembureau_buurtnaam;Stembureau_openingstijden_14-03-2022;Stembureau_openingstijden_15-03-2022;Stembureau_openingstijden_16-03-2022;Stembureau_toegankelijk_voor_lichamelijke_beperking;Gebouw_gebruiksdoel;Stembureau_BAG_referentie_nummer;Stembureau_X;Stembureau_Y;Longitude;Latitude;Gemeente_verkiezingswebsite;Verkiezingen_contactgegevens
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;1;Gemeentekantoor;Maarssen;Endelhovenlaan;1;;;3601GR;Maarssen;Omgeving Goudestein;07:30 tot 21:00;07:30 tot 21:00;07:30 tot 21:00;ja;kantoorfunctie;0333200000018209;130753.674000;461879.719000;5.032985;52.144572;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;2;De Vondel;Maarssen;Vondelstraat;51;;;3601EX;Maarssen;Lanenkwartier;Niet geopend;Niet geopend;07:30 tot 21:00;ja;woonfunctie;0333200000007283;131130.857000;461838.183000;5.038498;52.144215;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;3;Basisschool De Klaroen;Maarssen;Michiel Adriaanszoon de Ruyterstraat;2;;;3601TJ;Maarssen;Zeeheldenbuurt;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie;0333200000004586;131396.037000;462075.985000;5.042356;52.146364;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;4;Gymzaal Huis ten Bosch;Maarssen;Huis ten Boschstraat;7;;;3601AA;Maarssen;Schilderskwartier;Niet geopend;Niet geopend;07:30 tot 21:00;ja;sportfunctie;0333200000015673;131785.316000;461488.473000;5.048083;52.141100;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;5;Basisschool Het Kompas 2;Maarssen;Buitenweg;308;;;3602ZK;Maarssen;Zandweg-Oostwaard;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie, overige gebruiksfunctie;0333200000001379;132130.203000;460939.800000;5.053158;52.136183;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;6;OVVO hal;Maarssen;Sportparkweg;9;;;3604AW;Maarssen;Op Buuren;Niet geopend;Niet geopend;07:30 tot 21:00;ja;sportfunctie;0333200000006281;132657.528000;459649.313000;5.060945;52.124606;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;7;Dorpshuis De Veenkluit;Tienhoven;Ds. Ulferslaan;25;;;3612BH;Tienhoven;Tienhoven-Oud Maarsseveen;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie, sportfunctie;0333200000001125;134149.993000;464221.176000;5.082458;52.165755;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;8;Basisschool Het Kompas;Maarssen;Bolensteinsestraat;9;;;3603AZ;Maarssen;Centrum ten zuiden van de Vecht;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie;1904200000032283;131115.129922;461300.538977;5.038306;52.139382;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;9;Het Trefpunt;Maarssen;Kerkweg;21;;;3603CL;Maarssen;Componistenbuurt;Niet geopend;Niet geopend;07:30 tot 21:00;ja;woonfunctie;0333200000016075;131409.170000;461107.212000;5.042615;52.137657;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;10;Sportzaal Bloemstede;Maarssen;Bloemstede;223;;;3608TA;Maarssenbroek;Bloemstede;Niet geopend;Niet geopend;07:30 tot 21:00;ja;woonfunctie;0333200000014869;130794.263000;459892.084000;5.033720;52.126709;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
