Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
(ASI) Advanced Security Intelligence;;;;;;4;;;4
(Naast) de Markt B.V.;;;;;;;1;;1
123 3D B.V.;;;;;;1;;;1
123Accu B.V.;;;;;;1;;;1
21 The Netherlands;;;;1;;;;;1
2Blearning B.V.;;;;;;2;;;2
2CC Drinks;;;;1;;;;;1
2DOBOARD B.V.;;;;;;1;;;1
2-Rescue;;;;;;1;;;1
33 tweewielers;;;;;1;;;;1
360-Control B.V.;;;;;;2;;;2
3M Nederland B.V.;;;;;;1;;;1
4 Seasons Events;;;;;;;1;;1
4D organisatieontwikkeling & opleiding;;;;;;1;;;1
5hart-IT Opleidingen B.V.;;;;;;5;;;5
A M W Parts & Tools;;;;;;3;;;3
A&E Promotions & Event Support '88;;;;;;1;;;1
A1-Plaza B.V.;;;;;;;1;;1
A3 Company B.V.;;;;;;1;;;1
a4 Training;;;;;;1;;;1
AAB Training en Opleiding B.V.;;;;;;1;;;1
Aannemingsbedrijf Dozy B.V.;;;;;;1;;;1
ABC Media;;;;;;1;;;1
abcfinance B.V.;;;;;;;1;;1
Aboma;;;;1;;;;;1
About Flowers;1;;;1;;;;;1
ABP-Reclame;;;;2;;;3;;4
Absoluta Food and Facilities B.V.;;;;;;;1;;1
Abtronix B.V.;;;;;;1;;;1
Academie voor leefstijl en gezondheid B.V.;;;;;;1;;;1
Academie voor Medisch Specialisten B.V.;;;;;;2;;;2
Academie voor Psychologica;;;;;;1;;;1
Academie4leiderschap;;;;;;1;;;1
Academy for Leadership B.V.;;;;;;1;;;1
Academy of Logistics;;;;;;1;;;1
Academy Payroll Professionals;;;;;;1;;;1
AccreDidact B.V.;;;;;;1;;;1
ACE Pharmaceuticals B.V.;;;2;;;;;;2
Acteursbureau Kapok B.V.;;;;1;;1;;;2
Active Health Center Ypenburg;;;;;;;1;;1
Add-Mission B.V.;;;;;;1;;;1
Administratiekantoor Kroese;;;;1;;;1;;1
Adola B.V.;;;;;;;1;;1
Advanced Forces Group B.V.;;;;;;6;;;6
Aeneas B.V.;;;;;;1;;;1
Aero Scan B.V.;;;;;;1;;;1
Agile Scrum Group B.V.;;;;;;1;;;1
Ahoy Rotterdam N.V.;;;;;1;;;;1
Ai-Opener;;;;;;1;;;1
Air-Comms;;;;;;1;;;1
Aircraft Maintenance & Training School B.V.;;;;;;3;;;3
AIRINC International Holdings B.V.;;;;;2;;;;2
Akta Trading Holland B.V.;;;;;;1;;;1
Albersen Verhuur B.V.;;;;1;;;;;1
Alfabet B.V.;;;;2;;;1;;2
All About Flowers;;;;1;;;;;1
All In Verhuur B.V.;;;;;;;1;;1
All Medical B.V.;;;;;;1;;;1
Allekabels B.V.;;;;;;1;;;1
Alliance Healthcare;;;1;;;;;;1
Allied Forces;;;;;;2;;;2
allinScope B.V.;;;;;;1;;;1
ALLJoers B.V.;;;;;;2;;;2
AllwaysFit;;;;;;1;;;1
Almeva B.V.;;;;;;1;;;1
Alp Lift B.V.;;;;;;1;;;1
Altrex B.V.;;;1;;;;;;1
A-Mac B.V.;;;;;;;2;;2
Ambitech B.V.;;;;;;2;;;2
Ambutraining;;;;;;3;;;3
American Steakhouse & Saloon Silverado;;;;1;;;;;1
AMH Dienstenmakelaar B.V.;;;;;;1;;;1
AMN Systems B.V.;;;;;;1;;;1
Amstel Boathouse B.V.;;;;;;;1;;1
Amstel Music B.V.;;;;1;;;;;1
Amsterdams ADR Instituut B.V.;;;;;;3;;;3
Amsterdamse Bloemenmarkt;;;;1;;;;;1
Anchor Men;;;;;;3;;;3
Anoniem_DEF_10;;;;;;1;;;1
Anoniem_DEF_100;;;;1;;;;;1
Anoniem_DEF_101;;;;;;1;;;1
Anoniem_DEF_108;;;;1;;1;;;1
Anoniem_DEF_110;;;;1;;;;;1
Anoniem_DEF_112;;;;1;5;;;;5
Anoniem_DEF_113;;;;;;5;;;5
Anoniem_DEF_114;;;;;;2;;;2
Anoniem_DEF_12;;;;;;1;;;1
Anoniem_DEF_122;;;;1;;;;;1
Anoniem_DEF_124;;;;1;;;;;1
Anoniem_DEF_126;;;;1;;;;;1
Anoniem_DEF_128;;;;1;;1;;;1
Anoniem_DEF_129;;;;;;1;;;1
Anoniem_DEF_130;;;;;;1;;;1
Anoniem_DEF_131;;;;;;2;;;2
Anoniem_DEF_133;;;;;;1;;;1
Anoniem_DEF_134;;;;;;1;;;1
Anoniem_DEF_136;;;;1;;;;;1
Anoniem_DEF_145;;;;1;;;;;1
Anoniem_DEF_146;;;;1;;;;;1
Anoniem_DEF_148;;;;;;1;;;1
Anoniem_DEF_154;;;;;1;;;;1
Anoniem_DEF_155;;;;;;1;;;1
Anoniem_DEF_158;;;;;;;2;;2
Anoniem_DEF_159;;;;;;1;;;1
Anoniem_DEF_162;;;;;;1;;;1
Anoniem_DEF_163;;;;1;;;1;;1
Anoniem_DEF_164;;;;;;1;;;1
Anoniem_DEF_167;;;;;;2;;;2
Anoniem_DEF_17;;;;1;;;;;1
Anoniem_DEF_170;;;;;;1;;;1
Anoniem_DEF_171;;;1;;;;;;1
Anoniem_DEF_177;;;;;;1;;;1
Anoniem_DEF_178;;;;1;;1;;;1
Anoniem_DEF_18;;;;1;;;;;1
Anoniem_DEF_182;;;;;;;1;;1
Anoniem_DEF_187;;;;1;;;;;1
Anoniem_DEF_196;;;;;;1;;;1
Anoniem_DEF_2;;;;;;2;;;2
Anoniem_DEF_200;;;;;;3;;;3
Anoniem_DEF_204;;;;;;3;;;3
Anoniem_DEF_208;;;;;3;;;;3
Anoniem_DEF_209;;;;;;1;;;1
Anoniem_DEF_21;;;;1;;;;;1
Anoniem_DEF_211;;;;;;2;;;2
Anoniem_DEF_213;;;;;;1;;;1
Anoniem_DEF_215;;;;;;1;;;1
Anoniem_DEF_216;;;;;;;1;;1
Anoniem_DEF_217;;;;;;1;;;1
Anoniem_DEF_22;;;;;;1;;;1
Anoniem_DEF_222;;;;;;1;;;1
Anoniem_DEF_226;;;;1;;;;;1
Anoniem_DEF_227;;;;;;1;;;1
Anoniem_DEF_229;;;;;;;1;;1
Anoniem_DEF_23;;;;1;;;;;1
Anoniem_DEF_231;;;;;;1;;;1
Anoniem_DEF_234;;;;;;1;;;1
Anoniem_DEF_235;;;;;;1;;;1
Anoniem_DEF_243;;;;;;1;;;1
Anoniem_DEF_244;;;;1;;;;;1
Anoniem_DEF_25;;;;;;;1;;1
Anoniem_DEF_255;;;;;;1;;;1
Anoniem_DEF_256;;;;;;1;;;1
Anoniem_DEF_257;;;;;;1;;;1
Anoniem_DEF_26;;;;;;1;;;1
Anoniem_DEF_260;;;;;;1;;;1
Anoniem_DEF_262;;;;;;1;;;1
Anoniem_DEF_265;;;;1;;;;;1
Anoniem_DEF_269;;;;;;;1;;1
Anoniem_DEF_270;;;;;1;;;;1
Anoniem_DEF_273;;;;;;3;;;3
Anoniem_DEF_274;;;;;;1;;;1
Anoniem_DEF_278;;;;;;1;;;1
Anoniem_DEF_281;;;;;;1;;;1
