Handelsnaam anonimiseerd;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
A. de Jong T.H. Beheer;;2;2
A.P.K. Centrum Osdorp B.V.;;1;1
Aanhangwagen Centrum Eindhoven B.V.;;1;1
Abiom Communication Systems (A.C.S.) B.V.;;1;1
Aboma;;1;1
Aebi Schmidt Nederland B.V.;;2;2
Aep Auto Electric Parts & Tools;;1;1
Aero Marche B.V.;;1;1
Airsain;;1;1
Albers & Klein;;1;1
Albers Zeilmakerij B.V.;;3;3
Al-Ko Kober B.V.;;1;1
All Risk B.V.;;1;1
Anoniem 1023;;1;1
Anoniem 1103;;1;1
Anoniem 1108;;1;1
Anoniem 1180;;1;1
Anoniem 1226;;1;1
Anoniem 123;;1;1
Anoniem 1297;;1;1
Anoniem 1314;;1;1
Anoniem 1351;;7;7
Anoniem 1410;;1;1
Anoniem 1411;;1;1
Anoniem 1414;;1;1
Anoniem 1481;;1;1
Anoniem 189;;1;1
Anoniem 226;;1;1
Anoniem 229;;2;2
Anoniem 322;;1;1
Anoniem 394;;1;1
Anoniem 451;;1;1
Anoniem 508;;1;1
Anoniem 519;;1;1
Anoniem 53;;2;2
Anoniem 549;;1;1
Anoniem 555;;2;2
Anoniem 559;;1;1
Anoniem 575;;1;1
Anoniem 85;;1;1
Anoniem 97;;1;1
Antonisen B.V.;;4;4
ANWB B.V.;;4;4
ARAMEX;;4;4
Ardea Auto Rotterdam-West;;1;1
Arend Auto B.V.;;1;1
Ass. Autofauteuils B.V.;;1;1
ASV Automobielbedrijven B.V.;;4;4
Athlon Car Lease Nederland B.V.;;5;5
Auto 123 Oss B.V.;;2;2
Auto Rega B.V.;;1;1
Auto Schadeherst. Centr. Amersfoort ASCA B.V.;;2;2
Autobedrijf G. van den Akker;;1;1
Autobedrijf J. ten Hove en Zn.;;1;1
Autobedrijf van den Udenhout B.V.;;2;2
Autocentrum Castricum B.V.;;2;2
Automobielbedrijf Martin Schilder B.V.;;1;1
Automobielbedrijf Stoomberg B.V.;;1;1
Automotions MB Roosendaal;;2;2
Autoplex Zevenaar B.V.;;3;3
Autopoetsbedrijf Kleiboer V.O.F.;;1;1
Autoschade J. Niesing B.V.;;2;2
Autoschade Kraan Doorn B.V.;;1;1
Autoschade Rijnders Amersfoort B.V.;;3;3
Autoschade Tiemessen Vaassen B.V.;;1;1
Autoverhuur Bultman B.V.;;1;1
Aviquipo Holland B.V.;;1;1
Axxicom Airport Caddy B.V.;;1;1
B&B Boerderij de Fryhof V.O.F.;1;;1
B.V. Automobielbedrijf Willem Schmidt;;1;1
B.V. Rederij G. Doeksen en Zonen;;2;2
B.V. Rotterdamse Gar.- & Autom.Mij. 'Rogam';;1;1
B.V. Scheepswerf Damen Hardinxveld;;1;1
Baan Twente B.V.;;1;1
Bakker Bedrijfswagens Scherpenzeel;;1;1
Bandorama B.V.;;2;2
Barge Terminal Tilburg B.V.;;1;1
BAS Groep B.V.;;1;1
Bastion Hotel Breda B.V.;2;;2
BCD Travel Nederland B.V.;;8;8
Bedrijfswagen Service Friesland B.V.;;2;2
Be-Ge Savas Seating B.V.;;2;2
BekkerLaGram Waalwijk B.V.;;2;2
Benzine Super Markt Rijckholt V.O.F.;;1;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;3;3
Bergnet;;1;1
Besbo Automaterialen B.V.;;2;2
Besseling Onderhoud B.V.;;2;2
Biemond & Van Wijk;;4;4
Bloem- en Tuincentrum Van der Maat B.V.;;1;1
Bloks Auto en Autoschade;;2;2
