"Gemeente","Jaar","Periode","Beleidsprogramma","Organisatie","Subsidie beschikt","Bekostigd uit rijksinkomsten","Wettelijke taak","Globaal overzicht gesubsidieerde activiteiten"
"Vlaardingen",2016,"Q2","Programma Kunst en Cultuur","Lokale Omroep Vlaardingen","45.202,00","ja, 1,14 euro per huishouden","ja, er is een bekostigingsplicht","56 uur lokaal media-aanbod per week."
"Vlaardingen",2016,"Q2","Programma Kunst en Cultuur","Vlaardingse Cultuur Stichting","753.883,00","nee","nee","Verdelen van het budget voor culturele evenementen en activiteiten waaronder beoordelen van aanvragen en toekennen van financiﾉle bijdragen voor culturele activiteiten. Subsidie is beﾉindigd vanaf juli 2016."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Jeugdstad Vlaardingen","13.736,00","nee","nee","Organiseren van Jeugdstad Vlaardingen in kerstvakantie 2016."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Scouting Vlaardingen","28.654,00","nee","nee","Het wekelijks spelen van het scoutingspel voor kinderen en jongeren en het organiseren van eenmalige activiteiten."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Stichting TechNet NWN","32.000,00","nee","nee","U verricht hiervoor activiteiten op het gebied van onderwijs en techniek, zoals een techniekweek voor het basisonderwijs, leerlingen in het VMBO, ouderbijeenkomsten techniek, docentendag techniek, beroepenmanifestatie. Incidenteel in 2015 extra inzet op primair onderwijs ivm inzet overgebleven budget 2014."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","CJV Vlaardingen ","60.888,00","nee","nee","Groeps- en clubwerk voor jongeren in de leeftijd van 7 tot 12 jaar. Sociﾉteits- en groepswerk voor jongeren in de leeftijd van 12 tot 23 jaar. En eenmalige groepsactiviteiten zoals kamp en weekendwerk. In dienst hebben van een pedagogisch werker."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","UN1EK Kinderopvang BV (VVE)","80.640,00","ja","ja","VVE activiteiten."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Stichting Zorg Voortgezet Onderwijs NWN ","83.790,00","nee","ja","Steunpunt onderwijs: plaatsingsadviescommissie, bovenschool Zorg Advies Team, doorlopende leerlijnen. Steunpunt jongeren: trajectbegeleiding, preventieplan/decanen advies team. "
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Stichting Aanzet (1e deel schooljaar 2015 -2016)","523.994,68","ja","ja","Organiseren van activiteiten in het kader van achterstandenbeleid, 1e deel schooljaar 2015-2016."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Stichting Ondernemersfonds Vlaardingen","550.000,00","nee","nee","Subsidiegelden her te verdelen onder collectief handelende trekkingsgerechtigden conform het convenant welke is afgesloten met de gemeente. Daarnaast stimuleren van ondernemers per regio en per sector door het oprichten van ondernemers verenigingen die trekkingsrecht uitoefenen."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Stichting Aanzet (1e deel schooljaar 2016 - 2017)","570.882,97","ja","ja","Organiseren van activiteiten in het kader van achterstandenbeleid, 1e deel schooljaar 2016-2017."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","UN1EK Kinderopvang BV (Peuterspeelzaalwerk)","627.207,00","ja","ja","Peuterspeelzaalwerk 2016."
"Vlaardingen",2016,"Q2","Programma Onderwijs, Economie en Haven","Stichting Aanzet (2e deel schooljaar 2015 - 2016)","727.756,00","ja","ja","Organiseren van activiteiten in het kader van achterstandenbeleid."
"Vlaardingen",2016,"Q2","Programma Sociaal Domein","Katholieke Bond van Ouderen","600,00","nee","nee","Belangenbehartiging van ouderen in Vlaardingen en organiseren van ontspannende activiteiten voor deze groep."
"Vlaardingen",2016,"Q2","Programma Sociaal Domein","Protestantse Christelijke Ouderen Bond (PCOB)","850,00","nee","nee","Activiteiten in het kader van belangenbehartiging voor 55-plussers in Vlaardingen en ontspannende activiteiten voor deze doelgroep."
"Vlaardingen",2016,"Q2","Programma Sociaal Domein","Stichting Vlaardings Overleg Revalidatie (VOR)","2.150,00","nee","nee","Belangenbehartiging van mensen met een lichamelijke beperking en het bevorderen van de toegankelijkheid van gebouwen en openbaar gebied voor de minder valide inwoners van Vlaardingen."
"Vlaardingen",2016,"Q2","Programma Sociaal Domein","Samenwerking Informele Zorg ","5.200,00","nee","nee","Samenwerkingsverband verschillende organisaties binnen de respijtzorg in brede zin. "
"Vlaardingen",2016,"Q2","Programma Sociaal Domein","Stichting Sociaal Cultureel Werk Vlaardingen - West","14.995,00","nee","nee","In overleg met de wijkvereniging Wijkbelangen Vettenoordsepolder worden activiteiten ontwikkeld en aangeboden voor de buurt"
"Vlaardingen",2016,"Q2","Programma Sociaal Domein","Stichting Sociaal Cultureel Werk Vlaardingen - West","14.995,00","nee","nee","In overleg met de wijkvereniging West op zijn Best worden activiteiten ontwikkeld en aangeboden voor de buurt."
"Vlaardingen",2016,"Q2","Programma Sociaal Domein","Stichting Wijkcentrum 't Nieuwelant","14.995,00","nee","nee","In overleg met de wijk worden activiteiten ontwikkeld en aangeboden voor de buurt."
