Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-Communicatie
&Maes;;;;1;;1
2D3D - Bureau Voor 2- en 3-Dimensionale Vormgeving;;;;;1;1
A. Reijndorp BV;;;;1;;1
AAA Display;1;;;;;1
Aad Hoogendoorn Fotografie;;;;1;1;1
Accountor Group;1;;;;;1
Ad Hosman Bloemsierkunst;;;1;;;1
Adamnet;1;;;;;1
Adlib Gebruikersgroep;1;;;;;1
Algemene Onderwijsbond;1;;;;;1
Algemene Vereniging Schoolleiders;1;;;;;1
Alice Overmeer Scheepsarcheologie;;;;;1;1
Amsio (vh Argeweb);;;;;1;1
Amsterdam Airport Schiphol;;;;;2;2
Anna Vastgoed & Cultuur;;;;1;;1
Anne Versloot;;;;;1;1
Anoek Artistiek;;;;;1;1
ANP - Algemeen Nederlands Persbureau;2;;;;1;2
AO Contact Group;1;;;;;1
Arcgis Gebruikersgroep Nederland;1;;;;;1
Arenda Oomen Fotografie;;;;;1;1
Art Conservation;1;;;;;1
Augustus Connect;1;;;;;1
Aura Software;1;;;;;1
B+B Vakmedianet;1;;;;;1
Bakker Boogers;;;1;;;1
Balance2 - Texts and Translations;;1;;;;1
Balansgroep Opleidingen & Consultancy;1;;;;;1
Banketbakkerij Maison Kelder;;;1;;;1
Banketbakkerij Salverda;;;1;;;1
Barkhuis Publishing;1;;;;1;1
Bart Maat Fotografie;;;;;1;1
Bart van Vliet Freelance Fotograaf;;;;;1;1
Bazalt Educatieve Uitgaven;;;;1;;1
BBP Beerens Business Press (incl. Twinkle);1;;;;;1
BCL Archaeologcial Support;;;;;2;2
BCM;1;;;;;1
Beautiful Code B.V.;;;;;1;1
Bee VOF (incl. SmartPR);;;;;1;1
Besseling Vervoert;;;;1;;1
Betty van de Bunt;;;;;1;1
Beursgebouw Eindhoven;;;;;1;1
Bibliotheek Arnhem;1;;;;;1
BIM Media;1;;;;;1
BIN3 Business Intelligence Netwerk Noord Nederland;1;;;;;1
Binnenlands Bestuur;1;;;;;1
Bitmove B.V.;;;;;2;2
Bizzprint;;;;1;1;1
BJU Boom Juridische Uitgevers (incl. Sun);1;;;;;1
Blanchard International;1;;;;;1
Blauwdruk Redactie/Vormgeving;1;;;;;1
Bloemenmagazijn Johan;;;2;;;2
BMH - Bureau Menno Heling;1;;;;;1
Boekhandel van der Velde;1;;;;;1
Boeve advies;;;;1;;1
Bol.Com;1;;1;;1;1
Booij Klusman en van Bruggen;;;;1;;1
Booqi Media Solutions;;;;;1;1
Bordbusters;;;;1;;1
Boxpress Uitgeverij;1;;;;;1
Brood- en Banketbakkerij Hoeve;;;;1;;1
Brouwers Musicaers;;;;;1;1
Bruna;1;;;;;1
Bunnik beleid en Advies;;;;;1;1
Bureau Culturel;;1;;;;1
Canon (incl. Océ Nederland);;;;;2;2
Capgemini;;;;;2;2
Carlton Hotel;;;;1;;1
CB Centraal Boekhuis (incl. Facturatie);1;;1;;1;1
Central Point;;;;;1;1
Centric (incl. Qualityhouse);;;;;1;1
