gemeente;verkiezingen;Partij;Aantal;%
Papendrecht;tweede kamer 2017;VVD;4653;22,6
Papendrecht;tweede kamer 2017;PvdA;1009;4,9
Papendrecht;tweede kamer 2017;PVV;3048;14,8
Papendrecht;tweede kamer 2017;SP;1620;7,9
Papendrecht;tweede kamer 2017;CDA;2713;13,2
Papendrecht;tweede kamer 2017;D66;1794;8,7
Papendrecht;tweede kamer 2017;CU;1349;6,5
Papendrecht;tweede kamer 2017;Gr.L.;1296;6,3
Papendrecht;tweede kamer 2017;SGP;913;4,4
Papendrecht;tweede kamer 2017;PvdD;506;2,5
Papendrecht;tweede kamer 2017;50Plus;750;3,6
Papendrecht;tweede kamer 2017;OndernemersPartij;15;0,1
Papendrecht;tweede kamer 2017;VNL;113;0,5
Papendrecht;tweede kamer 2017;DENK;214;1
Papendrecht;tweede kamer 2017;Nieuwe Wegen;29;0,1
Papendrecht;tweede kamer 2017;Forum voor Democratie;452;2,2
Papendrecht;tweede kamer 2017;De Burger Beweging;4;0
Papendrecht;tweede kamer 2017;Vrijzinnige Partij;8;0
Papendrecht;tweede kamer 2017;GeenPeil;9;0
Papendrecht;tweede kamer 2017;Piratenpartij;62;0,3
Papendrecht;tweede kamer 2017;Artikel 1;16;0,1
Papendrecht;tweede kamer 2017;Niet Stemmers;11;0,1
Papendrecht;tweede kamer 2017;Libertarische Partij;1;0
Papendrecht;tweede kamer 2017;Lokaal in de Kamer;16;0,1
Papendrecht;tweede kamer 2017;Jezus Leeft;21;0,1
Papendrecht;tweede kamer 2017;StemNL;5;0
