geo_shape;geo_point_2d;nr;adres;x;y;buurtcode;buurtnaam;wijkcode;wijknaam;stadsdeelc;stadsdeeln
"{""coordinates"": [5.492679098594737, 51.43715026801356, 44.52098376955837], ""type"": ""Point""}";51.43715026801356, 5.492679098594737;1;Picushof 156;162334.1571;383121.784456;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.498137378713275, 51.43806276448192, 44.51931035425514], ""type"": ""Point""}";51.43806276448192, 5.498137378713275;4;van Minderhoutstraat 9;162713.529883;383223.864671;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.50005849916847, 51.437222585098624, 44.52051691059023], ""type"": ""Point""}";51.437222585098624, 5.50005849916847;5;Jan van Goyenstraat 31;162847.252273;383130.599177;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.501726847464509, 51.440923859841924, 44.5147097138688], ""type"": ""Point""}";51.440923859841924, 5.501726847464509;9;Kempensebaan 2;162962.608699;383542.550847;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.503745862022947, 51.438826857201555, 44.51785579137504], ""type"": ""Point""}";51.438826857201555, 5.503745862022947;11;Hobbemastraat 15;163103.357511;383309.479957;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.490991995455095, 51.43727525071196, 44.52087080106139], ""type"": ""Point""}";51.43727525071196, 5.4909919954550945;13;Tongelresestraat 64;162216.828887;383135.520301;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.493379159762291, 51.438529244722055, 44.518817346543074], ""type"": ""Point""}";51.438529244722055, 5.4933791597622905;14;Tongelresestraat 90;162382.610292;383275.26774;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.50186566588834, 51.44367945197844, 44.51043784432113], ""type"": ""Point""}";51.44367945197844, 5.50186566588834;17;Meerkollaan 3;162971.777564;383849.1285;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.496866046739289, 51.44354570826507, 44.51088699325919], ""type"": ""Point""}";51.44354570826507, 5.496866046739289;19;Lijsterlaan 1;162624.214084;383833.713847;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.491191844697533, 51.4417041996276, 44.51400894951075], ""type"": ""Point""}";51.4417041996276, 5.491191844697533;24;Merellaan 24;162230.020977;383628.265156;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.489672370657915, 51.4403441277252, 44.516185813583434], ""type"": ""Point""}";51.4403441277252, 5.489672370657915;26;Fazantlaan 19;162124.591758;383476.805937;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.456288313285197, 51.42937764514458, 44.534663496539], ""type"": ""Point""}";51.42937764514458, 5.456288313285197;33;Lortzingpad 50;159804.637327;382254.037481;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.457082232894066, 51.426956088926836, 44.53836910240352], ""type"": ""Point""}";51.426956088926836, 5.4570822328940665;37;Rimsky-Korsakowlaan 85;159860.108707;381984.689742;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.455998623207811, 51.427014621708445, 44.53832619730383], ""type"": ""Point""}";51.427014621708445, 5.455998623207811;40;Schubertlaan 2;159784.739643;381991.129743;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.450736144776208, 51.42719523859505, 44.53827608842403], ""type"": ""Point""}";51.42719523859505, 5.450736144776208;41;Vivaldistraat 63;159418.727606;382010.890646;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.451949837911809, 51.42650119550408, 44.53929541166872], ""type"": ""Point""}";51.42650119550408, 5.451949837911809;42;Mendelssohnlaan 51;159503.205854;381933.752119;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.454237750925579, 51.42558387150403, 44.54061247687787], ""type"": ""Point""}";51.42558387150403, 5.4542377509255795;43;Schubertlaan 135;159662.421309;381831.843082;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.450388789121202, 51.42507711842709, 44.541561836376786], ""type"": ""Point""}";51.42507711842709, 5.4503887891212015;45;Mendelssohnlaan 178;159394.774561;381775.226706;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.451361081034019, 51.42365550711971, 44.54371445905417], ""type"": ""Point""}";51.42365550711971, 5.451361081034019;48;Brucknerplein 19;159462.537818;381617.13029;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.448764703912184, 51.422039833690036, 44.54632012080401], ""type"": ""Point""}";51.422039833690036, 5.448764703912184;50;Borodinlaan 5;159282.103917;381437.228993;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.447475903280196, 51.42107558651138, 44.54786340519786], ""type"": ""Point""}";51.42107558651138, 5.447475903280196;51;Karel de Grotelaan 244;159192.549548;381329.880471;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.457496649734772, 51.4303333560249, 44.533133909106255], ""type"": ""Point""}";51.4303333560249, 5.457496649734772;52;Maria van Bourgondiëlaan 131;159888.567533;382360.441752;713;Hagenkamp;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.462973720176215, 51.433656866333685, 44.5277552343905], ""type"": ""Point""}";51.433656866333685, 5.462973720176215;59;Maria van Bourgondiëlaan 1;160269.073687;382730.567907;713;Hagenkamp;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.463885660669941, 51.43217197757432, 44.53000979591161], ""type"": ""Point""}";51.43217197757432, 5.463885660669941;60;Clovislaan 61;160332.662065;382565.43896;713;Hagenkamp;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.462710836865931, 51.42822374383801, 44.536162502132356], ""type"": ""Point""}";51.42822374383801, 5.462710836865931;62;Keizer Karel V Singel 8;160251.420593;382126.108676;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.464604482646889, 51.43064857873749, 44.532331900671124], ""type"": ""Point""}";51.43064857873749, 5.464604482646889;65;Princessenlaan 45;160382.829285;382396.012275;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.46707210201172, 51.42977230863966, 44.53357520420104], ""type"": ""Point""}";51.42977230863966, 5.46707210201172;66;Hoogstraat 172;160554.540437;382298.711833;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.465323316147913, 51.431434531386174, 44.531085232272744], ""type"": ""Point""}";51.431434531386174, 5.465323316147913;67;Aartshertog Albertweg 20;160432.724806;382483.503695;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.470949239516974, 51.43332327380784, 44.52791246864945], ""type"": ""Point""}";51.43332327380784, 5.470949239516974;70;St Lambertusstraat 42;160823.716431;382694.063347;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.495064097938231, 51.46024762114743, 44.48508574813604], ""type"": ""Point""}";51.46024762114743, 5.495064097938231;74;Aeneaslaan 31;162496.184745;385691.632749;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
