;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
&Maes B.V.;;;;;;2;;;1;2
&ranj B.V.;;;;2;;;;;;2
&Samhoud Nederland B.V.;;;;;;3;;;;3
(BBP) Beerens-Business Press B.V.;;;;1;;1;;;;1
(Naast) de Markt B.V.;;;;1;;;;;;1
11 Academia Networks GmbH;;;;;;1;;;;1
12% of Meer;;;;1;;;;;;1
1910 Restaurant;;;;1;;;;;;1
1uur.nu B.V.;;;;;;2;;;;2
2Essence;;;;;1;;;;;1
2KNOWHOW, art of change B.V.;;;;;;1;;;;1
2RIDE;;;;1;;;;;;1
2-Tact;;;;;;1;;;;1
3DMens;1;;;;;2;;;1;2
4D HRD;;;;;1;;;;;1
4Ustore;;;;;1;;;;;1
4XM Music, Media, Management & More;;;;1;;;;;;1
52N 5E;1;;;;1;;;;;1
54Events B.V.;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;;3;;;;3
5st3ps lean six sigma;;;;;1;;;;;1
701 Boompjes B.V.;;;;1;;;;;;1
7AM Den Haag B.V.;1;;;;;;;;;1
7Beaufort;;;;4;;;;;;4
7Day;;;1;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;1;;;1;;;;;;1
A.B.C.S. Algemeen Bur. voor Comm. en Secret.;;;;;;1;;;;1
A.J. Vaessen thodn Multi-Vl. 's-Hertogenbosch;;;;1;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;;;1;1
A5tien B.V.;;;;;;1;;;;1
AAA Display B.V.;;;;;;1;;;;1
Aalsmeers Bloemenhuis;;;;1;;;;;;1
Aan de Dijck;;;;1;;;;;;1
Aanbestedingskalender B.V.;;;;;;1;;;;1
aangesloten;;;;1;;;;;;1
Aanmelder.nl B.V.;;;;;1;1;;;;1
Aarhus University;;;;;;1;;;1;1
AAS Opleiding en Training;;;;;;1;;;;1
ABB B.V.;;;;;;2;;;;2
ABDIJ SINT BENEDICTUSBERG;;;;1;;;;;;1
Abella Coaching;;;;;1;;;;;1
Absoluta B.V.;;;;1;;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;;1
Academie voor Vastgoed B.V.;;;;;;2;;;;2
Academy for Leadership B.V.;;;;;;1;;;;1
Aceituna Catering B.V.;;;;1;;;;;;1
Achtienhonderdeenenvijftig (1851) B.V.;;;;1;1;1;;;;1
Aclub B.V.;;;;;1;;;;;1
Acquire Publishing B.V.;;;;;;1;;;;1
act2do;;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;;;1;1;;;;1
Active Communications Europe Ltd;;;;;;1;;;;1
ACT-Psychologen;1;;;;1;1;;;;1
Ad Astra Services B.V.;;;;1;;;;;;1
Ad Em Producties B.V.;;;;;;1;;;;1
Ad Spek Jachtbouw;;;;1;;;;;;1
Adromi & CKMZ Trainingen;;;;;1;;;;;1
Advanced People Strategies Ltd;;;;;;1;;;;1
Advier;;;;;;;;;1;1
Adviesbureau Atim B.V.;;;;;;1;;;;1
Adviesbureau Kusters B.V.;;;;;;6;;;;6
Advin B.V.;;;;;;1;;;;1
Aegon Nederland N.V.;;;;;;1;;;;1
AEMET;;;;;;1;;;;1
Aeres Hogeschool Dronten;;;;;;1;;;;1
Aeromedical Expert Centre B.V.;1;;;;;;;;;1
Agathos M&O;;;;;;1;;;;1
Agile Scrum Group B.V.;;;;;1;;;;;1
AG-IT B.V.;;;;;;1;;;;1
AH Firefighting Education & Training;;;;;;1;;;;1
Ahoy Rotterdam N.V.;;;;;2;1;;;;2
Aiki Art;;;;;1;;;;;1
AIM Italy Srl;;;;;;1;;;;1
AInsight B.V.;;;;;;2;;;;2
Ai-Opener;;;;;;1;;;;1
AIR NAVIGATION INSTITUTE GMBH;;;;;;1;;;;1
Air Products Nederland B.V.;1;;;;;;;;;1
Air Transport Research Society;;;;;;1;;;;1
Aircraft Maintenance & Training School B.V.;;;;;;1;;;;1
Akabo Media Ltd;;;;;;1;;;;1
AL HAYAT restaurant;;;;1;;;;;;1
Al Mundo;;;;1;;;;;;1
Albert Heijn B.V.;1;;;1;;;;;;1
Albrechtshof Hotel Betriebs GmbH;;;;1;;;;;1;1
Albron Nederland B.V.;;;;1;1;;1;;;1
Alert Business Consultancy;;;;;;2;;;;2
Alexander Hotel B.V.;;;;;;1;;;;1
Alfredo's Rotterdam B.V.;;;;1;;;;;;1
All Day Greek markthal B.V.;;;;1;;;;;;1
All Season Sports;2;;;1;;;;;;2
Allen Carr's Easy Way;;;;;;1;;;;1
Allerlei Verhuur;;;;;;1;;;;1
Alliance for a Green Revolution in;;;;;;1;;;;1
Alliance Francaise de La Haye;;;;;;1;;;;1
Allround Zeilcharter Oxalex B.V.;;;;1;;;;;;1
Almere Business Center B.V.;;;;;;;;;1;1
Alt-Tab Bedrijfsondersteuning;;;;1;2;;;;;2
AM Office Support;;;;1;;;;;;1
Amadore Hotel Restaurant Arion;;;;1;;;;;;1
Amadore Hotel Restaurant Arneville;;;;1;;;;;1;1
Amantis Loopbaanadvies Coaching Training;;;;;1;;;;;1
Amaze Escape Events;;;;1;;;;;;1
Amazing Bread Company B.V.;;;;1;;;;;;1
Ambachtelijke Slagerij Herman Vernooij;;;;1;;;;;;1
Ameun Mediation Coaching & Training;;;;;;1;;;;1
Amgate B.V.;;;;1;;;;;;1
Amier Restaurant B.V.;;;;1;;;;;;1
Amplooi;;;;;;1;;;;1
AmsterBammetje;;;;;1;;;;;1
AnalitiQs B.V.;;;;;;1;;;;1
Andermaal;;;;1;;;;;;1
Angie's Kitchen Beers & Bites;1;;;1;;;;;;1
Anika Coaching & Counseling;;;;;1;;;;;1
Anita Verdonk consultancy;;;;;1;1;;;;1
Anker & Kompas;;;;;;1;;;;1
Annakerk Amstelveen B.V.;;;;1;;;;;;1
anoniem_IenW_1;;;;;;1;;;;1
anoniem_IenW_10;;;;1;;;;;;1
anoniem_IenW_11;;;;1;;;;;;1
anoniem_IenW_12;1;;;;;;;;;1
anoniem_IenW_13;;;;1;;;;;;1
anoniem_IenW_14;;;;;1;;;;;1
anoniem_IenW_15;;;;1;;;;;;1
anoniem_IenW_16;;;;1;;;;;;1
anoniem_IenW_17;;;;;;;;;1;1
anoniem_IenW_18;;;;;;1;;;;1
anoniem_IenW_19;1;;;;;;;;;1
anoniem_IenW_2;;;;;1;;;;;1
anoniem_IenW_20;;;;;;;;;1;1
anoniem_IenW_21;;;;1;;;;;;1
anoniem_IenW_22;;;;;1;1;;;;1
anoniem_IenW_23;;;;1;;;;;;1
anoniem_IenW_24;;;;;;1;;;;1
anoniem_IenW_25;;;;;;1;;;;1
anoniem_IenW_254;;;;;;1;;;;1
anoniem_IenW_255;;;;;1;;;;;1
anoniem_IenW_256;1;;;;;;;;2;2
anoniem_IenW_257;;;;;1;1;;;;1
anoniem_IenW_258;;;;;;1;;;;1
anoniem_IenW_259;;;;;;1;;;;1
anoniem_IenW_26;;;;;2;;;;;2
anoniem_IenW_260;;;;1;;;;;;1
anoniem_IenW_261;;;;;;2;;;;2
anoniem_IenW_262;;;;1;;;;;;1
anoniem_IenW_263;;;;1;;;;;;1
anoniem_IenW_264;;;;1;;1;;;;1
anoniem_IenW_265;;;;1;;;;;;1
anoniem_IenW_266;;;;;1;;;;;1
anoniem_IenW_267;;;;;1;;;;;1
anoniem_IenW_268;;;;;;1;;;;1
anoniem_IenW_269;;;;1;;;;;;1
anoniem_IenW_27;;;;;;1;;;;1
anoniem_IenW_270;;;;;1;;;;;1
anoniem_IenW_271;;;;1;;;;;;1
anoniem_IenW_272;;;;1;;;;;;1
anoniem_IenW_273;;;;1;;;;;;1
anoniem_IenW_274;;;;;;1;;;;1
anoniem_IenW_275;;;;1;;;;;;1
anoniem_IenW_276;;;;1;;;;;;1
anoniem_IenW_277;;;;1;1;1;;;;1
anoniem_IenW_278;;;;;;1;;;;1
anoniem_IenW_279;1;;;;;;;;;1
anoniem_IenW_28;;;;1;;;;;;1
anoniem_IenW_280;;;;1;;;;;1;1
anoniem_IenW_281;;;;;;1;;;;1
anoniem_IenW_282;;;;1;;;;;;1
anoniem_IenW_29;;;;;1;;;;;1
anoniem_IenW_3;;;;1;;;;;;1
anoniem_IenW_30;;;;;;1;;;;1
anoniem_IenW_31;;;;1;;;;;;1
anoniem_IenW_32;;;;;1;;;;;1
anoniem_IenW_33;;;;1;;;;;;1
anoniem_IenW_34;1;;;;;;;;;1
anoniem_IenW_35;;;;;1;1;;;;1
anoniem_IenW_36;;;;;1;;;;;1
anoniem_IenW_37;;;;;1;;;;;1
anoniem_IenW_38;;;;;1;;;;;1
anoniem_IenW_39;;;;;2;;;;;2
anoniem_IenW_395;;;;;;1;;;;1
anoniem_IenW_396;;;;;;1;;;;1
anoniem_IenW_397;;;;1;;;;;;1
anoniem_IenW_398;;;;;;2;;;;2
anoniem_IenW_4;;;;1;;1;;;;1
anoniem_IenW_40;;;;;;1;;;;1
anoniem_IenW_41;;;;1;;;;;;1
anoniem_IenW_413;1;;;;;;;;;1
anoniem_IenW_414;;;;;;1;;;;1
anoniem_IenW_415;;;;1;;;;;;1
anoniem_IenW_416;;;1;;;;;;;1
anoniem_IenW_417;;;;;;;;;1;1
anoniem_IenW_418;1;;;;1;1;;;;1
anoniem_IenW_419;;;;;;;;;1;1
anoniem_IenW_42;;;;;;;;;1;1
anoniem_IenW_420;;;;;;1;;;;1
anoniem_IenW_421;;;;1;;;;;;1
anoniem_IenW_422;;;;1;;;;;;1
anoniem_IenW_423;;;;1;;;;;;1
anoniem_IenW_424;;;;1;;;;;;1
anoniem_IenW_425;;;;;;2;;;1;2
anoniem_IenW_426;;;;1;;;;;;1
anoniem_IenW_427;;;;1;;;;;;1
