Handelsnaam;9303 - Laboratoriuminstrumenten;Eindtotaal
Air Products Nederland B.V.;2;2
Alliance Healthcare;1;1
Arseus Dental Nederland B.V.;1;1
Ascom (Nederland) B.V.;2;2
Azbil Telstar Benelux B.V.;1;1
BE Kerkhof;2;2
Belimed B.V.;1;1
bioMérieux Benelux B.V.;1;1
Bureau Veritas Industrial Services;1;1
CareFusion Netherlands 238 B.V.;3;3
Carl Zeiss B.V.;1;1
Corpuls Benelux;2;2
Dental Union B.V.;2;2
Dentalair Products Nederland B.V.;2;2
Dräger Medical Netherlands B.V.;2;2
Enraf-Nonius B.V.;1;1
Eppendorf Nederland B.V.;1;1
Fluke Nederland B.V.;2;2
Fujifilm Medical Systems France;2;2
GE Healthcare B.V.;2;2
Getinge B.V.;2;2
Haemonetics B.V.;1;1
Haenel Kantoor en Magazijnsystemen;1;1
Hettich Benelux B.V.;1;1
Interster;1;1
Kavo Nederland B.V.;5;5
Luchttechnisch Revis.-Bureau Van Elewout B.V.;1;1
Maquet Netherlands B.V.;1;1
MF Services B.V.;1;1
Miele Nederland B.V.;2;2
Miscea Benelux B.V.;1;1
Motek Medical B.V.;3;3
NSD International NL B.V.;1;1
Oldelft Benelux B.V.;4;4
Philips Nederland B.V.;1;1
Poly Temp Scientific;1;1
Procare;2;2
QRS Service B.V.;2;2
Skills Meducation B.V.;2;2
Smith & Nephew Nederland C.V.;1;1
Steras;2;2
Synergy Health Utrecht B.V.;1;1
Sysmex Nederland B.V.;1;1
Tuttnauer Europe B.V.;1;1
Vandeputte Medical;3;3
Veenhuis Medical Audio B.V.;1;1
Verathon Medical (Europe) B.V.;1;1
Werfen B.V.;1;1
Westfalen Medical B.V.;2;2
Zoll International Holding B.V.;1;1
Eindtotaal;7;7
