objectid;zaaknummer;omschrijving;zaaktype_oms;zaakproduct_oms;zaaksubproduct_oms;status_oms;adres;postcode;ddindiening;ddbeschikking;geo_shape;geo_point_2d
173910;V21/46891-OVR-46891;verbouwen bestaande studentenhuis/café naar appartementen-studentenhuis;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Eckartseweg Zuid 348B;5623PC;2021-11-02T01:00:00+00:00;2021-12-23T01:00:00+00:00;"{""coordinates"": [5.483245186661676, 51.455416170227295], ""type"": ""Point""}";51.455416170227295, 5.483245186661676
173911;V21/47382-OVR-47382;wijzigen gebruik van het pand tbv kamerverhuur;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Buitenplanse afwijking;Zaak afgerond;Fluwijnstraat 32;5622AV;2021-12-10T01:00:00+00:00;2022-07-21T02:00:00+00:00;"{""coordinates"": [5.4686384277940565, 51.45540843631644], ""type"": ""Point""}";51.45540843631644, 5.4686384277940565
173917;V20/42110-OVR-42110;realiseren plan Nieuw Bergen iz bestaande uit 7 gebouwen, één tweelaagse ondergrondse parkeergarage en 1850 m2 commercieel programma verdeelt over 5 g;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Uitweg, Handelen in strijd met Ruimtelijke Ordening, Sloop in beschermd stads/dorpsgezicht, Bouwen;Beschikking vastgesteld;Deken van Somerenstraat 302;5611KX;2020-10-01T02:00:00+00:00;2021-07-08T02:00:00+00:00;"{""coordinates"": [5.475217076051174, 51.43517211692328], ""type"": ""Point""}";51.43517211692328, 5.475217076051174
173928;V19/39056-OVR-39056;verbouwen van de voormalige V&D Eindhoven;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Vrijstraat 9B;5611AT;2019-12-20T01:00:00+00:00;2020-03-30T02:00:00+00:00;"{""coordinates"": [5.477210787776307, 51.43897841026862], ""type"": ""Point""}";51.43897841026862, 5.477210787776307
173929;EHV-ZP2022-002581;verbouwen van het bestaande café met bovenwoning tot 3 zelfstandige appartementen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Getoetst aan regelgeving;Frankrijkstraat 74;5622AG;2022-11-29T01:00:00+00:00;2023-01-20T01:00:00+00:00;"{""coordinates"": [5.465689392728506, 51.455050529458696], ""type"": ""Point""}";51.455050529458696, 5.465689392728506
173934;V21/47137-OVR-47137;aanvullende werkzaamheden behorende bij eerder verleende vergunning met zaaknummer V17_31928, de BunkerToren;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking, Bouwen;Beschikking vastgesteld;Vincent van den Heuvellaan 321;5612MZ;2021-11-21T01:00:00+00:00;2022-07-18T02:00:00+00:00;"{""coordinates"": [5.479554636771054, 51.447010269445215], ""type"": ""Point""}";51.447010269445215, 5.479554636771054
173937;V20/43046-OVR-43046;bouwen van 81 grondgebonden woningen in Berckelbosch, deelplan 10 (Mahler);Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Xylofoonlaan 27;5642RR;2020-12-17T01:00:00+00:00;2021-10-15T02:00:00+00:00;"{""coordinates"": [5.526013561033994, 51.4351475321115], ""type"": ""Point""}";51.4351475321115, 5.526013561033994
173939;V20/43054-OVR-43054;realiseren nieuwbouw Waaggebouw, 3 maisonnettewoningen 25 appartementen en buurtcentrum;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Celsiusplein 7F;5621BN;2020-12-18T01:00:00+00:00;2021-03-19T01:00:00+00:00;"{""coordinates"": [5.453671622816992, 51.45523467931283], ""type"": ""Point""}";51.45523467931283, 5.453671622816992
173942;EHV-ZP2022-001848;plaatsen van een schaftkeet;Aanvraag beschikking regulier behandelen;Gebruik openbare ruimte;Flitsvergunning gebruik openbare ruimte (container, steiger, etc.);Zaak afgerond;Slangenburg 6;5655EZ;2022-10-12T02:00:00+00:00;2022-10-14T02:00:00+00:00;"{""coordinates"": [5.43852644630738, 51.41582826170258], ""type"": ""Point""}";51.41582826170258, 5.43852644630738
173943;EHV-ZP2022-000671;Aanvraag aanpassen gevel rechtestraat 12 Einhoven;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Gemeentelijk monument, Bouwen;Beschikking vastgesteld;Rechtestraat 12;5611GP;2022-07-17T02:00:00+00:00;2022-10-11T02:00:00+00:00;"{""coordinates"": [5.477673325876292, 51.43891321639437], ""type"": ""Point""}";51.43891321639437, 5.477673325876292
173944;V20/42566-OVR-42566;omzetten van een atelierwoning naar een kantoor-atelier en woning;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Cornelis Dopperstraat 2G;5654JH;2020-11-05T01:00:00+00:00;2021-03-04T01:00:00+00:00;"{""coordinates"": [5.456086640953051, 51.41963443311358], ""type"": ""Point""}";51.41963443311358, 5.456086640953051
173949;EHV-ZP2022-000744;interne constructieve verbouwing ten behoeve van een nieuwe vide alsmede het wijzigingen van gevelbeelden ten behoeve van een terras aan de oostgevel;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Getoetst aan regelgeving;Ketelhuisplein 16;5617AE;2022-07-19T02:00:00+00:00;2022-10-20T02:00:00+00:00;"{""coordinates"": [5.456560461490614, 51.44801972642145], ""type"": ""Point""}";51.44801972642145, 5.456560461490614
173952;14/0944-OVR-22439;bouwen van een opslagloods;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Hoogstraat 142;5615PV;2015-03-03T01:00:00+00:00;2015-04-24T02:00:00+00:00;"{""coordinates"": [5.468209977554074, 51.43072342386745], ""type"": ""Point""}";51.43072342386745, 5.468209977554074
