Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
&Maes;;;;;;1;;;;1
123Zorgwinkel;;;1;;;;;;;1
1910 Restaurant & Bar;;;;1;;;;;;1
2 Know How;;;;;;1;;;;1
2mb Consultancy;;;;;;1;;;;1
2useIT The Internet Academy;;;;;;1;;;;1
2xplain;;;;;;1;;;;1
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);;;6;;;1;;;;6
3ID;;;;1;;;;;;1
3Khoreca;;;;1;;;;;;1
4Meetings & Events;;;;1;;;;;;1
5 Hart It Oracle Experts Opleidingen;;;;;;1;;;;1
7Am;;;;2;;2;;;;3
A Life;;;;;;1;;;;1
A&R Vereninging Ambtenaar & Recht;;;;;;1;;;;1
Aaaaha! The Actor Factory;;;;1;;2;;;1;2
Aas Opleiding en Training;;;;;;1;;;;1
AaTaxi;;;;;;;;;1;1
Abn-Amro Bank (incl. Fortis);;;;;;;;;1;1
About Flowers;;;;1;;;;;;1
ABP Algemeen Burgelijk Pensioenfonds;;;;;2;;;;;2
ABP-Reclame;;;;1;;;;;;1
Abrona Hotel-Restaurant;;;;1;;;;;;1
Absoluta Food and Facilities;;;;1;;;;;;1
Abvakabo;1;;;;;;;;;1
Academie voor arbeidsmarkt communicatie;;;;;;1;;;;1
Accor Hotel Operator;;;;;;1;;;;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;1;;;;;;;1
Acte De Presence;;;;;;1;;;;1
Acteursbureau Kapok;;;;;;1;;;;1
ACTing People;;;;;;1;;;;1
Adminds;;;;1;;;;;;1
ADO Hospitality & Events;;;;1;;1;;;;1
Adrienne Bloemenhuis;;;;1;;;;;;1
Advertising Marketing en Design;;;;;;1;;;;1
AdviSafe Risk Management;;;;;;1;;;;1
Aegon;;;;;;;;;1;1
Albron Catering;;;;2;;;;;;2
Alfabeta Tekst & Training;;;;;;1;;;;1
Alfred's Diner Restaurant;;;;1;;;;;;1
Alliance Francaise De La Haye;;;;;;1;;;;1
ALLTOURNATIVE;;;;1;;;;;;1
Aloha Productions;;;;;;1;;;;1
AlterNet Internet;;;;;;1;;;;1
Always Green (Full Moon City);;;;1;;;;;;1
Amadore Hotels en Restaurants;;;;;;1;;;;1
Amazing Bread Company (incl. Mammomi);;;;;;1;;;;1
Ambidex Promotions;;;;1;;;;;;1
AMI Consultancy;;;;;;1;;;;1
Amsterdam Airport Schiphol;;;;;;;;;1;1
Amsterdam Institute of Finance;;;;;;1;;;;1
Amsterdam School of Real Estate;;;;;;3;;;;3
Amuse Restaurant;;;;;;1;;;;1
AnalitiQs;;;;;;1;;;;1
Andersson Elffers & Felix;;;;;;1;;;;1
Annemarie M.H.L. Willems Producties;;;;1;;;;;;1
Aob Compaz;;;;;;2;;;;2
APCOA Parking;;;;;;;;;2;2
Apemanagement;;;;;;1;;;;1
APPM Management Consultants;;;;;;1;;;;1
Aqua Flor Bloembinders;;;;1;;;;;;1
Arbo Unie;;;1;;;;;;;1
ArboVitale;;;4;;;;;;;4
Ardis Management Development;;;;;;3;;;;3
Argos adviesonderzoek, advies en coaching;;;;;;1;;;;1
Art 2 Advance;;;;;;1;;;;1
Artihove;;;;1;;;;;;1
Artra Arbeidsmarkttrainingen;;;;;;1;;;;1
Artsviseur;;;3;;;;;;;3
Asbestslachtoffers Instituut;;;;1;;;;;;1
Asgard Hotel;;;;;;;;;1;1
Assen Hotel;;;;;;;;;1;1
At Osborne;;;;;;2;;;;2
Athene Palace Grieks Restaurant;;;;1;;;;;;1
Atlantic & Pacific Exchange Program;;;;;;1;;;;1
Atos;;;;;;1;;;;1
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;;;;;;;;1;1
Au Coin Des Bons Enfants;;;;;;1;;;;1
Avicenna Academie voor Leiderschap;;;;;;6;;;;6
Avnet Technology Solutions;;;;;;2;;;;2
Awareness;;;;;2;;;;;2
AWVN;;;;;;1;;;;1
B OELKERS PLAN & AANPAK;;;;;;1;;;;1
B+B Vakmedianet;;;;;;1;;;;1
Babbilage Restaurant-Brasserij;;;;2;;1;;;;2
Babymand.nl;;;;1;;;;;;1
Badge Promotions;;;;1;;;;;;1
Bakker & Schnabel Training;;;;;;2;;;1;2
Bakker Prins;;;;1;;;;;;1
Bakkerij Bart;;;;1;;;;;;1
Balans & Impuls;;;2;;;2;;;;2
Bally's eten en drinken;;;;1;;;;;;1
Bandzoeker.nl;;;;1;;;;;1;1
Banketbakkerij Boheemen;;;;1;;1;;;;1
Banketbakkerij Gordijn;;;;1;;;;;;1
Banketbakkerij Maison Kelder;;;;1;;;;;;1
Baopt Benelux B.V.;;;;;;1;;;;1
Barbarossa;;;;1;;1;;;;2
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;;;;1;;1;;;;1
BARROW TALENTMANAGEMENT;;;;;;1;;;;1
Bartimeus (incl. Stichting Bartiméus Accessibility);;;1;;2;1;;;;2
Bartimeus Sonneheerd;;;;;;1;;;;1
Bartolomeus Productions;;;;;;1;;;;1
Basaal Restaurant;;;;1;;;;;;1
Bastion Hotels;;;;;;;;;1;1
BCN Business Centre Nederland;;;;;;;;;1;1
B-Dare;;;;;;1;;;;1
Beach Experience Scheveningen;;;;1;;;;;;1
Beachclub Copacabana;;;;1;;;;;;1
Beatrix Theater;;;;;;1;;;;1
Beaumont Hotel Restaurant;;;;;;1;;;;1
Becis;2;;;;;;;;;2
Bedrijfsfitness Nederland;;;4;;;;;;;4
Beelddenkwerk;;;;;;1;;;;1
BeHr Groep;;;;;;1;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;;;4;;;;4
Bernaards Training & Advies;;;;;;1;;;;1
Best Western Hotels;;;;;;;;;1;1
Bestelbroodje.nl;;;;;;1;;;;1
Betawerk;;;;;;1;;;;1
Betonvereniging;;;;;;1;;;;1
Between;;;;;;;;;1;1
BG Promotions;;;;1;;;;;;1
Bigoli;;;;;;1;;;;1
Bijzonder Strafrecht;;;;;;1;;;;1
Bilderberg Hotels;;;;1;;1;;;1;1
BIM Media;;;;;;1;;;;1
Binnen Grand Café-Restaurant;;;;1;;;;;;1
Binnendijk Communicatie Advies;;;;;;1;;;;1
Bio Futura;;;;;;;;;1;1
Bisnez Management;;;;;;1;;;;1
Bistro De Eeterij;;;;1;;;;;;1
Bitter en Zoet Hotel Restaurant;;;;1;;;;;;1
BK Groep;;;;;;1;;;;1
Bleekemolen Indoor Kart Planet;;;;1;;;;;;1
Bloemsierkunst De Klerk;;;;1;;;;;;1
Blom Bloemen & Plant;;;;1;;;;;;1
Blossom Bloemisterij;1;;;2;;;;;;2
Bob De Ronde Partners;;;;;;3;;;;3
BodemenergieNL;;;;;;1;;;;1
Boek en Service;;;;;;1;;;;1
Boeketcadeau.nl;;;;1;;;;;;1
Boeng Restaurant;;;;1;;;;;;1
Boertiengroep (incl. Ncatb);;;;;;2;;;;2
Bol.Com;;;;1;;1;;;;1
Bolderman Oldtimers B.V.;;;;1;;;;;;1
Bon Vivant;;;;1;;;;;;1
Boom & Bos;;;;;;1;;;;1
Bos Horeca;;;;1;;;;;;1
Bos Incasso;;;;;;;;;1;1
Boterwaag;;;;1;;;;;;1
