FID,district,complexnaam,objectnaam,objectomschrijving,complexcode,objectcode,object,bouwjaar,monument,foto,kleur,pdf,rce_link,x,y,gdb_geomattr_data,shape
rws_monumenten_beschermd.1,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 1,Spuisluis tussen Noordzee - Haringvliet (opening 1: noord),37C-350,37C-350-01,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 1.pdf,https://cultureelerfgoed.nl/monumenten/532246,63122,428360,,POINT (63122 428360)
rws_monumenten_beschermd.2,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 2,Spuisluis tussen Noordzee - Haringvliet (opening 2),37C-350,37C-350-02,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 2.pdf,https://cultureelerfgoed.nl/monumenten/532246,63081,428313,,POINT (63081 428313)
rws_monumenten_beschermd.3,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 3,Spuisluis tussen Noordzee - Haringvliet (opening 3),37C-350,37C-350-03,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 3.pdf,https://cultureelerfgoed.nl/monumenten/532246,63041,428265,,POINT (63041 428265)
rws_monumenten_beschermd.4,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 4,Spuisluis tussen Noordzee - Haringvliet (opening 4),37C-350,37C-350-04,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 4.pdf,https://cultureelerfgoed.nl/monumenten/532246,62999,428219,,POINT (62999 428219)
rws_monumenten_beschermd.5,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 5,Spuisluis tussen Noordzee - Haringvliet (opening 5),37C-350,37C-350-05,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 5.pdf,https://cultureelerfgoed.nl/monumenten/532246,62959,428173,,POINT (62959 428173)
rws_monumenten_beschermd.6,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 6,Spuisluis tussen Noordzee - Haringvliet (opening 6),37C-350,37C-350-06,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 6.pdf,https://cultureelerfgoed.nl/monumenten/532246,62919,428126,,POINT (62919 428126)
rws_monumenten_beschermd.7,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 7,Spuisluis tussen Noordzee - Haringvliet (opening 7),37C-350,37C-350-07,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 7.pdf,https://cultureelerfgoed.nl/monumenten/532246,62878,428078,,POINT (62878 428078)
rws_monumenten_beschermd.8,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 8,Spuisluis tussen Noordzee - Haringvliet (opening 8),37C-350,37C-350-08,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 8.pdf,https://cultureelerfgoed.nl/monumenten/532246,62838,428031,,POINT (62838 428031)
rws_monumenten_beschermd.9,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 9,Spuisluis tussen Noordzee - Haringvliet (opening 9),37C-350,37C-350-09,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 9.pdf,https://cultureelerfgoed.nl/monumenten/532246,62797,427984,,POINT (62797 427984)
rws_monumenten_beschermd.10,WNZ District Zuid,Haringvlietsluizen,Haringvlietsluizen 10,Spuisluis tussen Noordzee - Haringvliet (opening 10),37C-350,37C-350-10,Spui/uitwateringssluis,1962,,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/IMG_7759.jpg,Rood,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/regios/projecten/rws_monumenten_beschermd/productinfo/Haringvlietsluizen 10.pdf,https://cultureelerfgoed.nl/monumenten/532246,62756,427938,,POINT (62756 427938)
