FID,omschr,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,begintijd,eindtijd,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
maximum_snelheden_wegvak_overdag.1,80,H,83225032,2014-11-01T00:00:00,0,35,0,0,008322503220141101,KLK0010138715,R,I,,"LINESTRING (41713.11600000039 412780.8900000006, 41703.51099999994 412784.2800000012, 41694.18800000101 412783.1499999985, 41682.335999999195 412774.06799999997)"
maximum_snelheden_wegvak_overdag.2,30,H,243192017,2014-11-01T00:00:00,0,451,0,0,024319201720141101,KLK0009792477,L,I,,"LINESTRING (121716 396343, 121735 396336, 121754 396326, 121775 396317, 121865.46499999985 396292.51999999955, 121890 396280, 121913 396272, 121968 396263, 122134 396220, 122147 396217)"
maximum_snelheden_wegvak_overdag.3,50,H,261498034,2014-11-01T00:00:00,0,28,0,0,026149803420141101,KLK0008825292,R,I,,"LINESTRING (130794.5700000003 549067.8889999986, 130799.18100000173 549062.3790000007, 130806.2650000006 549059.3429999985, 130813.46499999985 549060.125, 130819.0700000003 549062.8940000013)"
maximum_snelheden_wegvak_overdag.5,100,H,385331007,2014-11-01T00:00:00,0,213,6,19,038533100720141101,KLK0010082669,R,I,,"LINESTRING (192953 465595, 192971 465589, 192997.7659999989 465575.0769999996, 193010.89600000158 465567.9789999984, 193026.8660000004 465561.9470000006, 193049.22199999914 465553.78500000015, 193071.5789999999 465545.9770000018, 193092.5159999989 465537.4609999992, 193110.9699999988 465532.13699999824, 193128.40300000086 465527.63599999994, 193151.6240000017 465518.3289999999)"
maximum_snelheden_wegvak_overdag.6,100,H,386331004,2014-11-01T00:00:00,0,20,6,19,038633100420141101,KLK0010082669,R,I,,"LINESTRING (193151.6240000017 465518.3289999999, 193159 465516, 193171.20199999958 465512.45800000057)"
maximum_snelheden_wegvak_overdag.8,100,H,96178007,2014-11-01T00:00:00,43,64,6,19,009617800720141101,KLK0009793164,L,I,,"LINESTRING (48512.98149999976 389507.070700001, 48534.44799999893 389507.8370000012)"
maximum_snelheden_wegvak_overdag.10,30,H,96178007,2014-11-01T00:00:00,0,43,0,0,009617800720141101,KLK0009793160,L,I,,"LINESTRING (48471 389498, 48474 389499, 48511 389507, 48512.98149999976 389507.070700001)"
maximum_snelheden_wegvak_overdag.11,50,H,262498017,2014-11-01T00:00:00,0,34,0,0,026249801720141101,KLK0008825292,R,I,,"LINESTRING (131220.49399999902 549189.1539999992, 131235 549186, 131253.7899999991 549184.1719999984)"
maximum_snelheden_wegvak_overdag.12,100,H,388495003,2014-11-01T00:00:00,0,167,6,19,038849500320141101,KLK0008671073,L,I,,"LINESTRING (194444.54300000146 547995.6490000002, 194484.73699999973 547967.2540000007, 194514 547949, 194531 547938, 194549 547928, 194576 547916, 194587.7109999992 547909.4770000018)"
maximum_snelheden_wegvak_overdag.15,100,H,388496024,2014-11-01T00:00:00,0,264,6,19,038849602420141101,KLK0008671073,L,I,,"LINESTRING (194236.17599999905 548153.6240000017, 194257.37299999967 548149.4239999987, 194270 548144, 194329 548091, 194367 548059, 194423.26999999955 548013.6530000009, 194444.54300000146 547995.6490000002)"
