"SORT","Begrotingsprogramma","THEMA","Variabele","Label","Labelkort","Definitie","Bron","Peildatum","Verschijningsfrequentie","Rekeneenheid","Symbool","GROEP","format","Berekende variabelen","Thema Kerncijfertabel","Tussenkopje_kerncijfertabel","Kleurenpalet","LegendaCode","SD minimum Bevtotaal","SD minimum WvoorrBAG","Topic area","Label_1","Definition","Reference date","Frequency"
"10","Bevolking","Bevolking","BEVTOTAAL","Bevolking totaal","Bevolking totaal","Personen die op 1 januari zijn opgenomen in het bevolkingsregister van de gemeente Amsterdam (inclusief briefadreshoudenden). Personen die niet legaal in Nederland verblijven worden buiten beschouwing gelaten. ","Basisinformatie / O&S","1  januari","1 keer per jaar","2","","","F8.","","Bevolking","Personen","9","3","","","Population","Population","Number of people registered in Amsterdam on January 1st .","1 January ","once a year"
"20","Bevolking","Bevolking","BEV_PROG","Bevolkingsprognose","Bevolkingsprognose ","Prognose uit 2022 voor de omvang van de bevolking op 1 januari. ","O&S","1  januari","eenmalig","2","","","F8.","","","","9","3","","","Population","Population  projection 2021","Projection in 2021 for the population size on January 1st in future years.","1 January ","one-off"
"30","Bevolking","Bevolking","BEV0_17_PROG","Bevolkingsprognose  (0-17)","Prognose (0-17)","Prognose uit 2022 voor het aantal 0 tot en met 17-jarigen op 1 januari . Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","2","","","F8.","","","","9","3","","","Population","Population projection 2021  (0-17 years)","Projection in 2021 for the population size aged 0 to 17 on January 1st in future years.","1 January ","one-off"
"40","Bevolking","Bevolking","BEV18_64_PROG","Bevolkingsprognose  (18-64)","Prognose (18-64)","Prognose uit 2022 voor het aantal 18 tot en met 64-jarigen op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","2","","","F8.","","","","9","3","","","Population","Population projection 2021  (18-64 years)","Projection in 2021 for the population size aged 18 to 64 on January 1st in future years.","1 January ","one-off"
"50","Bevolking","Bevolking","BEV65PLUS_PROG","Bevolkingsprognose (65+)","Prognose (65+)","Prognose uit 2022 voor het aantal 65-plussers op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","2","","","F8.","","","","9","3","","","Population","Population projection 2021  (65+years)","Projection in 2021 for the population size aged 65 and over on January 1st in future years. ","1 January ","one-off"
"60","Bevolking","Bevolking","BEV75PLUS_PROG","Bevolkingsprognose (75+)","Prognose (75+)","Prognose uit 2022 voor het aantal 75-plussers op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","2","","","F8.","","","","9","3","","","Population","Population projection 2021  (65+years)","Projection in 2021 for the population size aged 65 and over on January 1st in future years. ","1 January ","one-off"
"70","Bevolking","Bevolking","BEV0_17_PROG_P","Bevolkingsprognose  (% 0-17)","Prognose (% 0-17)","Prognose uit 2022 voor het aantal 0 tot en met 17-jarigen op 1 januari . Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","1","%","","F5.1","","","","3","2","","","Population","Population projection 2021  (0-17 years)","Projection in 2021 for the population size aged 0 to 17 on January 1st in future years.","1 January ","one-off"
"80","Bevolking","Bevolking","BEV18_64_PROG_P","Bevolkingsprognose  (% 18-64)","Prognose (% 18-64)","Prognose uit 2022 voor het aantal 18 tot en met 64-jarigen op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","1","%","","F5.1","","","","3","2","","","Population","Population projection 2021  (18-64 years)","Projection in 2021 for the population size aged 18 to 64 on January 1st in future years.","1 January ","one-off"
"90","Bevolking","Bevolking","BEV65PLUS_PROG_P","Bevolkingsprognose (% 65+)","Prognose (% 65+)","Prognose uit 2022 voor het aantal 65-plussers op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","1","%","","F5.1","","","","3","2","","","Population","Population projection 2021  (65+years)","Projection in 2021 for the population size aged 65 and over on January 1st in future years. ","1 January ","one-off"
"100","Bevolking","Bevolking","BEV75PLUS_PROG_P","Bevolkingsprognose (% 75+)","Prognose (% 75+)","Prognose uit 2022 voor het aantal 75-plussers op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.","O&S","1  januari","eenmalig","1","%","","F5.1","","","","3","2","","","Population","Population projection 2021  (65+years)","Projection in 2021 for the population size aged 65 and over on January 1st in future years. ","1 January ","one-off"
"110","Bevolking","Bevolking","BEVMAN","Geslacht: mannen","Mannen","Aantal mannen op 1 januari van het peiljaar.","Basisinformatie / O&S","1  januari","1 keer per jaar","2","","geslacht","F8.","","","","9","3","","","Population","Gender: male","Number of men registered in Amsterdam on January 1st.","1 January ","once a year"
"120","Bevolking","Bevolking","BEVVROUW","Geslacht: vrouwen","Vrouwen","Aantal vrouwen op 1 januari van het peiljaar.","Basisinformatie / O&S","1  januari","1 keer per jaar","2","","geslacht","F8.","","","","9","3","","","Population","Gender: female","Number of women registered in Amsterdam on January 1st.","1 January ","once a year"
