Rijlabels;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
10Telecom B.V.;;;;;;;1;1
123Telcom B.V.;;;;;;;1;1
12Connect B.V.;;;;;;;1;1
3M Nederland B.V.;;;;1;;;;1
4b-Plus B.V.;;1;;;;;;1
4Com Solutions B.V.;;;;;;;1;1
4Launch B.V.;;1;;;;;;1
888 B.V.;;;;;;;1;1
A&W Zonwering en Interieur;1;;;;;;;1
A. Beverwijk en Zonen B.V.;1;;;;;;;1
A. Lutke-Veldhuis, huisarts;;;;;;;1;1
A. Teszler huisarts;;;;;;;1;1
A. Woerdman, huisarts;;;;;;;1;1
A.G. van den Heuvel Trading & Services;1;;;;;;;1
A.M.P. Gaakeer;;;;;1;;;1
A10Tech B.V.;;;;1;;;;1
A3BC B.V.;;;;;;;1;1
Aanmelder.nl B.V.;;;;;;;1;1
Aannemersbedrijf G.B. van Hoek B.V.;1;;;;;;;1
Aannemersbedrijf Versteeg;1;;;;;;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;1;;;;;;;1
Access It Training & Solutions;;;;;;;1;1
Adagio;;;;;;;1;1
'Adphies' Audiovisueel Project-Bureau;;;;;;1;;1
Aenova B.V.;;;;1;;;;1
Aerea Networks B.V.;;;;;;;1;1
Aermast Holland;;;;;;;1;1
Afdeling Online;;;;1;;;;1
Ahrend Nederland B.V.;1;;;;;;;1
AK;;;;;;;1;1
Akoestiek Comfort B.V.;1;;;;;;;1
Albyco Nederland B.V.;1;;;;;;;1
Allekabels B.V.;;1;1;;1;;;1
Allfacts;;;1;;;;;1
Allianz Global Assistance;;;;;;;1;1
Alpha Research;;;;;;;1;1
Altares - Dun & Bradstreet;;;;1;;;;1
Altrecht Hoofdgebouw;;;;;;;1;1
A-Mac B.V.;;1;1;;1;;;1
Antalis B.V.;1;;;;;;;1
ANWB B.V.;;;;;;1;;1
APAC Services B.V.;;;;;1;;;1
Apotheekhoudende huisartsenpraktijk Jaspers;;;;;;;1;1
Arbo Unie B.V.;;;;;;;1;1
ArchiXL B.V.;;1;;;;;;1
Arnold & Siedsma B.V.;;;;;;;1;1
Arseus Dental Nederland;1;;;;;;;1
Art Systems B.V.;;;;1;;;;1
ArtiMedes B.V.;1;;;;;;;1
Artiq Concept & Design;1;;;;;;;1
Arts en Zorg Praktijk Atrium/Goeverneur;;;;;;;1;1
Arvato Distribution GmbH;;;;;;1;;1
Ask Roger!;;1;;;;;;1
Asolutions B.V.;;;1;;;;;1
Aspider Communications Nederland B.V.;;;;;;;1;1
ASpider Solutions Nederland B.V.;;;;;;;1;1
Atif Medical;;;;;;;1;1
Atlas Copco Tools Nederland;1;;;;;;;1
Auke Smits Publiciteit B.V.;;;;;;;1;1
Aura Software B.V.;;;;1;;;;1
Ausma Vorkheftrucks B.V.;1;;;;;;;1
Autofier;;1;;;;;;1
