FID,omschr,aant_msk,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,vnrwol,gdb_geomattr_data,shape
mengstroken_wegvak.1,Uitrijstrook,1 -> 1,T,600150200,2019-06-01T00:00:00,0,16,060015020020190601,KLK0008645367,R,I,1,,"LINESTRING (231528.42599999905 556875.4640000015, 231525.58520000055 556891.6592999995)"
mengstroken_wegvak.2,Uitrijstrook,1 -> 1,H,600151286,2019-02-01T00:00:00,0,1,060015128620190201,KLK0008093802,L,I,3,,"LINESTRING (227429.4140000008 440550.8020000011, 227428.43169999868 440550.61459999904)"
mengstroken_wegvak.3,Invoegstrook,1 -> 1,H,600151358,2019-02-01T00:00:00,0,68,060015135820190201,KLK0005971838,L,I,2,,"LINESTRING (235218.55299999937 581238.1420000009, 235182.69799999893 581185.0989999995, 235180.05530000106 581182.1290999986)"
mengstroken_wegvak.4,Uitrijstrook,2 -> 2,T,600152412,2019-02-01T00:00:00,0,6,060015241220190201,KLK0008783890,L,I,1,,"LINESTRING (231642.33799999952 486623.0709999986, 231636.37040000036 486623.6933000013)"
mengstroken_wegvak.5,Uitrijstrook,1 -> 1,H,600152426,2019-02-01T00:00:00,0,11,060015242620190201,KLK0009965993,L,I,5,,"LINESTRING (237709.60399999842 446796.83900000155, 237700.92819999903 446790.07649999857)"
mengstroken_wegvak.6,Uitrijstrook,2 -> 2,T,600152426,2019-02-01T00:00:00,0,11,060015242620190201,KLK0008094149,L,I,1,,"LINESTRING (237709.60399999842 446796.83900000155, 237700.92819999903 446790.07649999857)"
mengstroken_wegvak.7,Splitsing,1 -> 1,T,600152253,2019-02-01T00:00:00,0,37,060015225320190201,KLK0008114049,R,I,1,,"LINESTRING (232992.48000000045 554687.4959999993, 232986.5300000012 554712.2710000016, 232977.82600000128 554720.0500000007)"
mengstroken_wegvak.8,Uitrijstrook,1 -> 1,T,66202002,2019-05-01T00:00:00,8,10,006620200220190501,KLK0009790314,M,I,3,,"LINESTRING (33118.88509999961 401068.00670000166, 33120 401066)"
mengstroken_wegvak.9,Uitrijstrook,1 -> 1,H,66202002,2019-05-01T00:00:00,8,10,006620200220190501,KLK0008132308,M,I,1,,"LINESTRING (33118.88509999961 401068.00670000166, 33120 401066)"
mengstroken_wegvak.10,Splitsing,1 -> 1,T,600152254,2019-02-01T00:00:00,0,59,060015225420190201,KLK0008114049,R,I,1,,"LINESTRING (233001.98699999973 554629.3379999995, 233000.5300000012 554642.0780000016, 232992.48000000045 554687.4959999993)"
mengstroken_wegvak.11,Weefstrook,1 -> 1,H,600152254,2019-02-01T00:00:00,0,59,060015225420190201,KLK0007342806,R,I,3,,"LINESTRING (233001.98699999973 554629.3379999995, 233000.5300000012 554642.0780000016, 232992.48000000045 554687.4959999993)"
mengstroken_wegvak.12,Uitrijstrook,1 -> 1,T,325398067,2019-10-01T00:00:00,0,18,032539806720191001,KLK0008069708,L,I,1,,"LINESTRING (162757.26900000125 499285.1420000009, 162772.12299999967 499294.8759999983)"
mengstroken_wegvak.13,Uitrijstrook,1 -> 1,H,325398067,2019-10-01T00:00:00,0,18,032539806720191001,KLK0008069709,L,I,3,,"LINESTRING (162757.26900000125 499285.1420000009, 162772.12299999967 499294.8759999983)"
mengstroken_wegvak.14,Uitrijstrook,2 -> 2,H,291370016,2019-10-01T00:00:00,280,419,029137001620191001,KLK0008193057,R,I,3,,"LINESTRING (146071.40069999918 485038.41860000044, 146098.38800000027 485043.2740000002, 146152.0399999991 485060.62999999896, 146196.375 485076.5020000003, 146204.63500000164 485078.0610000007)"
mengstroken_wegvak.15,Uitrijstrook,1 -> 2,H,291370016,2019-10-01T00:00:00,220,280,029137001620191001,KLK0006310949,R,I,3,,"LINESTRING (146012.38679999858 485044.4178000018, 146025.87900000066 485039.83100000024, 146043.94099999964 485037.6409999989, 146065.5610000007 485037.3680000007, 146071.40069999918 485038.41860000044)"
mengstroken_wegvak.16,Uitrijstrook,1 -> 1,H,600200173,2019-09-01T00:00:00,191,380,060020017320190901,KLK0006321123,L,I,3,,"LINESTRING (146299.6438000016 485409.8291000016, 146140.38850000128 485307.2320000008)"
mengstroken_wegvak.17,Uitrijstrook,1 -> 1,T,600135552,2019-09-01T00:00:00,390,516,060013555220190901,KLK0008638082,L,I,1,,"LINESTRING (150066.16440000013 489029.1294, 150058.32499999925 489024.20699999854, 150021.12200000137 488996.70899999887, 149964.64400000125 488955.1490000002)"
mengstroken_wegvak.18,Uitrijstrook,1 -> 1,H,600129710,2019-09-01T00:00:00,208,355,060012971020190901,KLK0006310911,L,I,3,,"LINESTRING (141811.03920000046 484738.3969999999, 141811.01799999923 484740.51000000164, 141813.625 484751.1330000013, 141820.33700000122 484765.3779999986, 141829.4149999991 484774.74599999934, 141845.9299999997 484786.81700000167, 141892.1400000006 484812.5540000014, 141919.92300000042 484827.58999999985)"
