Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
&samhoud People Equity B.V.;;;;;;4;;;4
(Naast) de Markt B.V.;;;;1;;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;;1;;;;;1
365 dagen succesvol;1;;;;;;;;1
3DMens;1;;;;;2;;;2
3K Horeca B.V.;;;;1;;;;;1
5hart-IT Opleidingen B.V.;;;;;;1;;;1
7AM B.V.;1;;;;;;;;1
9292-5718 Quebec Inc.;1;;;;;;;;1
Aalsmeers Bloemenhuis;;;;1;;;;;1
AAS Opleiding en Training;;;;;;1;;;1
Abode Beheer B.V.;;;;1;;;;;1
Absoluta Food and Facilities B.V.;;;;1;;1;;;1
Academie voor Mediationopleidingen;;;;;1;1;;;1
Academy for Leadership B.V.;;;;;;1;;;1
Accountor Nederland B.V.;;;;1;;;;;1
Acquire Publishing B.V.;1;;;;;1;;;1
Acte De Présence;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;;;1;;;;1
ACTME B.V.;1;;;;;1;;;1
ADD Coaching;;;;;1;;;;1
Advocatenkantoor Dijkgraaf B.V.;1;;;;;;;;1
AERODYNE RESEARCH, INC;;;;;;;;1;1
AESCRA - EM Lyon;;;;;;1;;;1
Agathos M&O;;;;;;2;;;2
Agile Scrum Group B.V.;;;;;;2;;;2
AG-IT B.V.;1;;;;;;;;1
AGUSTA WESTLAND;;;;;;2;;;2
aheinen visserijadvies;;;;;;1;;;1
AInsight B.V.;;;;;;2;;;2
Airbus Helicopters Training Service;;;;;;1;;;1
Aktant Trainingen;;;;;;1;;;1
AL HAYAT restaurant;;;;1;;;;;1
Albert Heijn B.V.;;;;1;;;;;1
Albron Nederland B.V.;;;;1;;;;;1
All Season Sports;2;;;;;;;;2
Alliance Française d'Amsterdam;;;;;;1;;;1
Alliance Francaise de La Haye;;;;;;1;;;1
Altimos B.V.;;;;;;1;;;1
Alt-Tab Bedrijfsondersteuning;;;;;;3;;;3
Always Green B.V.;;;;1;;;;;1
Amantis Loopbaanadvies Coaching Training;;;;;;1;;;1
Amaze Escape Events;;;;1;;;;;1
Amero B.V.;;;;1;;;;;1
Amier Restaurant B.V.;;;;1;;;;;1
Amsterdam Boat Events B.V.;;;;1;;;;;1
Amsterdam Boats B.V.;;;;1;;;;;1
Amsterdam School of Real Estate B.V.;;;;;;1;;;1
Anita Verdonk consultancy;;;;;;1;;;1
