Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financi�n;4110 - Consumptieve diensten;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9510 - BZ specifiek;Eindtotaal
1. Stg. Blijf Groep 2. Oranje Huis Amsterdam;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
7A Sevena AB;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
7AM Den Haag B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;1
A. van Helden Relatiegeschenken B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
A.J. van der Linde B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
A.V.C. Audio Video Communicatie B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1
a4 Training;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;4
AAA Display B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aalbers Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3
ABC Dutch;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Abonnementenland;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Above Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
ABP-Reclame;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academic Editing And Translation Services (AETS) Jerusalem;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1
Academie Voor Organisatiecultuur Soest;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Academy Payroll Professionals;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Acceleratio B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ACE Translations B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Acket-in-Mind;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
ACM Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Ad Astra Advocaten;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Ad Em Producties B.V.;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Advocatenkantoor Bordewijk;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Airinc International Holdings B.V. Amsterdam;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Airinc Research Uk Ltd Londen;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Ak Ay Gida Rescate Hotels Ankara;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1
Ak Media Productions;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
AKA UNITED NATIONS DIVISION OF KORMAN COMMUNITIES;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Alexander Hotel B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Allard Lindhout Trainingen & Lezingen;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Alliance Francaise de La Haye;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ALT HOTELS BY LE GERMAIN;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Amaze Escape Events;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Amazing Design;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Andija B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Anna Vastgoed & Cultuur;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;1
Annelies Kraan Beheer B.V.;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;2
ANP Holding B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1
Antea Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
Aon B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aon Rotterdam3;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
APE Public Economics B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Aquarium Lda;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Arabisch Vertaalbureau Abdellatif (Ava);;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Arbo Unie;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arboreus Boedapest;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
ARCADIS Nederland;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3
Ardis Opleidingen B.V.;;;;;6;1;;;;;1;;;;;;;;;;;1;;;;;;;6
Art & Allposters International B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Art Copy Team;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Artkitchen Gallery;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
ASMORO B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Asten Hotels S R.O. Praha;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Atelier Kronenburg;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Athenas B.V.;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1
Atos Nederland B.V.;;;;;;;;;;;7;;;;;;;;7;;9;;;;;;;;9
Attentio;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
August;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Axez ICT Solutions B.V.;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;5
Axiell ALM Netherlands B.V.;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;2
B.V. Panorama Mesdag;;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;;1
B+B Vakmedianet B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1
Babycompany.nl;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bakkerij C.J. van Kempen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Balans & Impuls B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Aad de Groot B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Boheemen;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Plasman;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bar Bistro Speakers;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Bar Restaurant Pavlov B.V.;;;;;;2;;;;;;;;;;;;;;;;1;;;;1;;;2
Barbarossa Beach B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
BarentsKrans N.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Barn47 B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Basaal 2.0;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Battlefield Live Nederland B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
BBflex;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
BCC (Elektro-Speciaalzaken) B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Bcd Travel Nairobi;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Be Cool Events;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Be in Business B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Beachclub Copacabana B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Beachclub Indigo B.V.;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;2
BeBright Consultancy B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Becker & More Services;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Beeldend Kunstenaar J. van der Kooi;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
BeGlobal Relatiegeschenken;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Beheer Centrum voor Mindfulness;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Belgian Beer Cafe Belvédère;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Berenschot Groep B.V.;;;;;4;;;;;;;;;;;;;;;;;1;;;;;;;4
Berlitz Schools of Languages B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Beroepsvereniging voor Public Affairs (Bvpa);;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Between Staffing Nederland B.V.;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;5
BETWEEN THE BREAD;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Beuk Touringcars;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Beurtvaartadres douane B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bex*communicatie;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
Billink B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;1
BirdView Expertises B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
B-Lay B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
BLOOM-hof van Zelfontwikkeling;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
