"Jaar","Programma","Product","Aanvrager","Doelstelling","Subsidieregeling / beleidsnota","Beleidsnota","Verleend bedrag","Vastgesteld bedrag","Verklaring lagere vaststelling"
"2015","03 - Wijkaanpak en Dienstverlening","Wijkaanpak","Coperatief Eigenwijzer U.A.","Stimuleren sociale cohesie van bewoners en verbetering van de leefomgeving in Molenwijk.","Wijkaanpak nieuwe stijl","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/93113","150000.00","50000.00","Subsidie is deels vastgesteld en het restant is doorgeschoven naar 2016"
"2015","03 - Wijkaanpak en Dienstverlening","Asielzoekers en vluchtelingenbeleid","Stichting VluchtelingenWerk Zuidvleugel","Bijdrage aan noodfonds Vluchtelingenwerk.","Beleidsregels minimavoorzieningen en bijzondere bijstand gemeente Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/111005","90000.00","","Subsidie is nog niet vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Asielzoekers en vluchtelingenbeleid","Kessler Stichting","Bijdrage aan vluchtelingenwerk, opvang en begeleiding ex-AMV-ers.","Beleidsregels minimavoorzieningen en bijzondere bijstand gemeente Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/111005","106466.00","66112.00","Alles is uitgevoerd, tegen lagere kosten"
"2015","03 - Wijkaanpak en Dienstverlening","Asielzoekers en vluchtelingenbeleid","Stichting Samenwerking Sociale Fondsen","Financile hulp aan mensen in noodsituaties.","Beleidsregels minimavoorzieningen en bijzondere bijstand gemeente Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/111005","177500.00","","Subsidie is nog niet vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Asielzoekers en vluchtelingenbeleid","Stichting VluchtelingenWerk Zuidvleugel","Maatschappelijke begeleiding statushouders.","Beleidsregels minimavoorzieningen en bijzondere bijstand gemeente Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/111005","459900.00","","Subsidie is nog niet vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Asielzoekers en vluchtelingenbeleid","Stichting VluchtelingenWerk Zuidvleugel","Bijdrage aan noodfonds Vluchtelingenwerk.","Beleidsregels minimavoorzieningen en bijzondere bijstand gemeente Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/111005","510860.00","","Subsidie is nog niet vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Leefbaarheid en bewonersparticipatie","YMCA Julianakerk Transvaal","Diverse activiteiten voor jongeren. ^0 kinderen doen mee aan thema feesten. Vergoten sociale cohesie.","Subsidieregeling Leefbaarheid en Bewonersparticipatie Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/76830","210.00","210.00","Conform vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Leefbaarheid en bewonersparticipatie","Stichting Buurtstation","Bomenwandeling door de wijk.","Subsidieregeling Leefbaarheid en Bewonersparticipatie Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/76830","215.00","","Subsidie is nog niet vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Leefbaarheid en bewonersparticipatie","Wijkvereniging Bohemen, Waldeck en Kijkduin","Straatfeest Oostvoornelaan om de gezamenlijke cohesie in de buurt te bevorderen.","Subsidieregeling Leefbaarheid en Bewonersparticipatie Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/76830","350.00","350.00","Conform vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Leefbaarheid en bewonersparticipatie","Stichting Wijkplatform Morgenstond","Feestelijke Burendag in en om de speeltuin Oosterhesselenstraat voor ongeveer 150 bewoners, vergroten van de sociale cohesie van de buurt.","Subsidieregeling Leefbaarheid en Bewonersparticipatie Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/76830","450.00","450.00","Conform vastgesteld"
"2015","03 - Wijkaanpak en Dienstverlening","Leefbaarheid en bewonersparticipatie","Bewonersorganisatie Stichting Wijkberaad Heesterbuurt","Bijdrage administratieve ondersteuning Social Sofa.","Subsidieregeling Leefbaarheid en Bewonersparticipatie Den Haag 2015","http://denhaag.raadsinformatie.nl/modules/13/Overige%20bestuurlijke%20stukken/76830","456.00","","Subsidie is nog niet vastgesteld"
