Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;1-Personele exploitatie
&Maes;;;;;1;;;1
´t Vonder Café-Restaurant;;;1;;;;;1
050 Taxicentrale;;;;;;;1;1
1 van de jongens;;;;;1;;;1
11 Congressen;;;;;1;;;1
123broodje;;;;;;;1;1
180 Gedragsinterventies en ontwikkelprogramma;;;1;;4;;;4
2 Know How;;;1;;3;;;3
24/7 Photo;;;;;1;;;1
2BlooM - Coaching en Training;;;;;1;;;1
2useIT The Internet Academy;;;;;1;;;1
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);;;;;1;;;1
3DMens;;;;;2;;;2
3M;;;;;2;;;2
4D HRM & Coaching;;;;;1;;;1
4D Path;;;1;;;;;1
4DotNet;;;;;2;;;2
5 Hart It Oracle Experts Opleidingen;;;2;;4;;;4
7Am;;;1;;1;;1;1
A Life;;;;;1;;;1
A&P International;;;2;;;;;2
A&R Vereninging Ambtenaar & Recht;;;1;;;;;1
A. Albada;;;;;;;1;1
A. Broekers-Knol;;;;;1;;;1
A. Foek;;;1;;;;;1
A. Hoogenkamp;;;;;1;;1;1
A. Pahladsingh;;;;;;;1;1
A. Scharloo;;;;;;;1;1
A. Theeuwen;;1;;;;;;1
A. van den Berg;;;;1;;;;1
A. van Helden Relatiegeschenken, Reclameartikelen;;;1;;;;;1
A. Van Huijstee;;;;;;;1;1
A. Vos;;;;;;;1;1
A.A. Biesheuvel Logopedie;;;;;1;;;1
A.A. Hagedoorn - Kalk;;;;;;;1;1
A.A.A. Houtzager;;;;;;;1;1
A.A.R. De Kom;;;;;;;1;1
A.C. De Boer Horeca;;;1;;1;;;1
A.C. van Dongen;;;1;;;;;1
A.C.J. Schrama;;;3;;;;;3
A.C.M. Kleinsman;;;;;;;1;1
A.D. Kloosterman;;;1;;1;;1;1
A.E. Haan;;;;;;;2;2
A.E. Verweij;;;2;;3;;1;4
A.G. Scheele-Mülder;;;;;;;1;1
A.H.R.M. Denie;;;;;;;1;1
A.J. De Groot;;;;;;;2;2
A.J. van de Rakt;;;;;;;1;1
A.J. Verheugt;;;;;;;1;1
A.J.G. Jukema;;;;;;;1;1
A.M.M. Stoop;;;;;1;;;1
A.N. Dijkstra;;;;;;;1;1
A.O. Lubbers & Boer;;;;;3;;;3
A.S. Valentini;;;1;;;;1;1
A.T. Scholte;;;;;;;1;1
A.T.M. Veldman;;;1;;;;;1
A.W. Jongbloed;;;;;;;1;1
A4 Training;;;;;1;;;1
Aaaaha! The Actor Factory;;;1;;1;;;1
AAB Management Services;;;;;1;;;1
Aalders Wassalon/Stomerij;;;1;;;;;1
AALO Opleidingen;;;;;1;;;1
Aaltje Vincent & Company;;;1;;2;;;2
Aan-Bod;;;1;;;;;1
AantjesZevenberg Advocaten;;;;;;;1;1
Aardoom & De Jong;;;;2;;;;2
Aaron A. De Haas Training;;;2;;2;;;3
ABC Communicatie & mediaproducties;;;;;1;;;1
Abdij van Berne;;;;;;;1;1
ABEE Outdoor;;;;;1;;;1
Abeln Advocaten;;;1;;;;;1
Abis Nederland;;;;;1;;;1
About Flowers;;;1;;;;;1
ABP Algemeen Burgelijk Pensioenfonds;;;2;;;;;2
Absoluta Food and Facilities;;;1;;;;1;1
Abvakabo;;;1;;;;;1
Academie Amsterdam B.V.;;;;;1;;;1
Academie Lokale Belastingen;;;;;1;;;1
Academie voor arbeidsmarkt communicatie;;;;;1;;;1
Academie Voor De Rechtspraktijk;;;;;1;;;1
Academie Voor Medezeggenschap;;;;;2;;;2
Academie Voor Overheidsjuristen;;;1;;4;;;4
Acaleph Opleiding Training en Adviezen;;;;;1;;;1
