;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&Maes B.V.;1;;1;;;;;1
0to9 B.V.;1;;;;;;;1
100% NL Magazine B.V.;1;;;;;;;1
200 OK;;;;;;1;;1
2bicas B.V.;;;2;;;;;2
3A3D;1;;;;;;;1
4 Happinezz;1;;;;;;;1
7Zebra's;2;;;;;;;2
A. van Eckeveld;1;;;;;;;1
A.A. van Vollevelde, huisarts;;;1;;;;;1
A.M.C. van Gorp;1;;;;;;;1
Aad van Vliet;;;1;;;;;1
Aan de statie;;;1;;;;;1
Aaneen;;;2;;;;;2
Aanmelder.nl B.V.;1;;;;;;;1
ABF Research B.V.;2;;;;;;;2
Academic Software Consulting;2;;;;;;;2
Achmea Academy h.o.d.n. Achmea Interne Diensten N.V.;;;1;;;;;1
ActivAge;;;2;;;;;2
ActiZ;3;;;;;;;3
Adviesbureau Hollander en van der Mey B.V.;2;;;;;;;2
Adviesgroep Questions, Answers and More B.V.;2;;;;;;;2
Afdeling Buitengewone Zaken;;;1;;;;;1
AffectStrategie B.V.;1;;;;;;;1
Agencynl B.V. h.o.d.n. The Giftmakers B.V.;1;;;;;;;1
Agile Scrum Group B.V.;2;;;;;;;2
Agile Works;;;2;;;;;2
Agressie, en daarna?;1;;;;;;;1
Albertema Peize Partyservice;1;;;;;;;1
Albrecht Design Hodn Reclamebureau Holland;1;;;;;;;1
Alet Klarenbeek;;;2;;;;;2
Amsterdam, European Medicines Agency;7;;;;;;;7
Amsterdams Centrum voor Familietherapie;1;;;;;;;1
Anderkaliber;1;;;;;;;1
Andersson Elffers Felix;;;7;;;;;7
Andersson Elffers Felix Beheer B.V.;;;;;;3;;3
Ankerpunt.com B.V.;3;;1;;;;;3
Annewiep;;;2;;;;;2
ANP Holding B.V.;1;;;;;;;1
Antoinette Bolscher Consultancy;2;;;;;;;2
Apotheek Asten;1;;;;;;;1
Apotheekhoudende Huisartspraktijk Mutsaerts;;;1;;;;;1
Arenda Oomen Fotografie;1;;;;;;;1
