Leveranciers;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;9-Dienstspecifiek
A.C. de Groot Publishing;;;;;2;;2
AAF International;;1;;;;;1
Abbott;;1;;;;7;7
AbbVie;;1;;;;;1
Acoutronics;;1;;;;;1
Actiz;;;;;1;;1
AD eco advies;;;;;2;;2
AdFoPack;;;;;1;;1
Advisie;;;;;;1;1
Afvalwater Services;1;;;;;;1
Aggreko Nederland;;;4;;;;4
Agilent Technologies;;1;4;;;;4
AIG Europe Limited;;;;;;2;2
Air Products Nederland;;1;;;;;1
Aksa Medical;;1;;;;;1
Alere Health;;1;;;;;1
Alfa Wassermann;;1;2;;;;2
Allekabels;;1;;;;;1
Alliance Healthcare;;2;;;;;2
Alltech / Applied Science;;1;;;;;1
Altec Industriele Identificatie;;2;;;;;2
Aluglas;;3;;;;;3
Alverpak;;1;;;;;1
Anadis Instruments;;1;1;;;;1
Anticlimax / Niels 't Hooft;;;;;2;;2
Antonides;;1;;;;;1
Antonius Ziekenhuis;1;;;;1;;1
Aon Nederland;;;;;1;;1
Apotheek Bilthoven REP van Laar;;1;;;;;1
Apotheek Gilze;;1;;;;1;1
Apotheek Nassau;;;;;;1;1
Applied Laser Technology;;1;;;;;1
Arbo Unie;;;;;1;;1
Arcadis (incl. Prc./Bouwcentrum, Alkyon);;;;;4;;4
Arie Blok;;;;2;;;2
Arko Sports Media;;;;;2;;2
Atos;;;;;;2;2
Autajon Labels;;1;;;;;1
Autobedrijf Van Hugten;;1;;;;;1
AUV Dierenartsen cooperatie;;;;1;;;1
AUV Groothandel;;1;;1;;;1
Avant sanare B.V.;;;;;2;;2
AvanTimes;;;1;;;;1
AVIV Adviesgroep;;;;;3;;3
B. Braun Medical;;1;;;;;1
Bactimm;;;;;;1;1
Bam (incl. Interflow);;;1;;;;1
Bas Möllenkramer Training;;;;;1;;1
Bascom Camera's;;;;1;;;1
Baseclear;5;3;;;;;5
Baxter;;1;;;;7;7
Beckman Coulter;;2;2;;;;3
Becton Dickinson;;4;4;;;;5
Beldico;;1;;;;;1
Belimed;;4;3;;;;5
Berendsen Textiel Service;;1;1;;;;1
Beun en De Ronde;;1;2;;;;2
Bevaplast;;1;;;;;1
Beweeg Wijs BV;;;;;1;;1
Biesheuvel Groep;;1;;;;;1
Bio Connect Services;;5;1;;;;5
Bio Services B.V.;;;;1;;;1
Bio Trading Benelux;;4;;;;;4
Biognost Benelux;;4;;;;;4
Biolegio;;2;;;;;2
Biomerieux Benelux Boxtel;;3;;;;;3
Biosafety Services;;;;;2;;2
Biosafety Support;;;;;2;;2
Biosolve;;1;;;;;1
Biozymtc;;1;;;;;1
BLGG AgroXpertus;1;;;;;;1
Blonk Milieu Advies;;;;;2;;2
Bodinco;;3;;;;;3
Boom Laboratorium Leverancier Meppel;;4;1;;;;4
Bovenij Ziekenhuis;;;;;;1;1
BPI Services;;;1;;;;1
Brady Groupe (incl. Seton, Transposafe);;1;;;;1;1
Brinkman Agro;;1;;;;;1
Bronkhorst Nederland;;;2;;;;2
Bronson Incubator Services;;;1;;;;1
Bruker (incl. Chemical Analysis, Axs, Optics);;1;2;;;;2
Brunschwig Chemie;;3;;;;;3
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;1;;;;1
Bureau Ten Napel;;;;;2;;2
Bureau Veritas;;;2;;;;2
Buro Blauw;;;;;1;;1
Butraco;;2;;1;;;2
Buveco Gasdetection;;;1;;;;1
BWT Nederland (vh Christ Holland);;1;;;;;1
CACI bv;;;;;2;;2
Caliz;;;1;;;;1
CapitalP;;;;;2;;2
Cardea Jeugdzorg;;;;;1;;1
CareFusion;;1;1;;;;1
Carepack Holland;;1;;;;;1
Carl Zeiss;;1;1;;;;1
Casa Den Haag;;1;;;;2;2
Catec;;1;;;;;1
CBD Centrum voor bedrijfsdiensten;;;;;5;;5
CBN Labsuppliers;;;1;;;;1
CBO Centraal BegeleidingsOrgaan (incl. NIGZ);;;;;2;;2
CE Delft Onderzoek Advies en Consultancy voor Duurzaamheid;;;;;2;;2
CED groep;;;;;2;;2
Centrum Media en Gezondheid;;;;;2;;2
CGI Group (incl. Logica CMG);;;;;1;;1
Checkpoint Systems Benelux;;2;;;;;2
Clindia Benelux;;1;;;;;1
Co van Beek Generatoren;;;1;;;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;;2;;;;2
Coherent Europe;;1;;;;;1
Comon Invent B.V.;;;2;;;;2
Conrad Electronic;;1;1;;;;1
Constructiebedrijf J.P. Bombach;;;;1;;;1
Control Energy Services;;;1;;;;1
Cornelissen Projectbegeleiding;;1;;;;;1
Cosanta;;;;;2;;2
Crepa Heftruck Verhuur;;;1;;;;1
CrisisTox Consult;;;;;2;;2
Cryo Solutions;;1;;;;;1
Cryo Store;;1;1;;;;1
CSO Adviesbureau voor Milieu onderzoek;2;;;;4;;4
CVI Centraal Veterinair Instituut;;;;;4;;4
CWZ Canisius-Wilhelmina Ziekenhuis;1;;;;1;;1
Cycloop Concept Creatie;;;;;1;;1
Da Vinci Europe Laboratory Solution;;1;4;;;;4
Dako Netherlands;;1;;;;;1
DAT.Mobility (vh Goudappel, Omnitrans International);;;;;2;;2
Dbvision;;;;;2;;2
DDC Europe;;;;;1;;1
DDL Diagnostic Laboratory;;2;;;;;2
De Argumentenfabriek;;;;;2;;2
De Goffau Advies Water en Milieu;;;;;1;;1
De Nederlandse Sport Alliantie;;;;;1;;1
De Wilde Metaal;;;1;;;;1
Deerns Raadgevende Ingenieurs;;;;;2;;2
Deltares;;;;;3;;3
Den Hartog;;2;;;;;2
Deventer Ziekenhuis;1;;;;;;1
DeVrimed;;6;;;;;6
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);;;;;3;;3
Diagnostisch Centrum Eindhoven;;;;;;2;2
DiaSorin;;2;;;;;2
Dijkstra Vereenigde;;1;1;;;;2
Distrilab;;1;;;;;1
Dokteranders Jan Fossen;;;;;1;;1
Doorgeest Koeltechniek;;;1;;;;1
Doxis;;;;;1;;1
Dr. Hach Lange Nederland;;1;1;;;;1
Dr. Weigert Nederland;;1;;;;;1
Drager Safety & Medical;;1;1;;;;2
Drefa Industries;;2;1;;;;2
Dupa Veiligheidstechniek;;;1;;;;1
Dutch Hospital Data;;;;;2;;2
Dyzle Operations;;;1;;;;1
ECN Energieonderzoek Centrum Nederland;;;;;4;;4
Ecofide;;;;;3;;3
Ecostat;;;;;2;;2
e-hulp.nl;;;;;1;;1
Eijkelkamp Agrisearch Equipment;;2;1;;;;2
ELDC B.V.;;2;;;;;2
Elitech Benelux;;1;;;;;1
Elkerliek Ziekenhuis;;;;;;1;1
Elscolab;;2;1;;;;2
Emdamed;;1;;;;;1
Emelca Bioscience;;2;;;;;2
Endomed;;1;;1;;;1
Eppendorf;;;2;;;;2
Eriks;;1;;;;;1
Escura Apotheken;;1;;;;1;1
Eurofins C-Mark;1;;;;;;1
Eurogentec;;3;;;;;3
EVL European Veterinary Laborstory;1;;;;;;1
F. Veldhuis Siervishandel;;1;;;;;1
Fa. A. Vos & Zoons;;1;;;;;1
Farmalyse;;;;;;3;3
Federa FMWV Federatie van Medisch;;;;;1;;1
Festo;;1;;;;;1
Fiori Project;;1;;;;;1
Flycatcher Internet Research;;;;;1;;1
Fugro (incl. EcoPlan, Aerial Mapping, Ingenieursbureau, Inpark);;;;;4;;4
Futurewater;;;;;2;;2
G.R. Instruments;;2;1;;;;2
Gaetano Productions;;;;;1;;1
GE Healthcare;;2;4;;;;4
Geesink Norba Group;;;1;;;;1
Gemini;;1;;;;;1
Gemini Ziekenhuis;2;;;;;;2
Gentaur Nederland;;1;;;;;1
Geonovum;;;;;2;;2
Gezondheidsdienst Voor Dieren;;;;;2;;2
GFK Group (incl. Panel Services, Intomart);;;;;1;;1
GGZ inGeest;;;;;1;;1
GHZ Groene Hart Ziekenhuis;1;;;;;;1
Grafisch Bedrijf Van Essen;;1;;;;;1
Greiner Bio-One;;1;;1;;;1
GS1 Nederland;;;;;;1;1
GSK GlaxoSmithKline;;;;;;10;10
Gunnebo;;;1;;;;1
Haga Ziekenhuis;1;;;;;2;2
Handelsonderneming PD;;;1;;;;1
Hanna Instruments;;1;;;;;1
Harlan Laboratories;;1;;3;1;;3
Haulotte Netherlands;;;1;;;;1
Heleon;;1;;;;;1
Henriette Prast;;;;;1;;1
Het NIC - Nederlands Inkoop Centrum;;;;;1;;1
Het Waterlaboratorium;;;;;2;;2
Hettich Benelux;;;1;;;;1
HIG Verkeerstechniek;;;;;1;;1
High Security International;;;1;;;;1
Hitma;;2;2;;;;2
Holland Spoor;;;;;1;;1
Huis voor Beweging;;;;;1;;1
i Research;;;;;1;;1
I&L Koerier;;;1;;;;1
Ideate;;;;;2;;2
Ijsfontein;;;;;1;;1
Ijsselland Ziekenhuis;7;;;;;;7
Imares;;;;;3;;3
Impact Company;;;;;1;;1
Imtech (incl. Radio Holland, Bostec);;;1;;;;1
Inacom Instruments;;1;;;;;1
Infors Benelux BV;;;2;;;;2
Innosieve Diagnostics;;1;;;;;1
Inotec Barcode Security;;1;;;;;1
Inrada Group Ingenieursbureau de Raaij en Datema;;1;;;;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;;3;;3
Instrument Solutions;;;2;;;;2
Instrumentation Laboratory (incl. werfen);;1;1;;;;1
Interline Systems;;;1;;;;1
Intersafe Groeneveld;;1;;;;;1
Interscience;;1;2;;;;2
Interster International;;1;;;;;1
Intimus (vh Asterion, Pitney Bowes);;;;;;2;2
Inventech Benelux;;;1;;;;1
IPN Equipment;;;1;;;;1
Isala Klinieken;7;;;;;;7
Isogen Life Science;;2;1;;;;2
Isolectra;;;1;;;;1
