Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
&Maes B.V.;;;;;;;;2;2
@man, advies en onderzoek;;;;;;;;2;2
0to9 B.V.;;;;;;;;1;1
10Telecom B.V.;;;;;;;;1;1
123Telcom B.V.;;;;;;;;1;1
12Connect B.V.;;;;;;;;1;1
1Minuut B.V.;;;;;2;;;;2
4Launch B.V.;;;1;;;;;;1
4synergy B.V.;;2;;;;;;;2
888 B.V.;;;;;;;;1;1
A & C Presentations;;;1;;1;;1;;1
A & P Investments B.V.;;1;1;;;1;;;1
A&W Zonwering en Interieur B.V.;;1;;;;;;;1
A. Boels, Huisarts;;;;;;;;1;1
A. van der Lugt, huisarts en acupuncturist;;;;;;;;1;1
A.S. Watson (Health & Beauty Cont. Europe) BV;;;;;;;;1;1
A10Tech B.V.;;;;;1;;;;1
A3BC B.V.;;;;;;;;1;1
Aa Installatietechniek Nederland B.V.;;2;;;;;;;2
AB Sciex Netherlands B.V.;;5;;;;;;;5
Abiom Communication Systems (A.C.S.) B.V.;;;2;;;;;;2
ABN AMRO Bank;;1;;;;;;;1
abtWassenaar B.V.;;;;;;;;1;1
Acapture B.V.;;;;;;;;2;2
Accenture B.V.;;;;;7;;;;7
Access It Training & Solutions;;;;;;;;1;1
Accretus;;;;;;;;2;2
ACE Consulting Ltd.;;;;;1;;;;1
Ace Vision B.V.;;;1;;;;;;1
ACN Europe B.V.;;;;;;;;1;1
Actacom Nederland B.V.;;1;;;;;1;4;4
Adaptics Health & Performance B.V.;;;;;;;;1;1
Administratiekantoor Kroese;;1;;;;;;;1
Aenova B.V.;;1;;;2;;;;2
Aerea Networks B.V.;;;;;;;;1;1
AEsound group B.V.;;2;;;;;;;2
AEVES B.V.;;;;;;;;2;2
Afvalbox VOF;;;1;;;;;;1
Agilent Technologies Netherlands B.V.;;3;;;;;;;3
Agumar Systems B.V.;;1;;;;;2;;2
AirXS B.V.;;;;;;;;1;1
AK;;;;;;;;1;1
