Leveranciers;4000 Diensten en middelen overig;4110 Consumptieve diensten;4120 Risicobeheersen;4130 Schoonmaak;4210 Post-, koeriers- en transportdiensten;4310 Documentmanagement;4410 Afvalzorgmanagement;4510 Inrichting van gebouwen;4610 Benodigdheden en hulpmiddelen;4710 Bankdiensten;4-Diensten en middelen
A. Toller Sleutel en Slotenhuis;;;;;;;;;1;;1
A. van Helden Relatiegeschenken, Reclameartikelen;;;;;;;;;1;;1
A. van Keulen;;;;;;;;;1;;1
ABC Hekwerk;;;5;;;;;;;;5
Abn-Amro Bank (incl. Fortis);;;;;;;;;1;;1
Absoluta Food and Facilities;;1;;;;;;;;;1
ABZ NEDERLAND BV;;;;;;;;;;1;1
Acco Brands (incl. GBC);;;;;;;;;2;;2
Accor Hospitality Nederland N.V.;;1;;;;;;;;;1
Acromion;;1;;;;;;;;;1
ACTing People;;;;;;;;;1;;1
Adams Muziekcentrale;;;;;;;;;1;;1
Adformatie Groep Uitgeverij;;;;;;;;;1;;1
Advanced Security Solutions;;;;;;;;;1;;1
Advocatenkantoor Dijkgraaf;;;;;;;;;2;;2
AED Solutions;;;1;;;;;;;;1
Airport Property Management;;;;;;;;1;;1;1
Ajax Chubb Varel;;;4;;;;;;;;4
Akoestiekfabriek;;;;;;;;2;;;2
Albron Catering;;2;;;;;;;;;2
Allrent / De Polderland Groep / Dry Hire;;;;;;;;;1;;1
Almedo;;;;;;;;;1;;1
Aloys Roemaat Transport;;;;;1;;;1;1;;1
Alphatron Communicatie, Observatie, Navigatie;;;;;;;;;1;;1
Alternate;;;;;;;;;3;;3
Altijd drukwerk;;;;;;;;;1;;1
Altuition;;;;;;;;;;1;1
Alvira Services (vh Payzone Alphyra);;;;;;;;;1;;1
Amazing Bread Company (incl. Mammomi);;;;;;;;;;1;1
Ambition Uitzendgroep;;;1;;;;;;;;1
American Express Int;;;;;;;;;;1;1
Amsterdam Airport Schiphol;;;2;;;;;4;1;;4
Anac Selfstorage;;;;1;;;;;;;1
Ankerslot;;;;;;;;;1;;1
Anna Caspari Hotel-Restaurant;;1;;;;;;;;;1
Anneke's Zoetwaren;;1;;;;;;;;;1
Anre Sound;;1;;;;;;;;;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;;;;;1;;1
Antonisen;;;;;5;;;;;;5
ANWB;;;;;;1;;;;;1
Anymazed;;;;;;;;;1;;1
Aon Nederland;;;;;;;;;1;;1
Argo Catering & Horeca BV;;;;;;;;;1;;1
Arnag Horeca;;1;;;;;;;;;1
Ars Traffic & Transport Tech;;;;;;;;;2;;2
Artihove;;;;;;;;1;1;;1
Artona Asset Management;;;;;;;;;;1;1
ArtXtra;;;;;;;;;1;;1
ASB-Security;;;1;;;;;;;;1
Asito;;;;2;;;;;;;2
Atos;;;;;;;;;2;;2
Atrium vastgoedmanagement;;;;;;;;;2;;2
Audio Visueel Bedrijf Nederland;;;;;;;;;1;;1
Aumacon;;;;;;;;;1;;1
Auto Indumij Dordrecht;;;;;;;;;1;;1
Autoberging Leerentveld Zwolle;;;;;;;;;1;;1
Autohulpdienst Broekmans;;;;;;;;;1;;1
Autotelex;;;;;;;;;;1;1
AVR Afvalverwerking Rijnmond;;;;;;;;;;1;1
A-Z Barbecue & Gourmet Party;;1;;;;;;;;;1
Azerty Hardware;;;;;;;;;5;;5
B. Visser Onderhoud & Reparatie;;;;;;;;;1;;1
B+B Vakmedianet;;;;;;1;;;;;1
Badge Promotions;;;;;;;;;1;;1
Bakker Hilvers;;1;;;;;;;;;1
Bakker Prins;;1;;;;;;;;;1
Bakker Sierbestrating en Buitenleven;;;;;;;;1;;;1
Bakkerij Bart;;1;;;;;;;;;1
Bakkerij Gerrards;;1;;;;;;;;;1
Bakkerij Schuurmans;;1;;;;;;;;;1
Bal Heren Kleding;;;;;;;;;1;;1
Balance Ervaring op Projectbasis;;;;;;;;;;1;1
Bam Media;;;;;;;;;1;;1
Banketbakkerij Gordijn;;1;;;;;;;;;1
Banketbakkerij J. Smit;;1;;;;;;;;;1
Banketbakkerij Maassen;;1;;;;;;;;;1
Banketbakkerij Nijstad;;1;;;;;;;;;1
BARENDREGT A. BV.;;;;;;;;;1;;1
Bas - Business Art Service;;;;;;;;1;;;1
BBP Beerens Business Press (incl. Twinkle);;;;;;;;;1;;1
BCM Academy;;;;;;;;;;1;1
Beeldleveranciers;;;;;;;;;1;;1
Beercoo Schoonmaakgroep;;;;2;;;;;;;2
Ben Becker Int. transportbedrijf BV;;;;;1;;;;;;1
Berends Groenten - Fruit;;1;;;;;;;;;1
Berends van Loenen Machinefabriek;;;;;;;;;1;;1
BERENDSEN H.;;1;;;;;;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;;;;;;1;;1
Bergh Brandkasten;;;;;;;;;1;;1
Bergnet;;;;;;;;;1;;1
Besseling Vervoert;;;;;;;;;1;;1
BETA GUARD BV.;;;;;;;;;1;;1
Betabedrijvenbeurs Stichting;;;;;;;;;1;;1
Better Future Development;;;;;;;;;;1;1
Bever Zwerfsport;;;;;;;;;1;;1
Bianca Smit Financiële Dienstverlen;;;;;;;;;2;;2
BIKER'S MOTORSPORT;;;;;;;;;1;;1
Bilfinger (incl. Tebodin, Real Estate);;;;;;;5;;;;5
Billink;;;;;;;;;1;;1
BIM Media;;;;;;;;;1;;1
Bird & Bird Advocaten;;;;;;;;;1;;1
Bison Bowling;;;;;;;;;1;;1
Bistro De Eeterij;;1;;;;;;;;;1
Bloemsierkunst De Klerk;;;;;;;;1;;;1
Blue Horse Atelier;;;;;;;;1;;;1
Blue Lagoon Grill Restaurant;;1;;;;;;;;;1
Boerhof Projectinrichting Heeten;;;;6;;;;6;;;7
Bol.Com;;;;;;;;;1;;1
Bolletje Winkel;;1;;;;;;;;;1
Bon Vivant;;1;;;;;;;;;1
Boom voor Kerst;;;;;;;;;1;;1
Bootmodel.nl;;;;;;;;;1;;1
Bosch (Robert);;;2;;;;;;;;2
Boshuis Handelsonderneming;;1;;;;;;;;;1
Bosma Direct Marketing;;;;;;;;;2;;2
Brady Groupe (incl. Seton, Transposafe);;;;;;;;;2;;2
Brand Interieurbouw en Aannemeningsbedrijf;;;1;;;;;;;;1
Brasserij De Bergerrie;;1;;;;;;;;;1
Breaking Habits;;;;;;;;;1;;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;;;;;2;;;1;;;2
Breur Beveiligingen, Ijzerhandel;;;;;1;;;;;;1
Briels Facilicare V.O.F.;;;;2;;;;;;;2
BRL Berging Regio Leiden;;;;;;;;;1;;1
Broekhuizen Dolf Architectuurhistoricus;;;;;;;;;1;;1
Broekmans Patisserie;;1;;;;;;;;;1
Brofa;;1;;;;;;;;;1
Bronk;;;;;;;;;1;;1
Broodjesexpress;;1;;;;;;;;;1
BT Global Services (incl. Syntegra);;;;;;;;3;;;3
Buitenhuis Autoverhuur;;;;;1;;;;;;1
Business Class Chauffeursdiensten West;;;;;;;;;1;;1
BUTER BANKETBAKKER;;1;;;;;;;;;1
ButtonsBedrukken.nl;;;;;;;;;1;;1
BVDA Internationaal;;;;;;;;;1;;1
By Adelaar;;;;;;;;;1;;1
Cafe BLVD;;1;;;;;;;;;1
Cafe Oosterwaal V.O.F.;;1;;;;;;;;;1
Caliz;;;;;;;;;1;;1
CAMERA INSTALLATIE.NL;;;;;;;;;1;;1
CameraTools.nl;;;;;;;;;1;;1
Canon (incl. Océ Nederland);;;;;;5;;;1;;5
Caris Bakkerij;;1;;;;;;;;;1
Carlton Hotel;;1;;;;;;;;;1
Casa Santa Maria (vh de Vier Vensters Restaurant);;1;;;;;;;;;1
Catalunia Spaans Restaurant;;1;;;;;;;;;1
Catch Projecten;;;;;;;;1;;;1
CCV Services;;;;;;;;;;1;1
CED Claims Services;;;;;;;;;;1;1
CENTRAAL GRAND CAFE;;1;;;;;;;;;1
Central Point;;;;;;;;;1;;1
Centre For Generative Leadership;;;;;;;;;;1;1
Centrum Voor Conflicthantering;;;;;;;;;1;;1
C'est se Bon! Bistrot;;1;;;;;;;;;1
Chez Antionette;;;;;;;;;1;;1
CHOI Centrum Hoger Onderwijs Informatie;;;;;;;;;1;;1
Christiaanse-Taxateur Rfv;;;;;;;;;1;;1
Citygis Homeland Security;;;;;;;;;1;;1
Clara.Net;;;;;;;;;1;;1
Classic Incasso;;;;;;;;;1;;1
CLdN Cargo BV;;;;;1;;;;;;1
CLIPPER;;;;;;;;;1;;1
Clou Marketing, Informatie en Research;;;;;;;;;1;;1
CMI Career Management Institute;;;;;;;;;1;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;;3;;;;;;;;3
Coffeemania;;1;;;;;;;;;1
Coldtrick It Solutions;;;;;;;;;1;;1
Color Utrecht;;;;;;;;;1;;1
Coloron;;;;;;;;;1;;1
Colour me;;;;;;;;;1;;1
Com Connect;;;;;;;;;1;;1
Comergy;;;;;;;;;2;;2
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;7;;;;;;;;;7
Computer Associates;;;;;;;;;;1;1
Conrad Electronic;;;;;;;;;1;;1
Coolblue - Pda Shops;;;1;;;;;;;;1
Corexeed B.V.;;;1;;;;;;;;1
Cornelissen Aannemingsbedrijf;;;;;1;;;;;;1
Correct Business Electronics;;;;;;;;;1;;1
Corridor Taverne;;1;;;;;;;;;1
Creative Beards Media;;;;;;;;;2;;2
Creator Meeting Support;;;;;;;;;1;;1
Crown Worldwide (incl. Gerlach art packers & shippers, John Nurminen Prima);;;;;1;;;;;;1
CSG;;;;1;;;;;;;1
CSU Schoonmaak (vh. City Service);;;;8;;;;;;;8
CUIJPERS LEON;;;;;;;;;1;;1
Cultuurfabriek;;;;;;;;;5;;5
Cushman & Wakefield;;;;;;;;;;1;1
CWS Nederland;;;;4;;;;;;;4
Dael B.V.;;;;;;;;2;;1;2
Dagservice Reprografie;;;;;;;;;1;;1
DARE TO DO STUDIO;;;;;;;;;1;;1
DataExpert;;;;;;;;;3;;3
DCE Consultants;;;;;;;;;1;;1
DDS Electronics Europe;;;;;;;;;1;;1
De Algemene Boekhandel;;;;;;;;;1;;1
De Atlas / Drank & Spijslokaal;;1;;;;;;;;;1
De Beste EHBO Doos;;;1;;;;;;;;1
De Boer  Bouwbedrijf;;;;;;;;1;;;1
De Dorpskamer eten en drinken;;1;;;;;;;;;1
De Drankenmarkt;;1;;;;;;;;;1
De Echte Groenteman W. v.d. Vegt;;1;;;;;;;;;1
De Giessen;;;;;;;;;1;;1
De Groot Drukkerij (incl. Het Kontakt Edities, Premere);;;;;;;;;1;1;1
De Haas Maassluis;;;;;;;;;1;;1
De Heerlijckheyt Het Loo Restaurant;;1;;;;;;;;;1
De Horizon Glas in lood atelier;;;;;;;;1;;;1
De Jong Banketbakkerij;;1;;;;;;;;;1
De Korenbeurs;;1;;;;;;;;;1
De Kruyter Banket;;1;;;;;;;;;1
De Leeuw;;;;;;;;;2;;2
De Leidsche Flesch;;;;;;;;;1;;1
De Lekkernij Utrecht;;1;;;;;;;;;1
De Meeuw Oirschot;;;;4;;;;;;;4
DE MEREL;;;;;;;;;1;;1
De Millinger Theetuin;;1;;;;;;;;;1
De Molenplas;;1;;;;;;;;;1
De nieuwe tijd;;1;;;;;;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;;;;;;;1;;1
De Reiger Catering (incl. Nikita, Vechthuis);;1;;;;;;;;;1
De Temperamenten;;;;;;;;;1;;1
De twee Wezen;;1;;;;;;;1;;1
De Verlenging Eetcafe;;1;;;;;;;;;1
De Voort Hermes De Bont / Advocaten;;;;;;;;;1;;1
De Vries Project Design;;;;;;;;1;;;1
De Waterloobar Cafe;;1;;;;;;;;;1
De Wilde Bouwbureau en Aannemingsbedrijf;;;;;1;;;;;;1
De Zonnebloem Stg;;;;;;;;;1;;1
Deac Nederland;;1;;;;;;1;;;1
Dedicon;;;;;;;;;1;1;1
deHebberd;;1;;;;;;;;;1
Dehullu Projekt (Dehullu Sign Sytems);;;;;;;;2;;;2
Dekker Gerechtsdeurwaarderskantoor en Incassobureau;1;;;;;;;;;;1
Dell Computer;;;;;;;;;2;;2
Delta Berging en Transport;;;;;;;;;2;;2
Delta International;;;;;;;;;2;;2
Desire to Communicate;;;;;;;;;;1;1
DHL;;;;;5;;;;;;5
Diensten Stichting Mediation;;;;;;;;;1;;1
Dierenbescherming;;;;;;;;;1;;1
Digiforce (vh DeltaHage / Digiprint);;;;;;;;;2;1;2
Digisterker (Digitale Overheid);;;;;;;;;2;;2
Dijkgraaf Rijsdorp;;;;;;;;;1;;1
Dijkstra Vereenigde;;;;;;;;;1;;1
Dirksen Schoonmaakartikelen en Bedrijfskleding;;;;;;;;;7;;7
Discountoffice.nl;;;;;;;;;1;;1
DMP Dutch Music Partners;;;;;;;;;1;;1
DNV Det Norske Veritas;;;;;;;;;1;;1
DocumentenWacht (incl. MuseumWacht);;;;1;;;;;;;1
Dokkumer Vlaggen;;;;;;;;;1;;1
Domstad Evenementen (incl. Tours & Events);;;;;;;;;1;;1
Dordtse Bazar Verhuur;;1;;;;;;;;;1
Douwe Egberts;;7;;;;;;;;;7
DPS Digital Photo Systems;;;2;;;;;;;1;2
Drager Safety & Medical;;;;;;;;;1;;1
Dragon Garden Restaurant;;1;;;;;;;;;1
Drentea Kantoormeubelen;;;;;;;;1;;;1
Droogbak Bureau;;;;;;;;;1;;1
Drukkerij Boeijinga BV;;;;;;;;;1;;1
Drukkerij Repro;;;;;;;;;1;;1
Drums2Play;;;;;;;;;1;;1
DSR Food Borne - Almelo;;;;;;;;;1;;1
Dudok (Horeca Exploitatie WWZ IV);;1;;;;;;;;;1
Dufare Duik- en Watersportreparatie;;;;;;;;;1;;1
Duo2;;4;2;3;;;;1;1;;4
Dutch Dream Foundation;;;;;;;;;2;;2
E & A Schreurs b.v.;;1;;;;;;;;;1
Easy2Send;;;;;1;;;;;;1
Ebo van Weel;;;;;;;;;1;;1
ECB Group (ECR Gordijn);;;;;;;;;1;;1
Echte Bakker Kottier;;1;;;;;;;;;1
