x;y;Locatienaam;Organisatie;Straat;Nummer;Letter;Toevoeging;Adres;Postcode;Woonplaats;PCPlaats;Wijknaam;Buurtnaam;Domein;Hoofdfunctie;Functie;Kaart;Doelgroep;Telefoon;Email;Website1;Website2;Toegankelijkheid
136446;457384;Samen Eten 55+;;Samuel van Houtenstraat;1;;;Samuel van Houtenstraat 1;3515 EA;Utrecht;3515 EA Utrecht;Noordoost;Staatsliedenbuurt;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;030-2443742 / 030-2731356;;;;
137956;457970;Zorgcentrum Tuindorp Oost;;Winklerlaan;365;;;Winklerlaan 365;3571 KE;Utrecht;3571 KE Utrecht;Noordoost;Tuindorp-oost;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;030-2588800;;http://www.careyn.nl;;
137795;452905;Eetgroep Lunetten (De Musketon);;Hondsrug;19;;;Hondsrug 19;3524 BP;Utrecht;3524 BP Utrecht;Zuid;Lunetten-noord;welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;06-81032857;;;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={64B207A3-B1B1-418D-82D4-F1DCC31B2902}&lan_id=1
137206;454164;"Restaurant De Oude Gracht"" (woonzorgcentrum Tolsteeg)""";;Saffierlaan;10;;;Saffierlaan 10;3523 RC;Utrecht;3523 RC Utrecht;Zuid;Tolsteeg, Rotsoord;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;030-2567567;;http://www.axioncontinu.nl;;
134895;459073;Seniorenrestaurant 't Huis aan de Vecht;;Costa Ricadreef;9;;;Costa Ricadreef 9;3563 TA;Utrecht;3563 TA Utrecht;Overvecht;Vechtzoom-noord, Klopvaart;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;030-3646668;;http://www.axioncontinu.nl;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={2D7EF018-CA24-46A6-B10F-D5EC616A480F}&lan_id=1
136859;458624;Restaurant / Wijkcentrum 'De Watertoren';;Neckardreef;12;;;Neckardreef 12;3562 CN;Utrecht;3562 CN Utrecht;Overvecht;Neckardreef e.o.;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;030-2588350;;;;
135482;459546;Zorgcentrum Rosendael;;Indusdreef;5;;;Indusdreef 5;3564 GV;Utrecht;3564 GV Utrecht;Overvecht;Tigrisdreef e.o.;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;030-2588788;;https://www.careyn.nl/locaties/utrecht/utrecht/careyn-rosendael/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={71F3F29E-1F74-4B5B-A2A0-0951C3327C9B}&lan_id=1
135936;459119;Esthers Eethuis;;Ghanadreef;2;A;;Ghanadreef 2A;3564 EK;Utrecht;3564 EK Utrecht;Overvecht;Zambesidreef e.o.;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Ouderen;;estherseethuis@tussenvoorziening.nl;http://www.tussenvoorziening.nl;;
136757;456322;t Smulhuis;De Tussenvoorziening;Jansveld;51;;;Jansveld 51;3512 BE;Utrecht;3512 BE Utrecht;Binnenstad;Domplein, Neude, Janskerkhof;Welzijn;Maaltijdservice;Eettafel;Maaltijdservice;Daklozen, thuislozen;030-2300921;smulhuis@tussenvoorziening.nl;http://www.tussenvoorziening.nl;;
137011;455958;Maaltijdservice U Centraal;U Centraal;Pieterskerkhof;16;;;Pieterskerkhof 16;3512 JR;Utrecht;3512 JR Utrecht;Binnenstad;Domplein, Neude, Janskerkhof;Welzijn;Maaltijdservice;Maaltijdservice, maaltijdbezorging;Maaltijdservice;Inwoners van Utrecht die door ziekte, ouderdom of handicap niet zelf kunnen koken;030-2361791;maaltijden@u-centraal.nl;https://www.u-centraal.nl/maaltijdservice/;http://www.u-centraal.nl;
136171;458494;Wijkbureau Overvecht;;Zamenhofdreef;17;;;Zamenhofdreef 17;3562 JT;Utrecht;3562 JT Utrecht;Overvecht;Zamenhofdreef e.o.;Welzijn;Wijkbureau en wijkservicecentrum;;Wijkbureau en wijkservicecentrum;Bewoners, ondernemers;030-2860000;overvecht@utrecht.nl;http://www.utrecht.nl/wijk-overvecht/wijkbureau/;;
