Leverancier;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
&Maes B.V.;;;;;2;;;;;2
123Accu B.V.;;;;;;;;1;;1
123schoon B.V.;;;1;1;;;;1;;1
1e Klas' Grand Café Restaurant;;;;;1;;;;;1
2DOBOARD B.V.;;;;1;;;;1;;1
2-Nice B.V.;;;;;;;1;;;1
3R Facility Services B.V.;;;1;;;;;;;1
4walls;;;;;;;;1;;1
7AM Den Haag B.V.;;;;;1;;;;;1
7Day;;;;;;;;1;;1
A & P Investments B.V.;1;1;3;;1;;2;3;;4
A. Beverwijk en Zonen B.V.;;;;;;;;1;;1
A. Timmerman's IJzerhandel B.V.;;;;;;;1;1;;1
A. van Helden Relatiegeschenken B.V.;;;;;2;;;1;;2
A.M.I. Complete Project Interieurs;;;;;;;1;;;1
A.M.S. Firma A. Vos & Zoons;;1;;;;;;;;1
A.S.M. Joosten t.h.o.d.n. Vormvreters;;;;;1;;;;;1
A.V.W.tronics;;;;;;;;1;;1
Aa Installatietechniek Nederland B.V.;;;;;;;1;;;1
AAA Display B.V.;;;;;;;1;;;1
AAB Safety & Telecom B.V.;;;;;;;;1;;1
aadesign;;1;;;;;;;;1
Aalders Wassalon/Stomerij;;;;;;;;1;;1
Aannemersbedrijf G.B. van Hoek B.V.;1;;;;1;;1;1;;2
AB Sciex Netherlands B.V.;;;;;;;;1;;1
ABCA B.V.;;;1;;;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;1;;;;;;;;1
ABO Opleidingen V.O.F.;;2;;;;;;;;2
Absoluta B.V.;2;;;;;;;;;2
ACI Reconditionering & Schadeherstel B.V.;;;;;;;1;;;1
ACM Opleidingen B.V.;;1;;;;;;;;1
Actiforce Europe B.V.;;;;;;;;1;;1
Adema Sleutelspecialist V.O.F.;;;;;;;;1;;1
AED Solutions B.V.;;1;;;;;1;;;1
AEDcompany.nl;;1;;;;;;;;1
AED-Partner;;1;;;;;;;;1
Agilent Technologies Netherlands B.V.;;;;;;;1;1;;1
Agumar Systems B.V.;;;;;;;;1;;1
Aha Drukwerk;;;;;;;;1;;1
Ahrend Nederland B.V.;;;1;;;;1;1;;1
Air Products Nederland B.V.;;;;;;;;1;;1
Airsain;;;;;;;;1;;1
Akoestiek Comfort B.V.;;;2;;1;;1;;;2
Albeka B.V.;;;;;;;1;;;1
Albert Heijn B.V.;1;;;;;;;;;1
Albertema Peize Partyservice;;;;;1;;;;;1
Albert-Schweitzergroep - Scouts Troep;;1;;;;;;;;1
Albron Nederland;5;;;;;;;;;5
Albron Nederland B.V.;7;;;;1;;;1;;7
Albyco Nederland B.V.;;;;;;;;1;;1
Alex Aalders Bloemist;;;;;1;;;;;1
Algra Koffie en Thee;;;;;;;1;1;;1
All Tactical;;;;;;;;2;;2
Allekabels B.V.;;;;1;;;1;1;;1
Allied hight tech products inc.;;;;;;;;2;;2
AllSens B.V.;;;;;;;;2;;2
ALM Afbouwgroep;;;;;;;3;;;3
Almeva B.V.;;1;;;;;;1;;1
Alp Lift B.V.;;;;;;;1;2;;2
Alpheios B.V.;;;2;;;;;2;;2
Altec Industrial Identification;;;;;;;;1;;1
Altrex B.V.;;;;;;;;1;;1
Alustaal B.V.;;;;;;;;;;
Alvero Kantoormeubelverhuur B.V.;;;;;;;1;;;1
Amar Roti;1;;;;;;;;;1
Amazing Bread Company B.V.;;;;;1;;;;;1
Ambius B.V.;1;;1;;1;;2;1;;2
Ambtenaren Raad van Arbeid;;;;;1;;;;;1
Amigo Promotion B.V.;;;;;1;;;;;1
Amnesty International, Afdeling Nederland;;;;;1;;;;;1
Amstel Boathouse B.V.;;;;;1;;;;;1
Amsterdam Hospitality Development II B.V.;;;;;1;;;;;1
Andrews Sykes B.V.;;;;;;;;2;;2
Annalouis;;;;;1;;;;;1
Anne the Statue;;;;;1;;;;;1
Anomie;;;;;1;;;;;1
Anoniem_J & V_1000;1;;;;;;;;;1
Anoniem_J & V_10003;;;;;;;;1;;1
Anoniem_J & V_10040;1;;;;;;;;;1
