FID,filename,folder,urlbig,rdx,rdy,se_anno_cad_data,gdb_geomattr_data,shape
actuele_zn_helicopterfotos.1,2011-10-03-0682.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0682.jpg,144043.202,411410.521,,,POINT (144043.20199999958 411410.5210000016)
actuele_zn_helicopterfotos.2,2011-10-03-0683.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0683.jpg,144013.266,411379.197,,,POINT (144013.2659999989 411379.1970000006)
actuele_zn_helicopterfotos.3,2011-10-03-0684.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0684.jpg,143997.541,411364.788,,,POINT (143997.54100000113 411364.7879999988)
actuele_zn_helicopterfotos.4,2011-10-03-0685.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0685.jpg,143981.288,411351.679,,,POINT (143981.28799999878 411351.6790000014)
actuele_zn_helicopterfotos.5,2011-10-03-0686.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0686.jpg,143964.449,411339.405,,,POINT (143964.44900000095 411339.4050000012)
actuele_zn_helicopterfotos.6,2011-10-03-0687.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0687.jpg,143946.852,411328.412,,,POINT (143946.85200000182 411328.4120000005)
actuele_zn_helicopterfotos.7,2011-10-03-0688.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0688.jpg,143889.044,411303.51,,,POINT (143889.04399999976 411303.51000000164)
actuele_zn_helicopterfotos.8,2011-10-03-0689.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0689.jpg,143868.693,411297.603,,,POINT (143868.69299999997 411297.6030000001)
actuele_zn_helicopterfotos.9,2011-10-03-0690.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0690.jpg,143848.24,411292.55,,,POINT (143848.23999999836 411292.55000000075)
actuele_zn_helicopterfotos.10,2011-10-03-0691.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a59_vlijmen/2011-10/2011-10-03-0691.jpg,143827.951,411288.368,,,POINT (143827.95100000128 411288.3680000007)
