Leveranciers;8110 Vakliteratuur, abonnementen en overige informatie;8210 Vertaaldiensten;8310 Relatiegeschenken niet voor eigen personeel;8410 Evenementen en congresorganisatie;8510 Diversen communicatie;8-Communicatie
11 Congressen;;;;1;;1
4Plezier;;;;1;;1
A. van Helden Relatiegeschenken, Reclameartikelen;;;1;;;1
A.C. van Dongen;;;1;;;1
ABC Ballonnen Zeist;;;;1;;1
Academie voor arbeidsmarkt communicatie;;;;2;;2
Academie Voor Medezeggenschap;;;;1;;1
Achterhoek Magazine;1;;;;;1
ACTA Kaldenbach;;;;1;;1
Adformatie Groep Uitgeverij;1;;;;;1
ADLIB Information Systems (inc Axiell);1;;;;1;1
Advance Events;;;;4;;4
Aggressive Security B.V.;;;;1;;1
Ahoy Horeca;;;;1;;1
Albrecht-Consult;;;;1;;1
ALG. VER. VAN BELASTINGDEURWAARDERS;;;;1;;1
Alternate;;;;;1;1
Altijd Gezel-Li;;;;;1;1
Amazing Bread Company (incl. Mammomi);1;;;;;1
Amoz;1;;;;;1
Amsterdamseuitjes.nl;;;;1;;1
Annemarie Prein People Development;;;;2;;2
ANP - Algemeen Nederlands Persbureau;6;;;;1;6
Anre Sound;;;1;;;1
Aon Nederland;;;;;1;1
ArchiVision Digital Imaging;;;;1;;1
ArchiXL;;;;1;;1
Aristo Holding;;;;1;;1
Arnauld Geschenken;;;1;;;1
Artexion (T. van Oosten);;;;;1;1
Artihove;;;2;;;2
Askey Dataloggers;;;;;1;1
Autotelex;1;;;;;1
AViste;;;1;;;1
Avontuurfabriek;;;;1;;1
AZ NV;;;;;1;1
B&B Haarlem;;;1;;;1
B+B Vakmedianet;5;;;;;5
Bakker Ammerlaan;;;1;;;1
Bakkerij Bart;;;1;;;1
Bambu Centrum Voor Gewaarzijn;;;;1;;1
Bartimeus (incl. Stichting Bartiméus Accessibility);;;;1;;1
Beekhuis,M;1;;;;1;1
Beeldparadijs.nl;;;;;1;1
Beeldzaak fotografie;;;;;1;1
Belasting Paradijs;;;1;;;1
Berends Groenten - Fruit;;;1;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;1;;1
Bert van Dijk Bij Voorkeur;;;;1;;1
BestThings;;;;;1;1
Betapress;1;;1;;;1
Better Future Development;;;;1;;1
Bij 'T Boerderijke;;;1;;;1
BIM Media;1;;;;;1
Binoq Atana;;;;;1;1
Bisnez Management;;;;1;;1
Bison Bowling;;;;1;;1
Bit Press;;;;1;;1
Bizzy4u;;;;;1;1
BJU Boom Juridische Uitgevers (incl. Sun);5;;;1;;5
Bloemsierkunst De Klerk;;;1;;;1
Blue Billywig;;;;;2;2
BNO Beroepsorganisatie Nederlandse Ontwerpers;1;;;;;1
Bobbe Abonnementen;3;;;;;3
Boeketcadeau.nl;;;1;;;1
Boekhandel De Kloof;1;;;;;1
Boekhandel van der Velde;;;;1;;1
Bol.Com;1;;;;;1
Bonheur Horeca Groep;;;;1;;1
Bonne Femme Bistro;;;;1;;1
Boost Business innovation;;;;1;;1
Bosma Direct Marketing;;;;1;;1
BRAGT HUBO VAN;;;1;;;1
BrainStudio (incl. BrainWare);;;;2;;2
Brazz Jazz;;;;;1;1
Breur Beveiligingen, Ijzerhandel;;;;;1;1
Britstra Foto Video;;;;;1;1
Broodjesexpress;;;;1;;1
Budgetgift.nl;;;;;1;1
Buro van Oranje;;;;1;;1
BYC Productions;;;;;1;1
CAD Express;1;;;;;1
CameraTools.nl;;;1;;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;1;;;1;;1
CAPRA Centraal Adviesbureau voor Publiek Recht en Administratie;;;;1;;1
Card Vision;;;1;;;1
Carlton Hotel;;;;3;;3
Castellum B.V.;;;;2;;2
CB Centraal Boekhuis (incl. Facturatie);1;;;;;1
CCM Customer Contact Magazine;;;;;1;1
CENTRUM CARLA SCHANZLEH;;;;1;;1
Charlie filmproducties;;;;;1;1
Christus Triumfatorkerk;;;;1;;1
Cialona Expo;;;;;3;3
CLEAVER, M.;;;;;1;1
CMI Career Management Institute;1;;;;;1
CNB B.A.- Coöperatieve Nederlandse Bloembollencentrale;1;;;;;1
Color Utrecht;;;1;;;1
Colourful People;;;;2;;2
Common Eye;;;;1;;1
Compacon & Partners;;;;;1;1
Compact;1;;;;;1
Concorde Group;;2;;;1;2
Conferentiecentrum De Spreeuwel;;;;1;;1
Conflictbemiddeling Nederland;;;;1;;1
Congrescentrum Rolduc;;;;1;;1
Consumentenbond;1;;;;;1
Cormet Schoolcatering;;;;;1;1
Crown Business Center;;;;1;;1
Cultuur Ondernemen;;;;;1;1
Dace, Dutch Association of Cost Engineers Icec Member.;;;1;;;1
DCFA;;;;1;;1
De Argumentenfabriek;;;;1;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;2;;2
De Ballonnenwinkel;;;;1;;1
De Belgische Keizer Café-Restaurant;;;;1;;1
De buitenjan Klimrijk Brabant;;;;1;;1
De Doelen Hotel-Grand Café;;;;1;;1
De Echoput Restaurant;;;;1;;1
De Groot Drukkerij (incl. Het Kontakt Edities, Premere);;;;;2;2
De Hamermolen;;;;1;;1
De Helftheuvel;;;;;1;1
de JONG, BEKEDAM;;;;;1;1
De Jonge Vakkleding;;;;;1;1
De Koperen Tuin Grand Cafe Res;;;1;;;1
De Kruyter Banket;;;1;;;1
De Nederlandse Museumvereniging;;;;;1;1
De Nieuwe Stad;;;;2;;2
De Ontmoeting Stadscafe;;;;1;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);1;;1;1;;1
De Poort Conferentieoord;;;;1;;1
De Prom Utrecht (incl. Vredenburg);;;;1;;1
De Rooi Pannen Stichting Katholiek Ondernemersonderwijs Te Tilburg;;;;1;1;1
De Ruwenberg Opleidingscentrum;;;;1;;1
De Ruyter Training en Consultancy;;;;1;;1
De Stipe Watersport & Vakantiecentrum;;;;1;;1
De Vrouwenpoort;;;1;;;1
De Zwaantjes;;;;1;;1
Decora Bloemsierkunst;;;1;;;1
Delphi Sleutelbeheersystemen;;;1;;;1
Delta International;;;;1;;1
Den Hollander Uitgeverij;3;;;;;3
Den Otter Dierenkliniek;1;;;;;1
Denk Producties;;;;2;;2
DER AA-KERK STICHTING;;;;1;;1
Deurwaarders Collectief Nederland;;;;1;;1
DG Communicatie;1;;;;;1
Dick Allewijn, mediator-trainer;;;;1;;1
Diensten Stichting Mediation;1;;;1;;1
DIERENPENSION DE LINDENHOEVE;1;;;;;1
Digisterker (Digitale Overheid);;;;1;;1
Digital Action;;;;1;;1
Dijkgraaf Rijsdorp;1;;;;;1
Divertido kookstudio;;;;1;;1
DOEN Advies & Inrichting;;;;1;;1
Dog Sport Holland;;;1;;;1
Domuseditoria;1;;;;;1
Dordtse Bazar Verhuur;;;;;1;1
Drakenburg Conferentiecentrum;;;;1;;1
Drentea Kantoormeubelen;;;1;;;1
Dutch Casting Agency BV;;;;;1;1
Dutch Water Dreams / Webeach;;;;2;;2
Duvoor Media;;;;;1;1
Ecabo Services Stichting;;;;1;;1
Ed Hage;;;;;1;1
Eden Hotels;;;;1;;1
EDG Media (Educatieve Distributie Groep);;;;;3;3
Edwin Snulders Catering;;;;;1;1
Eetcafé 't Trefpunt II;;;;1;;1
Eindhoven Airport;;;;2;;2
Eisma Group Media (incl. Bouwmedia, Businessmedia, Trademedia, Industrialmedia);1;;;;;1
Elbert Fiscaal;;;;1;;1
Engel Graphics;;;;;1;1
Enigma Consulting;1;;;;;1
Entopic;;;;1;;1
Equrion Services;1;;;;;1
Erfgoedhuis Zuid-Holland;;;;;1;1
Eric Fecken Fotografie;;;;;1;1
Erik Hartman Communicatie;;;;1;;1
ES PETER VAN;;;;;1;1
EstateTip Education;;;;1;;1
ESTOURGIE F.;;;;;1;1
Euroforum;1;;;1;;1
Eurotax Glass's International AG;1;;;;;1
Eurotext Vertaalbureau;;1;;;;1
Eventengineers;;;;1;;1
Eventpoint;;;;1;;1
Evo Ondernemersorganisatie;;;;1;;1
Exodus Events;;;;1;;1
Expert in Actie;;;;1;;1
Expo Centrum Fec Leeuwarden;;;;;1;1
Expo Display Service;;;;1;;1
EZCompany;4;;;;;4
F&L Publishing Group;1;;;;;1
Fa. J.C.H. Timmermans;;;1;;;1
Factor Nederland;;;;;1;1
Factor Vijf (AukjeNauta.eu);;;;2;;2
Falke & Verbaan;1;;;;;1
Fatboy The Original BV;;;;1;;1
FAZANTENBOS BV;;;2;;;2
Feest & Culinair;;;;1;;1
Fietspoint;;;1;;;1
Financial Times;2;;;;;2
Financieele Dagblad;6;;;;;6
Firecom Emergency Services;1;;;;;1
First Maastricht;;;;1;;1
Fiscaal Economische Instituut;;;;1;;1
Fiscaal Leven H. van Toledo;1;;;;;1
Fiscaal Upto Date;4;;;;;4
Flamingo's Bowling Oostdam;;;;1;;1
Floone Media;;;;1;;1
Food Enjoyce;;;;2;;2
Foto Konijnenberg;;;;;1;1
Foto Persbureau Heerenveen FPH;;;;;1;1
Foto Schievink;;;;;1;1
Franchise & Formuleb. Onderneem't;;;;1;;1
Frankwatching;;;;1;;1
Frogjump;;;;;1;1
FSDC Fiscaal Studie en Documentatiecentrum;2;;;1;;2
Gemeente Deventer;1;;;;;1
GENERAL PROMOTIONS;;;;;1;1
Gert Jan Bok;;;;;1;1
Gert van der Vijver Management;;;;1;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;;1;;;1
GEWICHTEN EN MATENVERZAMELAARS VER.;1;;;;;1
GGN (incl. van Mastrigt & Partners, Tijhuis & Partners);1;;;1;;1
GoodDay Hospitality Services BV;;;;1;;1
Grafisch Bedrijf Tuijtel;1;;;2;;2
Greenz;;;1;;;1
Gregor Servais Fotografie;;;;;1;1
Groenhart;;;;1;;1
Groningen Congresbureau;;;;;1;1
Guilders Holding;;;;1;;1
Haags Historisch Museum inz. Gevangenpoort;;;1;;;1
Hannah Jansen Text Agency;;;;;1;1
Hans de Bruijn Training & Advies;;;;1;;1
Hans Vermaak Organisatie Advies;;;;1;;1
Harolds Grafik;;;;;1;1
Hartelijk gefaciliteerd (Annet Noordijk);1;;;;1;1
Havenbedrijf Rotterdam;;;1;;;1
Havenkoerier;1;;;;;1
Heartmax Benelux;;;;1;;1
Heerlickheijd van Ermelo;;;;1;;1
Helicon Opleidingen;;;;1;;1
Heman Verhuurservice;;;1;;;1
Hemels van der Hart;;;;;2;2
Hermes Brasserie;;;1;;;1
Het Forum BV;;;;1;;1
Het Fotomoment;;;;;1;1
Het Hart van Weesp Hotel-Restaurant;;;1;;;1
Het Ruiterhuys;;;;1;;1
Het Strandhuis;;;;1;;1
HMS Host Marriott Services Horeca Exploitatie Maatschappij Schiphol;;;;1;;1
HOED W. DEN;;;;;1;1
HOEZO! Projectmanagement en Congresorganisatie;;;;1;;1
HofstadEvents.nl;1;;;;;1
Hofstede De Nieuwe Donck;1;;;;;1
Holland Branding Group;1;;;;;1
Holland Brochure Services BV;;;;;1;1
Holland Media Combinatie (HDC Media);1;;;;;1
Holland SouvenirShop;;;1;;;1
Hollandse Hoogte;;;;;1;1
Hoornse Ondernemers Compagnie;1;;;;;1
Hostmanship Group Nederland;;;1;;;1
HS Events;;;;1;;1
Hubo's drankboetiek;;;1;;;1
Hugo Fermont;;;;;1;1
Humphrey's Restaurant;;;1;;;1
IBFD International Bureau of Fiscal Documentation;2;;;;;2
IBFD Publications;1;;;;;1
ICOM Nederland;;;;;1;1
IDG Communications;1;;;;;1
Igo Post Internationale Geschenken Organisatie;;;;1;;1
IIA Instituut van Internal Auditors;1;;;1;;1
IIR Institute For International Research;;;;2;;2
IM Insite Media;;;;;1;1
Image-Finder;;;;;1;1
Improvisaties Kookstudio;;;;;1;1
In de Verkleedkist;;;;;1;1
Infotrading;2;;;;;2
Innosell;;;;;1;1
Interactiva;;;;1;;1
Intern. Ver. voor Neerlandistiek;1;;;;;1
Intop Zorgsector, Madiationtoets;;;;1;;1
Involon;2;;;1;;2
Ipma Nl;;;;1;;1
Iris van Gelder;;;;;2;2
ISRAEL MARCEL FOTOGRAFIE;;;;;1;1
I-Tour 360 B.v.;;;;;2;2
ITSMF It Service Management Forum;1;;;;;1
J&K Catering;;;;1;;1
J.L. de Jong Touringcarbedrijf;;;1;;;1
J.N.A. Bootsma;;;;1;;1
Jam Visueel Denken;;;;1;;1
Ja-Maar;;;;2;;2
Jan Fens;;;;1;;1
Jan van Breda;;;;;1;1
Jansen Fiscale Advisering & Procesv;;;;;1;1
Jansen-Wijsmuller & Beuns;;;;;1;1
JAZET JEROEN;;;;;1;1
Jeroen Woltjer;;;;;1;1
Jessy Geluk;;;;;1;1
Jochem's Theaters;;;;2;;2
Joh. Enschedé Stamps;1;;;;;1
Johanna's Hof;;;;1;;1
John Korver  Cartoonist & Sneltekenaar;;;1;1;;1
Joopvos.Com;;;;1;;1
Jos van Hezewijk;1;;;;;1
JvK Jeroen van Kooten Fotografie;;;;;1;1
Kamera Express Nl;;;;;1;1
Kasteel De Hooge Vuursche;2;;;;;2
Kasteel Vaeshartelt Conf en Hotel;;;;1;;1
Kasteelfeesten.nl;;;;1;;1
Keesing Reference Systems;1;;;;;1
Keijsers Lundiform;;;;;1;1
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;1;;;1;;1
kerkemeijer;;;;;1;1
Keynote;;;;1;;1
Kim Spinder;;;;1;;1
Klarna;1;;;;;1
Klein Foto;;;;;1;1
Kloezeman Plantencentrum;;;1;;;1
Koelewijn Media.nl;;;;1;;1
Kolpinghuis Nijmegen;;;1;;;1
Koninklijke Bdu Uitgeverij;1;;;;;1
Koninklijke Fabr. Posthumus (PS Groep);1;;;;;1
Koninklijke van der Most;1;;;;;1
Kotteman;;;;1;;1
KPN (incl. Getronics, PTT Telecom);;;2;;;2
Kranendonk Experience Company BV;;;;;1;1
Krijnverboom;;;;;1;1
Kultuur Koerier;;;;;1;1
KWF Kankerbestrijding;;;1;;;1
L. Wielders Museumeducatie;;;;;1;1
La Cocotte;;;1;;;1
La Vie Jolie;;;;1;;1
Laarhoven Design;;;1;;;1
Lagerweij & Partners;;;;1;;1
Landelijke Vereniging van Vertrouwenspersonen;1;;;;;1
Landhuis de Oliphant;;;;1;;1
Lanzfeld;;;;;1;1
Lazuli Cursuscentrum & Zaalverhuur;1;;;1;;1
Le Strasbourg;;;;2;;2
LE:EN Restaurant;;;;1;;1
Lefconsult;1;;;;;1
Lefeffect;;;;1;;1
Legal Intelligence/Quay Consult;2;;;;;2
Len Munnik Illustrator;;;;;1;1
Leo Ringelberg Touringcars;;;1;;;1
Lettow;;;;;1;1
Leugenacademie;;;;1;;1
Lexis Nexis;7;;;;;7
Lexlumen;;;;1;;1
Lighting Controls BV;;;;;1;1
LiL. NL;;;;1;;1
Lobbes Speelgoed;;;;;1;1
Locatie Oostergo;;;;1;;1
Logeion Vereniging Voor Communicatie;1;;;;;1
LOGISTIEK UITGEVERIJ VOF;1;;;;;1
Lotis (vh Van Lammeren & van Rijsewijk);;;;1;;1
LTO Land- en Tuinbouworganisatie (incl. Groeiservice, LLTB, ZLTO, LTO Noord, LTO Vastgoed);1;;;;;1
Luuk van der Lee Fotografie;;;;;1;1
M. de Vin Grafische omgeving;;;;;1;1
M. van der Velde;;;;1;;1
M. Wolterink Cartoonist;;;;1;;1
Madurodam;;;;1;;1
Maesstede Catering;;;1;;1;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);1;;;1;;1
Maklu;1;;;;1;1
Management Events;;;;1;;1
Mansveld;;;;;1;1
Marcel van Hoorn Fotografie;;;;;1;1
Marcus Evans Linguarama;;;;1;;1
Mark Academy voor Leefstijl BV;;;;1;;1
Martijn de Kleuver Wijnen;;;1;;;1
Maxilia (incl. Greengiving.nl);;;1;;;1
Maximum Alliances;;;;;2;2
Maxlead Services;;;;;2;2
Media College;;;;;1;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;;;;1;1
MEEUWENVEEN ACCOMODATIES;;;;1;;1
Meijers, Sabine Harpiste;;;;;1;1
Memory Events, Publications;;;;1;;1
Men At Work;;;;1;;1
MENDEL EN KOETSIER;1;;1;;;1
Mennorode;;;;1;;1
MERKTUIG BV;;;;;1;1
Merwezicht Restaurant;;;1;;;1
Meubelatelier Koningstraat 5;;;;1;;1
Missing Link;;;;1;;1
Mitland Hotel;;;;1;;1
MMM Interactieve Communicatie;;;;;1;1
MMS- Magneetservice;;;;;1;1
MOA Markt Onderzoek Associatie;1;;;;;1
Mondial Stamps;;;;;1;1
More;;;;;1;1
Moss;;;;1;;1
MP Werving;;;;;1;1
MT Abonnementenland;1;;;;1;1
Multi Vlaai;;;1;;;1
Multicopy (incl. Andre Cossee);;;1;;;1
Multigift Relatiegeschenken;;;1;;;1
Museum Rotterdam;;;;;1;1
MUZIEKVERENIGINGEN;1;;;;;1
MVW Holding;;;;;1;1
N.F.P. Photography;;;;;1;1
Nationale Media;;;;;1;1
Nawijn & Polak;1;;1;;;1
NDC Mediagroep;1;;1;;;1
Neuland;;;;1;;1
New Team;;;;1;;1
NGI Ned Genootschap voor Informatica - Platform voor ICT-Professionals;1;;;;;1
NHA Nationale Handels Academie;;;;1;;1
NHL Noordelijke Hogeschool Leeuwarden;;;;;1;1
NIBHV Nederlands instituut voor bedrijfshulpverlening;1;;;;;1
Nibud Nationaal Instituut voor Budgetvoorlichting ;1;;;;;1
Nieuw Domein Uitgever;;;;1;;1
Nieuwe Nobelaer;;;;1;;1
NIMA - Nederlands Instituut voor Marketing;;;1;;;1
NIP Nederlands Instituut van Psychologen;;;;1;;1
NNVO Stichting Nationale Nautische;;;2;;;2
NOB Ned. orde van Belastingadviseurs;;;;;2;2
NOREA Nederlandse Orde van Register EDP-Auditors;1;;;1;;1
NT Publishers;1;;;;;1
Nul10;;;;1;;1
NVB Federatie Nederlandse Verenigingsbureau;1;;;;;1
NVO2 Nederlandse Vereniging van HRD-Professionals in Ontwikkelen en Opleiden;1;;;;;1
OGH Oracle Gebruikersclub Holland;1;;;;;1
Olga Gorissen Fotografie & Design;;;;;1;1
Olympia Uitzendbureau;;;;;1;1
OOA Orde van Organisatiekundigen en Adviseurs;1;;;;;1
Oolderhof Restaurant;;;;1;;1
Opp Nederland;;;;1;;1
Orcavoice;1;;;;;1
Osage Communicatie en Ontwerp;;;;;6;6
Oscar Seijkens;;;;;2;2
Oubelkas Productions;;;;1;;1
Oudaen Stadskasteel;;;;1;;1
Overtaal;;1;;;;1
Paardekooper Verpakkingen;;;;;1;1
Pacelle van Goethem;;;;1;;1
Pan Café Restaurant;;;1;;;1
PAO PostAcademisch Onderwijs;;;;1;;1
Paris Uitgeverij;4;;;;;4
Park Plaza;;;;1;;1
Party Centrum Het Witte Paard;;;;1;;1
