;Departement;Sector;Organisatie;Plaats;Functienaam;Motivatie;
1;BZK;Gemeenten;Gemeente Alkmaar (NH);ALKMAAR;Sectorhoofd B;Basis voor de ontslagvergoeding is een vaststellingsovereenkomst ;
2;BZK;Gemeenten;Gemeente Groningen (GR);GRONINGEN;directeur;Vergoeding reorganisatie ontslag. ;
3;BZK;Gemeenten;Gemeente Midden-Delfland;Schipluiden;Beleidsadviseur;Vertrekregeling. ;
4;BZK;Gemeenten;Gemeente Rotterdam (ZH);ROTTERDAM;Plv. Ombudsman;ontslagvergoeding ivm reorganisatie ;
5;BZK;Gemeenten;Gemeente Zoetermeer (ZH);ZOETERMEER;Directeur;Wegens beëindigen dienstverband is de aanspraak op wachtgeld afgekocht ;
6;BZK;Gemeenten;Veiligheidsregio Zeeland;MIDDELBURG;Regionaal Commandant;Ontslagvergoeding ;
7;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;portefeuillemanager bij BZK;Schadeloosstelling i.v.m. ontslag o.g.v. artikel 99 ARAR. Van de schadeloosstelling € 183 228,00 is € 133 228,00 reeds opgenomen in het belastbaar loon.Ontslag per 1-3-2011;
8;BZK;Rijk (incl. Defensie en Rechterlijke macht);Nationale ombudsman;DEN HAAG;medewerker;schadeloosstelling voor pensioenschade en voor verschil tussen salaris en FPU uitkering tot aan pensioengerechtigde leeftijd ;
9;BZK;ZBO's;Politieacademie;APELDOORN;Adviseur;"Deze medewerker was herplaatsingskandidaat als gevolg van de reorganisatie van 2009. Aangezien
na 2 jaar geen passende functie is gevonden, is in overleg een ontslagvergoeding verstrekt bij de
uitdiensttreding per ultimo 2011. ";
10;EZ;Overig;NV NOM, Investerings- en Ontwikkelingsmaatschappij voor Noord-Nederland;GRONINGEN;Manager Informatie-Comminicatie;De overschrijding wordt veroorzaakt door de ontslagvergoeding. Deze is op basis van een neutrale kantonrechtersformule bepaald en gezamenlijk overeengekomen ;
11;EZ;Overig;Stichting Energieonderzoek Centrum Nederland;PETTEN;Adviseur;Sociaal Plan ;
12;EZ;ZBO's;Kamer van Koophandel en Fabrieken voor Noordwest-Holland;ALKMAAR;Medewerker Juridische Zaken;De bezoldiging van de medewerker Juridische Zaken over 2011 bedroeg à 266681 en overschreed daarmee de norm van het gemiddelde belastbaar loon Ministers over 2011 als gevolg van een éénmalige afkoopregeling einde dienstverband. ;
13;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Adviseur;Ontslag met uitkering op grond van het Sociaal Flankerend Beleid sector Rijk en belaste uitbetaling van zijn levenslooptegoedPensioenbijdrage 2010 is incl. een eigen storting van 21 744 t.b.v. levensloop;
14;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Behandelfunctionaris;Ontslag met uitkering op grond van het Sociaal Flankerend Beleid sector Rijk ;
15;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Clustermanager;Ontslag met uitkering op grond van het Sociaal Flankerend Beleid sector Rijk ;
16;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;MT-lid;Het belastbaar loon in 2011 is incl. uitkering SFB, uitbetaling niet genoten verlof, 40-jarig ambtsjubileum en functioneringsgratificatie. ;
17;FIN;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Financiën;DEN HAAG;Plaatsvervangend directeur;Ontslag met uitkering op grond van het Sociaal Flankerend Beleid sector Rijk ;
18;LNV;Beroeps- en volwasseneneducatie;Kennis- en communicatiecentrum voedsel en leefomgeving -Aequor;Ede;manager;In 2011 recht verkregen op ontslagvergoeding obv beëindigingsovereenkomst, uitgekeerd in 2012 ;
19;OCW;Beroeps- en volwasseneneducatie;ROC RIVOR;TIEL;Voorzitter College van Bestuur;Vergoeding i.v.m. beeindiging dienstverband ;
20;OCW;Beroeps- en volwasseneneducatie;ROC Zaanstreek-Waterland;ZAANDAM;Voorzitter College van Bestuur;Met de op 15 november afgetreden voorzitter CvB, feitelijk uit dienst per 1-11-2012,  is door de Raad van Toezicht een vaststellingsovereenkomst afgesloten. De financiële gevolgen van deze overeenkomst zijn in hun geheel ten laste van de jaarrekening 2011 gebracht. In die zin is er strikt genomen geen sprake van een ontslagvergoeding. ;
21;OCW;Hoger Beroepsonderwijs;Avans Hogeschool;Tilburg;Directeur;Ontslagvergoeding ;
22;OCW;Hoger Beroepsonderwijs;Haagse Hogeschool;Den Haag;ICT-architect;betreft ontslaguitkering ;
23;OCW;Hoger Beroepsonderwijs;Hogeschool der Kunsten Den Haag;Den Haag;Docent;Uitkeringen ivm beeindiging dienstverband worden volledig in het jaar van toekenning verantwoord. Door de HdK DH over de gehele periode tot aan pensionering te betalen wachtgeldkosten(WW-BWRHBO) ad 173925 zou meer bedragen dan de ontslagvergoeding. ;
