Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financi�n;Eindtotaal
100% NL Magazine B.V.;1;;;;;;;1
200 OK;;;;;;1;;1
A.J. van der Linde B.V.;1;;;;;;;1
A.M.C. van Gorp;;;1;;;;;1
Aaaaha! The Actor Factory B.V.;1;;;;;;;1
Agile Works;;;1;;;;;1
Aknet;;;1;;;;;1
Albron Nederland B.V.;1;;;;;;;1
Anne Frank Stichting;1;;;;;;;1
Annesas Appel;1;;;;;;;1
ANP Pers Support Benelux B.V.;;;;1;;;;1
Arbo Unie B.V.;1;;;;;;;1
Ardis Organisatieontwikkeling B.V.;;;;1;;;;1
Arenda Oomen Fotografie;;;;1;;;;1
Augeo academy B.V.;;;1;;;;;1
Balci Writing;;;1;;;;;1
BarendseHaase Netwerk Notarissen;;;;;1;;;1
Bart Drenth Advies B.V.;;;1;;;;;1
Bart Hoogveld beeldredactie & fotografie;;;;1;;;;1
Bart Versteeg fotograaf;;;1;;;;;1
Bento Presentaties;;;;1;;;;1
BIOMED CENTRAL LIMITED;;;;1;;;;1
Bizzomate B.V.;1;;;;;;;1
BKFF bas kijzers fotografie en film;;;;1;;;;1
Blauw Research B.V.;;;;;;1;;1
Branchevereniging BTN;;;;;1;;;1
BroekmansConsult;1;;;;;;;1
Bureau G.I.T.;1;;;;;;;1
Bureau Mozaiek;1;;;;;;;1
Bureautaal B.V.;;;;1;;;;1
Business Nieuws Holding B.V.;;;;1;;;;1
C.G.M. Kallenberg;;;1;;;;;1
Capgemini Nederland B.V.;;;;;;1;;1
CasaGrande B.V.;;;;;;1;;1
CIIO B.V.;;;1;;;;;1
Cinnamon Interactive B.V.;;;;1;;;;1
CM Online B.V.;;;;;;1;;1
Coöperatie De Betekenaar UA;;;;1;;;;1
Communisenso, Train. en Coach. in presentatie;1;;;;;;;1
Cre-Aid B.V.;;;;1;;;;1
Dannenberg;1;;;;;;;1
DAS Rechtsbijstand;;;;;1;;;1
De Holland Winkel;1;;;;;;;1
De Landgoederij B.V.;1;;;;;;;1
De Stickerkoning B.V.;;;;1;;;;1
De Textexpert;;;;1;;;;1
De Veranderaar;1;;;;;;;1
Deloitte Risk Advisory B.V.;;;;;;1;;1
Denkschets.nl;;;;1;;;;1
Elite Group;;;1;;;;;1
Equa;;;;;;1;;1
Eric Dietz BNO;1;;;;;;;1
F.R. van Rosendaal;;;1;;;;;1
Ferro Explore B.V.;;;;1;;;;1
Fixvision;;;;1;;;;1
Flip Franssen Fotografie;;;;1;;;;1
GERARD NASS;1;;;;;;;1
Glasblazerij De Oude Horn B.V.;1;;;;;;;1
GW Cross Media B.V.;;;;1;;;;1
Héron Petit Restaurant;1;;;;;;;1
Haai B.V.;1;;;;;1;;1
Harman Korte Bestuursdiensten;;;;;;;1;1
Hiemstra & De Vries B.V.;;;1;;;;;1
Hilhorst;1;;;;;;;1
Hollandse Hoogte B.V.;;;;1;;;;1
Hooftman Consultancy;;;1;;;;;1
Hopps;;;;1;;;;1
House of Lords B.V.;1;;;;;;;1
HSP Reklame en Communicatie B.V.;;;;1;;;;1
Huitsing Management & Advies;1;;;;;;;1
HW Communication;1;;;;;;;1
IM ICT Consultancy;;;;;;1;;1
Imming Logistics Fine Art B.V.;1;;;;;;;1
In Musica Veritas B.V.;1;;;;;;;1
In2Content B.V.;;;;1;;;;1
Informatiebeveiliging Nederland B.V.;;;;;;1;;1
Inhuren Uitzendbureau;;;1;;;;;1
International Society for Third-Sector Research;;;1;;;;;1
Jaarbeurs B.V.;1;;;;;;;1
Jeroen Poortvliet Fotografie;1;;;;;;;1
Jo Bos & Co;1;;;;;;;1
Jongvws, Verenig. voor Jonge VWS-Medewerkers;1;;;;;;;1
Joost Hoebink;1;;;;;;;1
Joris Fiselier Infographics;;;;1;;;;1
K. Rogaar;;;1;;;;;1
Karel van den Bosch - Federaal Planbureau;;;1;;;;;1
Kees Kaptein Teksten;;;;1;;;;1
Kennedy Van der Laan;1;;;;;;;1
Kerkhoven, huisarts;1;;;;;;;1
KNMP;;;;;;1;;1
Kuseema B.V.;1;;;;;;;1
Lapidair Teksten;;;;1;;;;1
Laposta B.V.;;;;1;;1;;1
Laurie Ickenroth Strategisch Adviseur;1;;;;;;;1
Leene Communicatie;1;;;;;;;1
LEF GROEP;;;;1;;;;1
Logistiek Optima Forma (L.O.F.) B.V.;1;;;;;;;1
Marc van Bijsterveldt, tekst en eindredactie;;;1;;;;;1
Margo Weerts - Verbinden & Vernieuwen;1;;;;;;;1
Marketresponse Nederland B.V.;;;;1;;;;1
Marlous van der Zalm;1;;;;;;;1
Martijn Beekman Fotografie;1;;;1;;;;1
Mediavrouw;;;;1;;;;1
Memphis Interim & Consultancy;1;;;;;;;1
Merhawi Fessehazion onderzoek;;;1;;;;;1
Metaregistrar B.V.;;;;;;1;;1
Missing Chapter Foundation;;;1;;;;;1
Movation B.V.;;;1;;;;;1
MSL inspiratie voor professionals;1;;;;;;;1
Munckhof Regie;1;;;;;;;1
Nationale Jeugdraad (NJR);;;1;;;;;1
Navita Cultuurhistorisch onderzoek;1;;;;;;;1
Nederlands Debat Instituut Holding B.V.;1;;;;;;;1
Nederlandsch Octrooibureau;1;;;;;;;1
Nederlandse Diabetes Federatie;1;;;;;;;1
Neo & Co;;;;1;;;;1
NetSolid;;;;1;;;;1
Nicolaï Tekstwerk;;;;1;;;;1
Noto Services B.V.;;;1;;;;;1
Nuffic;;;;;;1;;1
Omnicom Public Relations Group B.V.;;;;1;;;;1
Ovamus Film & Muziek;;;;1;;;;1
Paolo, copywriter, journalist, fotograaf;;;;;;1;;1
Pardon Consult;;;;;;;1;1
Per Saldo;;;1;;;;;1
Phil Nijhuis Fotografie;;;;1;;;;1
Praktijk Psychiatrie S. Bota-van Wijngaarden;;;;;1;;;1
ProHuman B.V.;;;;;;1;;1
Psychologenpraktijk Velthuis;;;1;;;;;1
Rene Verleg Fotografie;1;;;1;;;;1
Riwi ColloType;1;;;;;;;1
RWR Advies;1;;;;;;;1
Sameiro B.V.;;;1;;;;;1
Santeon;1;;1;;;;;1
Scheven. Voetbalvereniging SVV Scheveningen;1;;;;;;;1
Sint Antonius Ziekenhuis Locatie Nieuwegein;;;1;;;;;1
Sira Consulting B.V.;1;;;;;;;1
Sogeti Nederland B.V.;;;;;;1;;1
Soundfocus B.V.;;;;1;;;;1
Start People B.V.;;;1;;;;;1
Stavoor B.V.;;;;;;1;;1
Stekelenburg Adviesbureau Wonen, Welzijn/Zorg;1;;;;;;;1
Stg.beh.drd. Bouwman Roozemond De Haan Adv.;;;;;1;;;1
Stichting Beheer Synagoge;1;;;;;;;1
Stichting Grote Kerk Naarden;1;;;;;;;1
Stichting I Logos;1;;;;;;;1
Stichting Ikone;1;;;;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;;;;;;1
Stichting JadeMO;1;;;;;;;1
Stichting LIBER;;;1;;;;;1
Stichting Maastricht School of Management;;;1;;;;;1
Stichting Nederland Kennisland;;;1;;;;;1
Stichting Openbare Bibliotheek Almere;1;;;;;;;1
Stichting Pensioenfonds ABP;1;;;;;;;1
Stichting Stimulansz;;;1;;;;;1
Stichting The Model's Health Pledge;1;;;;;;;1
Stichting Vakinstelling SVO;1;;;;;;;1
Stichting Vilans;;;1;;;;;1
Stichting Vriendenkring van Oud-Natzweilers;1;;;;;;;1
Studio 38C;;;;1;;;;1
T.P.L.M. Janssen;;;;1;;;;1
Tekstburo Gort B.V.;;;;1;;;;1
The Oddshop B.V.;1;;;;;;;1
The Twins B.V.;1;;;;;;;1
Think.Design.Make. B.V.;;;;;;1;;1
Topgeschenken Nederland B.V.;1;;;;;;;1
Two Kings B.V.;1;;;;;;;1
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;;;1;;;;;1
Valerie Kuypers Fotografie;;;;1;;;;1
Van de Vijfeijke Management B.V.;;;1;;;;;1
Van Hooff, Projects;1;;;;;;;1
Van Hulzen Communicatie;1;;;;;;;1
Van Neer Consultancy;1;;;;;;;1
Vereenigde Octrooibureaux N.V.;1;;;;;;;1
Vereniging LFB;1;;;;;;;1
Vorm Vijf Ontwerpteam B.V.;1;;;;;;;1
WareKennis;;;1;;;;;1
Webmanagement.nl;;;;;;1;;1
Westergasterras B.V.;1;;;;;;;1
WikoMed;;;;;1;;;1
www.richardengelfriet.nl;1;;;;;;;1
Xerox (Nederland) B.V.;;;;1;;;;1
Yvonne Zonderop Journalistieke Producties;;;1;;;;;1
@inet Technology Consultancy B.V.;2;;;;;;;2
Aigency;;;;;;2;;2
ANBO;2;;;;;;;2
Andersson Elffers Felix Beheer B.V.;;;;;;2;;2
Ankerpunt.com B.V.;2;;;;;;;2
Arteria Consulting B.V.;;;2;;;;;2
Assistis;2;;2;;;;;2
AVB Language Group B.V.;2;;;1;;;;2
Battle of Concepts B.V.;2;;;;;;;2
Beer advocaten N.V.;;;2;;;;;2
Bex*communicatie;;;;2;;;;2
BMC Advies B.V.;;2;;;;;;2
Boer & Croon Corporate Finance B.V.;2;;;;;;;2
Bureau BlauwGeel B.V.;;;2;;;1;;2
Care Together;;;;;;2;;2
Cloud9 Software B.V.;;;;;;2;;2
Com-DT;;;;2;;;;2
Corvers Procurement Services B.V.;;;2;;;;;2
COT Instituut voor Veiligheids- en Crisismanagement B.V.;;;2;;;;;2
CQT Zorg & Gezondheid B.V.;1;;2;;;;;2
De Jonge Specialist;2;;;;;;;2
Deloitte Accountancy & Advies B.V.;2;;;;;;;2
Dwarslaesie Organisatie Nederland;2;;;;;;;2
EN4S B.V.;;;;;;2;;2
everywhereIM;;;2;;;;;2
GMI Groep B.V.;2;;;;;;;2
GW Agency;2;;;;;;;2
Het Notuleercentrum B.V.;;;2;;;;;2
IHRA Permanent Office;2;;;;;;;2
Ingrid Brons Tekst en Training;1;;;1;;;;2
Ingrid Geerts Denken en Doen;2;;;;;;;2
Instituut Maatschappelijke Innovatie;;;;;;2;;2
Instituut voor Publieke Waarden B.V.;;;2;;;;;2
Intraval, Buro voor Onderzoek & Advies;2;;;;;;;2
Ivo Broekhuizen Communicatie;2;;;1;;;;2
JC Advies en Interim management;;;;;;2;;2
Jilles;;;;;2;;;2
Key Conference Support;2;;;;;;;2
krijn van beek;2;;;;;;;2
Land. Ver. BOinK, bel.ver. v. ouders in de ko;2;;;;;;;2
Land. Ver. van Vrijg. Psychol. & Psychother.;2;;;;;;;2
Le Strasbourg;2;;;;;;;2
Loekintofood;;;2;;;;;2
MAAN consultancy;;;2;;;;;2
Maatsch. Medisch Specialistisch Bedrijf Isala;;;2;;;;;2
Mannen met plannen;2;;;;;;;2
Mare Holland B.V.;;;;2;;;;2
Meeuw & Roos;2;;;;;;;2
Merk in Beeld;;;2;;;;;2
Mijksenaar B.V.;;;2;;;;;2
Montelbaan Internet & ICT B.V.;;;;;;2;;2
MVMZ (Maatschap voor Medezeggenschap);;2;;;;;;2
NATIONAL HEALTH INSURANCE FUND;2;;;;;;;2
Ned. Org. voor toegepast-n.w.s. onderzoek TNO;;;2;;;;;2
Nederlandse Stomavereniging;2;;;;;;;2
Nieuwsover.nl;;;2;;;;;2
Nysingh Advocaten-Notarissen N.V.;2;;;;1;;;2
Oasis Data & Document Management Netherlands;;;2;;;;;2
OGV Sportadvies;;;2;;;;;2
Optima Forma B.V.;;;2;;;;;2
Ordina Beheer & Outsourcing;2;;;;;;;2
Pallas health research and consultancy B.V.;;;2;;;;;2
PassQuat B.V.;;;;;;2;;2
Pharos. Stichting;;;2;;;;;2
Rebel Economics & Transactions B.V.;;;2;;;;;2
REIN Beleid en Bestuursadvisering;;;2;;;;;2
SamenMetEls B.V.;2;;;;;;;2
Schmit Jongbloed Advies;2;;;;;;;2
Seastarters B.V.;2;;;;;;;2
SeederDeBoer;;;;;;2;;2
Silent Partners;2;;;;;;;2
Sociaal Werk Nederland;2;;;;;;;2
Sprengers Advocaten;;;;;2;;;2
St. Nationaal Comite 4 en 5 Mei;2;;;;;;;2
Stg. Administratie Indonesische Pensioenen;2;;;;;;;2
Stg. Med.-Ethische Toetsing Onderz. PatiÃ«nte;;;2;;;;;2
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;2;;;;;2
Sticht. Beoordel. Ethiek Biomedisch Onderzoek;;;2;;;;;2
Sticht. HAS KennisTransfer en Bedr.opleid.;2;;;;;;;2
Stichting Farmaceutisch Erfgoed;;;2;;;;;2
Stichting Hanzehogeschool Groningen;;;2;;;;;2
Stichting Health Valley Netherlands;;;2;;;;;2
Stichting Humanitas;2;;;;;;;2
Stichting Kenniscentrum Sport Nederland;2;;;;;;;2
Stichting Mantelzorgelijk;2;;;;;;;2
Stichting Milieu Platform Zorgsector;;;2;;;;;2
Stichting Netwerk VAN-Vrouwenverdrag;2;;;;;;;2
Stichting Registratiegelden Derden;2;;;;;;;2
Stichting Vitavalley;2;;;;;;;2
TD HVO-Querido;2;;;;;;;2
The Perfect Fit BV;;;;;;2;;2
Things To Make And Do B.V.;2;;;;;;;2
Tinqwise B.V.;;;;;;2;;2
TNS Nipo B.V.;2;;;;;;;2
Top Class Investment B.V.;2;;;;;;;2
Twittertap;;;2;;;;;2
Twynstra Gudde;;;;;;2;;2
V.F.M. Adviesgroep B.V.;;;;;;;2;2
Verdonck, Klooster & Associates B.V.;;;;;;2;;2
Viadesk;;;;2;;;;2
Vintura B.V.;;;2;;;;;2
We Quit Mail;;;2;;;;;2
Weer een Los;;;2;;;;;2
WeHelpen Gericht B.V.;2;;;;;;;2
Wirtz, Film & Experience Agency B.V.;1;;1;1;;;;2
Ziekenhuis Rijnstate, Loc. Arnhem Hoofdvest.;2;;;;;;;2
ZorgVuldig Advies;2;;;;;;;2
Argo;2;;3;;;;;3
BI-zone Albert Cuyp en omgeving;2;;2;;;;;3
Blackbird Consultancy;;;;;;3;;3
Bokhorst Communicatie;;;;3;;;;3
Charles River Laboratories Den Bosch B.V.;;;3;;;;;3
Cinop Advies B.V.;3;;;;;;;3
De Galan Groep B.V.;;3;2;;;;;3
De Regelaar;3;;;;;;;3
Divosa, Land. veren. leid.gev. gemeent. dnst.;3;;;;;;;3
Effectory Publieksmonitor B.V.;3;1;;;;;;3
Equalis Strategy & Modeling B.V.;;;3;;;;;3
GEHANDICAPTENZORG NEDERLAND VERENIGING;3;;;;;;;3
Hogeschool Utrecht;3;;;;;;;3
in60seconds B.V.;;;;3;;;;3
Internedservices;;;;;;3;;3
J.B. Lorenz B.V.;;;3;;;;;3
Joh. Enschedé Facilities B.V.;3;;;;;;;3
Kon. Ned. Mij. tot Bevord. der Geneeskunst;3;;;;;;;3
Lost Lemon B.V.;;;3;;;;;3
Meetingselect B.V.;3;;;;;;;3
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;2;;3;;;;;3
Nuchter B.V.;3;;;;;;;3
Patiëntenfederatie Nederland;1;;3;;;;;3
Presenter B.V.;;;;3;;;;3
Schuttelaar & Partners, Maatsch. Comm. B.V.;2;;;;;2;;3
Stichting Zijweg;3;;;;;;;3
Voedingscentrum Nederland;3;;;;;;;3
Woonzorgcentr. Theresia/Thuiszrg Vughterstede;;;3;;;;;3
XpertiseZorg B.V.;3;;;;;;;3
Yacht;;;;;;3;;3
Zorgmarkten;;;3;;;;;3
APG Service Partners B.V.;4;;;;;;;4
Atos Nederland B.V.;4;;;;;;;4
BMC Implementatie;4;;;;;;;4
cathyvanbeek consultancy & coaching;;;4;;;;;4
Centre for Human Drug Research;4;;;;;;;4
Cimsolutions;;;;;;4;;4
DSP-Groep B.V.;4;;3;;;;;4
ECORYS Nederland B.V.;3;;4;;;;;4
Eiffel B.V.;;;;;4;;;4
Face Two B.V.;4;;;;;;;4
FMMU B.V.;4;;;;;;;4
Hoeksma, Homans & Menting Organisat.adv. B.V.;4;;;;;;;4
Hotel Contact B.V.;4;;;;;;;4
iQ-events B.V.;4;;;;;;;4
Kantar Netherlands B.V.;;;4;;;;;4
Labyrinth onderzoek & advies;;;4;;;;;4
