LANDCODE,GEMEENTE_CODE,INLEES_DATUM,GEMEENTE,JAAR,PERIODE,BELEIDSPROGRAMMA,ORGANISATIE, SUBSIDIE BESCHIKT ,BEKOSTIG UIT RIJKSINKOMSTEN,WETTELIJKE TAAK,GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Groen en Milieu,Stichting Platform Ander Vlaardingen, 4.000,00 ,Nee,Nee,"Activiteiten op het gebied van duurzaamheid, te weten Fair Trade / Maatschappelijk Verantwoord Ondernemen."
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Kunst en Cultuur,Stichting Lokale Omroep Vlaardingen, 45.202,00 ,Ja,Ja,"Het programma-aanbod bestaat voor ten minste 50% uit onderdelen die van informatieve, culturele en educatieve aard zijn(in casu 56 uur van de in totaal 112 uur zendtijd per week). Dit is een wettelijke verplichting die voortvloeit uit artikel 2:70 van de Mediawet."
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Kunst en Cultuur,"Stichting Jongeren Cultuurcentrum Vlaardingen ""De Kroepoekfabriek""", 120.000,00 ,Nee,Nee,"1. aanbieden van jongerencultuurprogramma, 2. organiseren van culturele evenementen, 3. aanbieden van cultuureducatie en talentcoaching."
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Kunst en Cultuur,Museum Vlaardingen, 415.985,00 ,Nee,Nee,"1. beheren en behouden van de collectie erfgoederen, 2. het presenteren van de collectie voor een breed publiek tentoonstellingen en presentaties, 3. het organiseren van cultuureducatieve activiteiten die de collectie actief en receptief verklaren, 4. het verzorgen van een toeristeninformatiefunctie."
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Kunst en Cultuur,Stichting Centrum Kunsteducatie Kade 40, 612.765,00 ,Nee,Nee,"1a. de organisatie en co”rdinatie van Vlaardingse schatten voor leerlingen in het primair onderwijs, 1b. maatwerk activiteiten voor leerlingen in het primair en voortgezet onderwijs, 2 de co”rdinatie van en het plaatsbieden aan een cursusaanbod, 3a. de organisatie van de kunstuitleen, 3b. de organisatie van de tentoonstellingsfunctie en overige activiteiten in de exploitatie van het pand."
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Onderwijs economie en haven,Stichting Aanzet, 27.750,00 ,Ja,Ja,Het bieden van nazorg aan leerlingen van de Globe.
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Onderwijs economie en haven,Stichting TechNet Nieuwe Waterweg Noord, 32.000,00 ,Nee,Nee,"Het verrichten van activiteiten op het gebied van onderwijs en techniek, zoals een teckniekweek voor het basisonderwijs, leerlingen in het VMBO, ouderbijeenkomsten techniek, docentendag techniek, beroepenmanifestatie."
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Onderwijs economie en haven,Stichting Zorg voor Onderwijs Nieuwe Waterweg Noord, 82.290,00 ,Ja,Ja,Activiteiten ter voorkoming van voortijdig schoolverlaten.
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Onderwijs economie en haven,Stichting Aanzet, 593.594,00 ,Ja,Ja,Toeleidingsactiviteiten.
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Onderwijs economie en haven,Stichting Aanzet, 792.512,00 ,Ja,Ja,Activiteiten voor het bieden van onderwijskansen.
NL,0622,4-8-2017,Vlaardingen,2017,Q2,Programma Onderwijs economie en haven,UN1EK kinderopvang B.V., 896.477,00 ,Ja,Ja,Activiteiten in het kader van het peuterspeelzaalwerk.
