;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
September;;;;1;;;;;1
(Naast) de Markt B.V.;;;;;;;1;;1
1,2..8 B.V.;;;;;;;1;;1
1.2.3. Machineverhuur B.V.;;;;;;1;;;1
10VOCAAL;;;;;1;;;;1
1e Arnhemse Wegen-/Sleepdnst v Amerongen B.V.;;;;;;1;;;1
21 The Netherlands;;;;1;;;1;;1
24 uur in bedrijf;;;;;;;1;;1
2BIRDSMEDIA;;;;;;;1;;1
2Blearning B.V.;;;;;;2;;;2
2-Rescue;;;;;;2;;;2
360-Control B.V.;;;;;;2;;;2
4 Seasons Events;;;;;1;;;;1
4Wind Watersports;;;;;;1;;;1
50 Company;;;;;2;;;;2
5hart-IT Opleidingen B.V.;;;;;;5;;;5
7AM Den Haag B.V.;;;;;;;1;;1
A1-City B.V.;;;;1;;;;;1
A1-Plaza B.V.;;;;;;;1;;1
a4 Training;;;;;;1;;;1
AA&B Analyse Adviser. en Beveilig.consult.;;;;;;2;;;2
ABCstore;;;;;;1;;;1
About Flowers;;;;1;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;2;;;2
Academie voor leefstijl en gezondheid B.V.;;;;;;1;;;1
Academie voor Psychologica;;;;;;1;;;1
Accor Hospitality Nederland N.V.;;;;;;;;1;1
AccreDidact B.V.;;;;;;1;;;1
ACM Opleidingen B.V.;;;;;;1;;;1
Acole Productions B.V.;;;;;;2;;;2
ACTA Dental Education B.V.;;;;;;1;;;1
Acteursbureau Kapok B.V.;;;;;;1;;;1
Acting-Out;;;;;;;1;;1
Action Company B.V.;;;;;;;1;;1
Active Health Center Ypenburg;;;;;;;1;;1
Ad Ballon Ballonvaarten B.V.;;;;1;;;2;;2
Add-Mission B.V.;;;;;;2;;;2
Administratiekantoor Kroese;;;;;;;1;;1
Adola B.V.;;;;;;;1;;1
Advance Leadership Development B.V.;;;;;;2;;;2
