Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
.bos ontwikkeling in organisatie;;;;;;1;;;;1
2KNOWHOW, art of change B.V.;;;;;;1;;;;1
2Xplain V.O.F.;;;;;;2;;;;2
365 dagen succesvol;;;;;;1;;;;1
4 Coaching en Training;;;;;;1;;;;1
5HART-IT B.V.;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;;3;;;;3
A2Z Consulting & Training B.V.;;;;;;1;;;;1
a4 Training;;;;;;2;;;;2
A5tien B.V.;;;;;;1;;;;1
Aaltje Vincent & Company;;;;;;2;;;;2
About Branding;;;;1;;;;;;1
ABP-Reclame;;;;1;;;;;;1
Absoluta B.V.;;;;1;;;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;;;;1
Absolutas B.V.;;;;1;;;;;;1
Academie voor Psychodynamica;;;;;;1;;;;1
Academy for Information and Management B.V.;;;;;;1;;;;1
Academy for Leadership B.V.;;;;;;4;;;;4
Academy Payroll Professionals;;;;;;1;;;;1
Academy Pictures B.V.;;;;;;1;;;;1
ActivaSZ B.V.;;;2;;;;;;;2
ACTME B.V.;;;;;;1;;;;1
Ader Academie B.V.;;;;;;1;;;;1
Advies Veiligheid MtB;;;;1;;1;;;;1
Adviesbureau Kiene B.V.;;;;;;1;;;;1
Advocatenkantoor Van de Loo;;;;;;1;;;;1
Afeer;1;;;1;;;;;;1
AfterPay;;;;1;;;;;;1
AG Connect B.V.;;;;;;;;1;;1
Al Hayat Restaurant;;;;;;;;;1;1
Albron Nederland;1;;;1;;;;;;1
Albron Nederland B.V.;;;;1;;;;;;1
ALGEMEEN BURGERLIJK PENSIOENFONDS INCASS;2;;;;;;;;;2
Algemeen Pensioenfonds van Curacao;7;;;;;;;;;7
Allea SPRL;;;;;;1;;;;1
alles anderZ;;;;;;1;;;;1
Aloha beach;;;;1;;;;;;1
Alpinia B.V.;;;;1;;;;;;1
Alrijne Ziekenhuis Leiden;;;1;;;;;;;1
Amateurtuindersvereniging 'Loolaan';;;;1;;;;;;1
Amaze Escape Events;;;;1;;;;;;1
Ambitio;;;;;1;;;;;1
Amier Restaurant B.V.;;;;1;;;;;;1
Amsterdam School of Real Estate B.V.;;;;;;1;;;;1
Andere Blik coaching en training;;;;;;1;;;;1
Andermanskeuken;1;;;1;;;;;;1
Andy Marcelissen;;;;1;;;;;;1
Ankanglin;;;;1;;;;;;1
Anker & Kompas;;;;;;1;;;;1
Anne&Max Utrecht;;;;1;;;;;;1
Annelies Bouwhuis;;;;;;1;;;;1
Anneline Van Der zon Work Environment Insights;;;;1;;;;;;1
Anoniem_BZK_102;;;;;;;;;1;1
Anoniem_BZK_103;;;;;;2;;;;2
Anoniem_BZK_11;;;;;;1;;;;1
Anoniem_BZK_115;;;;;1;1;;;;1
Anoniem_BZK_116;;;;;;1;;;;1
Anoniem_BZK_117;;;;;;;;;1;1
Anoniem_BZK_118;;;;;;1;;;;1
Anoniem_BZK_121;;;;1;;;;;;1
Anoniem_BZK_122;;;1;;;;;;;1
Anoniem_BZK_129;;;;;;;;;1;1
Anoniem_BZK_13;;;;1;;;;;;1
Anoniem_BZK_133;;;;;;;;;1;1
Anoniem_BZK_135;;;;;;;;;1;1
Anoniem_BZK_14;;;;;;1;;;;1
Anoniem_BZK_144;;;;1;;;;;;1
Anoniem_BZK_148;;;;;;3;;;;3
Anoniem_BZK_15;;;;;;1;;;;1
Anoniem_BZK_153;;;4;;;;;;;4
Anoniem_BZK_161;;;;;;1;;;;1
Anoniem_BZK_163;;;;;1;;;;;1
Anoniem_BZK_164;;;;;;2;;;;2
Anoniem_BZK_166;;;;;;1;;;;1
Anoniem_BZK_168;;;;1;;;;;;1
Anoniem_BZK_170;;;;;;1;;;;1
Anoniem_BZK_172;;;;;;;;;1;1
Anoniem_BZK_173;;;;;;;;;1;1
Anoniem_BZK_174;;;;;;;;;1;1
Anoniem_BZK_180;1;;;;;;;;;1
Anoniem_BZK_181;1;;;;;;;;;1
Anoniem_BZK_183;2;;;;;;;;;2
Anoniem_BZK_187;;;;1;;;;;;1
Anoniem_BZK_19;;;;;;1;;;;1
Anoniem_BZK_198;;;;;1;;;;;1
Anoniem_BZK_2;;;;;;1;;;;1
Anoniem_BZK_20;;;;;;2;;;;2
Anoniem_BZK_201;1;;;;;;;;1;1
Anoniem_BZK_21;;;;;;;;;1;1
Anoniem_BZK_217;;;;;;1;;;;1
Anoniem_BZK_218;;;;;;3;;;;3
Anoniem_BZK_219;;;;1;;;;;;1
Anoniem_BZK_22;;;;1;;;;;;1
Anoniem_BZK_221;;;;;;;;;1;1
Anoniem_BZK_223;1;;;;;;;;;1
Anoniem_BZK_225;1;;;;;;;;1;1
Anoniem_BZK_226;;;;;;;;;1;1
Anoniem_BZK_227;1;;;;;;;;;1
Anoniem_BZK_230;;;;;;1;;;;1
Anoniem_BZK_233;;;;;;;;;1;1
Anoniem_BZK_234;;;;;;;;;1;1
Anoniem_BZK_235;;;;;;;;;1;1
Anoniem_BZK_236;2;;;;;;;;;2
Anoniem_BZK_238;;;;;;;;;1;1
Anoniem_BZK_241;;;2;;;;;;;2
Anoniem_BZK_242;;;;;;;;;1;1
Anoniem_BZK_244;;;;;;1;;;;1
Anoniem_BZK_245;1;;;;;;;;;1
Anoniem_BZK_249;;;;;;1;;;;1
Anoniem_BZK_25;;;;;;;;;1;1
Anoniem_BZK_257;;;;;;1;;;;1
Anoniem_BZK_258;;;;;;1;;;;1
Anoniem_BZK_259;;;;;;1;;;;1
Anoniem_BZK_260;;;;1;;;;;;1
Anoniem_BZK_269;;;;1;;;;;;1
Anoniem_BZK_270;1;;;;;;;;1;1
Anoniem_BZK_271;1;;;;;;;;1;1
Anoniem_BZK_273;;;;;;1;;;;1
Anoniem_BZK_274;;;;;;1;;;;1
Anoniem_BZK_275;;;;;;2;;;;2
Anoniem_BZK_276;;;;;;1;;;;1
Anoniem_BZK_28;1;;;;;;;;1;1
Anoniem_BZK_281;1;;;;;;;;;1
Anoniem_BZK_282;1;;;;;;;;1;1
Anoniem_BZK_284;;;;;;;;;1;1
Anoniem_BZK_285;;;;;;;;;1;1
Anoniem_BZK_288;;;;;1;;;;;1
Anoniem_BZK_289;;;;;;;;;1;1
Anoniem_BZK_291;;;;;;;;;1;1
Anoniem_BZK_292;;;2;;;;;;;2
Anoniem_BZK_293;;;;;;;;;1;1
Anoniem_BZK_294;2;;;;;;;;1;2
Anoniem_BZK_295;;;;;;1;;;;1
Anoniem_BZK_296;;;;;;1;;;;1
Anoniem_BZK_299;;;;;;1;;;;1
Anoniem_BZK_3;;;;;;2;;;;2
Anoniem_BZK_300;;;;;;2;;;;2
Anoniem_BZK_303;;;;;;1;;;;1
Anoniem_BZK_306;;;;;;1;;;;1
Anoniem_BZK_307;;;;1;;;;;;1
Anoniem_BZK_310;;;4;;;;;;;4
Anoniem_BZK_311;;;;;;1;;;;1
Anoniem_BZK_314;;;;;;;;;1;1
Anoniem_BZK_315;2;;;;;;;;1;2
Anoniem_BZK_320;;;;;;;;;1;1
Anoniem_BZK_321;;;;;;;;;1;1
Anoniem_BZK_326;;;;;;1;;;;1
Anoniem_BZK_330;;;;1;;;;;1;1
Anoniem_BZK_332;;;;;;1;;;;1
Anoniem_BZK_334;;;;;;;;;1;1
Anoniem_BZK_337;2;;;;;;;;1;2
Anoniem_BZK_338;2;;;;;;;;1;2
Anoniem_BZK_339;;;;1;;;;;;1
Anoniem_BZK_347;;;;1;;;;;;1
Anoniem_BZK_348;;;;;;1;;;;1
Anoniem_BZK_349;;;;;;1;;;;1
Anoniem_BZK_350;1;;;;;;;;;1
Anoniem_BZK_352;1;;;;;;;;;1
Anoniem_BZK_355;;;;;;;;;1;1
Anoniem_BZK_356;1;;;;;;;;1;1
Anoniem_BZK_357;;;;;;1;;;;1
Anoniem_BZK_358;;;;1;;;;;;1
Anoniem_BZK_360;;;;;;1;;;;1
Anoniem_BZK_361;;;;1;;;;;;1
Anoniem_BZK_370;;;1;;;;;;;1
