FID,omschr,afst_glg,hgte_glg,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
geluids_beperkingen_wegvak.1,Doorzichtig geluidsscherm,8.5 -> 8.5,1 -> 1,H,600457131,2021-07-01T00:00:00,1092,1122,060045713120210701,KLK0007904124,L,I,,"LINESTRING (229078.08520000055 486952.91519999877, 229054.9360000007 486955.30900000036, 229048.24269999936 486955.9851000011)"
geluids_beperkingen_wegvak.2,Doorzichtig geluidsscherm,7.5 -> 7.5,1 -> 1,H,600457131,2021-07-01T00:00:00,889,920,060045713120210701,KLK0007904125,L,I,,"LINESTRING (229280.03449999914 486932.2901000008, 229249.1906999983 486935.3975000009)"
geluids_beperkingen_wegvak.3,Geluidswand,5.5 -> 5.5,5 -> 5,H,358131031,2021-06-01T00:00:00,0,156,035813103120210601,KLK0008059786,R,I,,"LINESTRING (179126.0089999996 365551.21499999985, 179158.89400000125 365508.311999999, 179177.7740000002 365479.66600000113, 179188.05999999866 365462.0879999995, 179206.35399999842 365429.86199999973, 179211.01929999888 365420.7771999985)"
geluids_beperkingen_wegvak.4,Geluidswand,2.5 -> 2.5,5 -> 5,H,358131031,2021-06-01T00:00:00,191,272,035813103120210601,KLK0007811284,R,I,,"LINESTRING (179226.3975000009 365389.3434999995, 179244.05099999905 365351.54399999976, 179262.01810000092 365316.61250000075)"
geluids_beperkingen_wegvak.5,Geluidswand,5.5 -> 2.5,5 -> 5,H,358131031,2021-06-01T00:00:00,156,191,035813103120210601,KLK0007811283,R,I,,"LINESTRING (179211.01929999888 365420.7771999985, 179218.72399999946 365405.7740000002, 179226.3975000009 365389.3434999995)"
geluids_beperkingen_wegvak.6,Niet doorzichtig geluidsscherm,10 -> 10,3 -> 3,H,378105078,2021-06-01T00:00:00,82,194,037810507820210601,KLK0009870863,R,I,,"LINESTRING (189481.02679999918 353052.14930000156, 189483.32409999892 353054.0201999992, 189489.2558999993 353057.8387000002, 189494.41930000111 353060.55249999836, 189501.64799999818 353063.0500999987, 189505.0821999982 353064.1788999997, 189512.57510000095 353065.0914000012, 189520.2120999992 353064.7791999988, 189528.25730000064 353063.6024999991, 189534.8136 353062.13749999925, 189541.20169999823 353060.0001000017, 189549.55920000002 353056.7100000009, 189558.56500000134 353052.7474000007, 189565.60159999877 353048.8328999989, 189575.49599999934 353043.933699999, 189577.5373999998 353042.8530000001, 189584.52919999883 353038.9514000006)"
geluids_beperkingen_wegvak.7,Doorzichtig geluidsscherm,7.5 -> 7.5,3 -> 3,H,600450744,2021-06-01T00:00:00,371,436,060045074420210601,KLK0007817599,L,I,,"LINESTRING (128277.40890000015 481008.2487999983, 128297.66270000115 481023.58900000155, 128320.76260000095 481055.5890999995)"
geluids_beperkingen_wegvak.8,Geluidswal,7.5 -> 7.5,3 -> 3,H,303227035,2021-07-01T00:00:00,772,1068,030322703520210701,KLK0010213108,R,I,,"LINESTRING (152170.7052000016 413223.9182000011, 152243.41099999845 413103.63899999857, 152315.29919999838 412965.80590000004)"
geluids_beperkingen_wegvak.9,Niet doorzichtig geluidsscherm,7.5 -> 7.5,3 -> 3,H,303227035,2021-07-01T00:00:00,1068,1148,030322703520210701,KLK0010213160,R,I,,"LINESTRING (152315.29919999838 412965.80590000004, 152352.5009999983 412894.4780000001)"
geluids_beperkingen_wegvak.10,Geluidswal,4.5 -> 4.5,1 -> 1,H,600143397,2021-06-01T00:00:00,0,40,060014339720210601,KLK0008117268,L,I,,"LINESTRING (178296.1783999987 580089.0047999993, 178256.3599999994 580091.318)"
