;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
September;1;;;;;;;;;;1
013music;1;;;;;;;;;;1
10VOCAAL;;1;;;;;;;;;1
123Accu B.V.;1;;;;;;;;;;1
123boekingen.nl;1;;;;;;;;;;1
123magazijninrichting.nl B.V.;1;;;;;;;;;;1
21 The Netherlands;1;;;;;;;;;;1
247wood;1;;;;;;;;;;1
2Cheap B.V.;;;;;;;;;1;;1
2DOBOARD B.V.;1;1;;;;;;;;;1
2Sharp;;;;;;;;;1;;1
3M Nederland B.V.;1;;;;;;;;;;1
4 Seasons Events;;1;;;;;;;;;1
4C Creative Cad Cam Consultants;1;;;;;;;;;;1
4Divers Veenendaal;1;;;;;;;;2;;2
5hart-IT Opleidingen B.V.;1;;;;;;;;;;1
7AM Den Haag B.V.;;1;;;;;;;;;1
A van O B.V.;;1;;;;;;;;;1
A2B Travel B.V.;1;;;;;;;;;;1
Aannemingsbedrijf Tatenhove B.V.;;;;;;;1;;;;1
Aata International B.V.;;;;;;;;;1;;1
ABCstore;1;;;;;;;;;;1
Aberkrom Serv. & Onderh. Grafische Afwerking;;;;;;;;;1;;1
Abiom Communication Systems (A.C.S.) B.V.;2;;;;;;;;1;;2
ABN AMRO Bank N.V.;1;;;;;;;;;;1
Aboma;2;;;;;;;;;;2
About Flowers;1;;;;;;;;;;1
ABS Trading B.V.;1;;;;;;;;;;1
Abtronix B.V.;1;;;;;;;;;;1
Academy Payroll Professionals;1;;;;;;;;;;1
Acaleph Opleiding Training en Adviezen B.V.;1;;;;;;;;;;1
Accor Hospitality Nederland N.V.;1;;;;;;;;;;1
Accres Apeldoorn B.V.;1;;;;;;;;;;1
Accuservice Lijnema B.V.;1;;;;;;;;;;1
Achmea Bank N.V.;1;;;;;;;;;;1
Acin Instrumenten B.V.;;;1;;;;;;;;1
Acoutronics B.V.;1;;;;;;;;;;1
ACP Identificatiesystemen B.V.;;;;;;;;;1;;1
Additive Manufacturing Research Europe B.V.;1;;;;;;;;;;1
Add-Mission B.V.;;;1;;;;;;;;1
Adesign;1;;;;;;;;;;1
Adiform;2;;;;;;;;;;2
Administratiekantoor Kroese;1;;;;;;;;;;1
ADO Hospitality & Events B.V.;1;;;;;;;;;;1
Adriaanse van der Weel Advocaten;1;;;;;;;;;;1
Advising People & Organisations B.V.;2;;;;;;;;;;2
Ae Sensors B.V.;1;;;;;;;;;;1
AEB Exploitatie B.V.;1;;;;;;1;;;;1
AEDcompany B.V.;1;;;;;;;;;;1
Aeneas B.V.;1;;;;;;;;;;1
Aero Ind. afzuig- en filterinstallaties B.V.;1;;;;;;;;2;;2
AG Connect B.V.;1;;;;;;;;;;1
Agere Opleidingen B.V.;1;;;;;;;;;;1
Agrima II B.V.;;1;;;;;;;;;1
Ahrend Nederland B.V.;;;;;;;;1;;;1
AIM Nederland B.V.;1;;;;;;;;;;1
Air Liquide B.V.;1;;;;;;;;;;1
Air Products Nederland B.V.;2;;;;;;;;;;2
Air-Comms;1;;;;;;;;;;1
Aircorent B.V.;2;;;;;;;;;;2
Aircr. Develop. and Systems Engineering B.V.;1;;;;;;;;;;1
AirHub B.V.;2;;;;;;;;;;2
AirPetrol B.V.;1;;;;;;;;;;1
Airsoft Center B.V.;2;;;;;;;;;;2
AKB Longs B.V.;;;;;;;;1;;;1
Albers Zeilmakerij B.V.;1;;;;;;;;;;1
Albersen Verhuur B.V.;1;;;;;;;;;;1
Albro Bouw en Advies;1;;;;;;;;;;1
Albron Nederland B.V.;1;;;;;;;;;;1
Albyco Nederland B.V.;2;;;;;;;1;1;;2
Alert Materials Handling B.V.;;;;;;;;;1;;1
Alfana B.V.;1;;;;;;;;;;1
All In Verhuur B.V.;1;;;;;;;;1;;1
All Music Publishing B.V.;1;;;;;;;;;;1
Allekabels B.V.;2;;;;;;;1;1;;2
Allergenen Consultancy B.V.;1;;;;;;;;;;1
Allers;;;;;;;;;1;;1
Alles voor je Truck;1;;;;;;;;;;1
Allgifts.nl B.V.;1;;;;;;;;;;1
Allplast B.V.;;;;;;;;;3;;3
Almelose Borstelindustrie B.V.;1;;;;;;;;;;1
Alp Lift B.V.;;;;;;;;1;;;1
Altac Coating Group B.V.;1;;;;;;;;;;1
Altec Industriële Identificatie;;;;;;;;;1;;1
ALTER - HAAGLANDEN sleutels - sloten;;;;;;;;1;;;1
Altrex B.V.;1;;;;;;;;1;;2
Alup Grassair Kompressoren B.V.;1;;;;;;;;1;;1
AM Music Distribution & Publishing;1;;;;;;;;;;1
A-Mac B.V.;3;;;;;;;;;;3
Amazing Flowers;;1;;;;;;;;;1
Ambius B.V.;1;;;;;;;;;;1
AMCA Hydraulic Fluid Power B.V.;;;;;;;;;1;;1
Amigo-Produkties;1;;;;;;;;1;;1
Ampco Flashlight Sales B.V.;1;;;;;;;;;;1
Amstel Graphics B.V.;;;;;;;;1;1;;1
Amstelborgh/Borchland B.V.;2;;;;;;;;;;2
Amsterdam Boat Center;;1;;;;;;;;;1
Amsterdam VentureLab B.V.;1;;;;;;;;;;1
Amsterdamse Bloemenmarkt;1;1;;;;;;;;;1
Andes Meettechniek B.V.;1;;;;;;;;;;1
Anemoon;;1;;;;;;;;;1
AniCura Dierenziekenhuis Breda B.V.;;;1;;;;;;;;1
AniCura Dierenziekenhuis Drechtstreek B.V.;;;1;;;;;;;;1
anies-art;;1;;;;;;;;;1
Ankersmid Process B.V.;1;;;;;;;;;;1
Anlag International B.V.;1;;;;;;;;;;1
Anna bakt;1;;;;;;;;;;1
anoniem_DEF_1000;;1;;;;;;;;;1
anoniem_DEF_1002;1;;;;;;;;;;1
anoniem_DEF_1007;1;;;;;;;;;;1
anoniem_DEF_1008;1;;;;;;;;;;1
anoniem_DEF_1010;1;;;;;;;;;;1
anoniem_DEF_1018;1;;;;;;;;;;1
anoniem_DEF_1020;1;2;;;;;;;1;;2
anoniem_DEF_1022;;1;;;;;;;;;1
anoniem_DEF_1026;1;;;;;;;;;;1
anoniem_DEF_1027;;1;;;;;;;;;1
anoniem_DEF_1028;2;;;;;;;;;;2
anoniem_DEF_103;1;;;;;;;;;;1
anoniem_DEF_1034;1;1;;;;;;;;;1
anoniem_DEF_104;1;;;;;;;;;;1
anoniem_DEF_1041;1;;;;;;;;;;1
anoniem_DEF_1044;1;;;;;;;;;;1
anoniem_DEF_1046;1;;;;;;;;;;1
anoniem_DEF_1048;2;;;;;;;;;;2
anoniem_DEF_1049;2;1;;;;;;;1;;2
anoniem_DEF_1050;1;;;;;;;;1;;2
anoniem_DEF_1051;1;;;;;;;;;;1
anoniem_DEF_1057;1;;;;;;;;;;1
anoniem_DEF_1059;;1;;;;;;;;;1
anoniem_DEF_106;;;;;;;;;1;;1
anoniem_DEF_1060;;;;;;;;;1;;1
anoniem_DEF_1062;;1;;;;;;;;;1
anoniem_DEF_1065;;1;;;;;;;;;1
anoniem_DEF_1066;;1;;;;;;;;;1
anoniem_DEF_1070;;1;;;;;;;;;1
anoniem_DEF_1073;1;;;;;;;;1;;1
anoniem_DEF_1074;1;;;;;;;;;;1
anoniem_DEF_1076;;;;;;;;;2;;2
anoniem_DEF_1078;1;;;;;;;;1;;1
anoniem_DEF_108;;;;;;;;1;;;1
anoniem_DEF_1083;1;;;;;;;;;;1
anoniem_DEF_1095;1;;;;;;;;;;1
anoniem_DEF_1096;1;;;;;;;;;;1
anoniem_DEF_1097;1;;;;;;;;;;1
anoniem_DEF_1098;1;;;;;;;;;;1
anoniem_DEF_1099;1;;;;;;;;;;1
anoniem_DEF_11;1;;;;;;;;;;1
