Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
4synergy B.V.;;;;;;;;4;4
50PlusIT B.V.;;;;;;;;1;1
A. van Helden Relatiegeschenken B.V.;;1;;;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;;;;;;2;;2
Acal Technology Netherlands;;3;;;;;;;3
ACES Direct B.V.;;1;;;;;;;1
ActaForce B.V.;;;;;;;;2;2
Actendo B.V.;;;;2;;;;;2
Added Value Electronics (Ave);;;;;;2;;;2
Additive Manufacturing Research Europe B.V.;;2;;;;;;;2
Administratiekantoor Kroese;;;;;;;1;;1
Advanced Encryption Technology Europe B.V.;;2;;;;3;;;3
Advanced Virtualization Technologies B.V.;;;;;2;;;;2
AG5 B.V.;;;;3;;1;;;3
AgenDO B.V.;;;;;;;2;;2
Airo Flex;;;;;;;1;;1
All IT Rooms B.V.;;;;;;3;;;3
Allegion B.V.;;1;;2;1;;;;3
Allinco Visual Collaboration Solutions B.V.;;2;;;;2;;;2
Altec Industriële Identificatie;;2;;;;;;;2
Alternate Computerversand Nederland;;;;;;1;;;1
Anixter Nederland B.V.;;1;1;;;1;;;1
anoniem 1002;;;;;2;;;;2
anoniem 1006;;;;;;;;4;4
anoniem 1011;;;;;;;2;;2
anoniem 1016;;1;;;;;;;1
anoniem 1022;;;;;;;3;;3
anoniem 1025;;;;;;;5;;5
anoniem 1027;;;;;;;1;;1
anoniem 1030;;;;;;;5;;5
anoniem 1031;;;;;;;7;;7
anoniem 1035;;;;1;;3;;;3
anoniem 106;;;;;;;2;;2
anoniem 1105;;;;;;;1;;1
anoniem 1120;;;;;;;1;;1
anoniem 114;;;;;;3;1;;3
anoniem 1149;;;;;;;1;;1
anoniem 1162;;2;;;;;;;2
anoniem 1179;;;;;;4;;;4
anoniem 1181;;7;;;;;1;;7
anoniem 1193;;;;;;;1;;1
anoniem 1253;;;;1;;;;;1
anoniem 1296;;;;;;1;;;1
anoniem 1314;;;;2;;;;;2
anoniem 1315;;;;;;;1;;1
anoniem 132;;;;;;;2;;2
anoniem 1333;;;;;;;1;;1
anoniem 1393;;;;;;;1;;1
anoniem 1396;;;;;;1;;;1
