FID,omschr,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
signaleringen_wegvak.1,Autosnelwegsignalering,H,600135291,2020-08-01T00:00:00,0,1143,060013529120200801,KLK0008637986,L,I,,"LINESTRING (149425.75879999995 488495.66220000014, 149376.11800000072 488478.0229999982, 149329.21299999952 488453.8909999989, 149289.78500000015 488437.4059999995, 149255.6259999983 488425.51000000164, 149212.375 488413.8680000007, 149161.05099999905 488401.8020000011, 149111.51099999994 488390.5009999983, 149082.2800000012 488381.6629999988, 149059.16800000146 488373.16600000113, 149025.43299999833 488358.8060000017, 148997.22199999914 488343.33999999985, 148975.3839999996 488329.8299999982, 148945.30299999937 488308.0769999996, 148917.17700000107 488283.8590000011, 148899.67300000042 488266.5249999985, 148883.188000001 488248.1700000018, 148866.44799999893 488225.9919999987, 148853.53200000152 488208.48800000176, 148834.07299999893 488176.6229999997, 148818.94799999893 488147.90199999884, 148798.29899999872 488105.3299999982, 148781.05000000075 488069.38599999994, 148768.47399999946 488045.4239999987, 148758.95699999854 488028.2589999996, 148748.3350000009 488010.3299999982, 148733.2100000009 487988.7470000014, 148704.9140000008 487953.8229999989, 148688.76900000125 487935.2980000004, 148652.99500000104 487895.6160000004, 148618.41099999845 487854.743999999, 148579.72700000182 487808.08199999854)"
signaleringen_wegvak.2,Kruis-pijlsignalering,H,600135291,2020-08-01T00:00:00,0,1143,060013529120200801,KLK0008637985,L,I,,"LINESTRING (149425.75879999995 488495.66220000014, 149376.11800000072 488478.0229999982, 149329.21299999952 488453.8909999989, 149289.78500000015 488437.4059999995, 149255.6259999983 488425.51000000164, 149212.375 488413.8680000007, 149161.05099999905 488401.8020000011, 149111.51099999994 488390.5009999983, 149082.2800000012 488381.6629999988, 149059.16800000146 488373.16600000113, 149025.43299999833 488358.8060000017, 148997.22199999914 488343.33999999985, 148975.3839999996 488329.8299999982, 148945.30299999937 488308.0769999996, 148917.17700000107 488283.8590000011, 148899.67300000042 488266.5249999985, 148883.188000001 488248.1700000018, 148866.44799999893 488225.9919999987, 148853.53200000152 488208.48800000176, 148834.07299999893 488176.6229999997, 148818.94799999893 488147.90199999884, 148798.29899999872 488105.3299999982, 148781.05000000075 488069.38599999994, 148768.47399999946 488045.4239999987, 148758.95699999854 488028.2589999996, 148748.3350000009 488010.3299999982, 148733.2100000009 487988.7470000014, 148704.9140000008 487953.8229999989, 148688.76900000125 487935.2980000004, 148652.99500000104 487895.6160000004, 148618.41099999845 487854.743999999, 148579.72700000182 487808.08199999854)"
signaleringen_wegvak.3,Autosnelwegsignalering,H,600199792,2020-08-01T00:00:00,0,536,060019979220200801,KLK0008638013,R,I,,"LINESTRING (150102.1700000018 488834.3073000014, 150279.63039999828 488935.40239999816, 150333.1821999997 488967.15239999816, 150403.87900000066 489009.69750000164, 150490.4508999996 489061.5560000017, 150564.53429999948 489105.37099999934)"
signaleringen_wegvak.4,Kruis-pijlsignalering,H,600199792,2020-08-01T00:00:00,0,536,060019979220200801,KLK0008638012,R,I,,"LINESTRING (150102.1700000018 488834.3073000014, 150279.63039999828 488935.40239999816, 150333.1821999997 488967.15239999816, 150403.87900000066 489009.69750000164, 150490.4508999996 489061.5560000017, 150564.53429999948 489105.37099999934)"
signaleringen_wegvak.5,Autosnelwegsignalering,H,600200354,2020-08-01T00:00:00,0,491,060020035420200801,KLK0008637986,L,I,,"LINESTRING (150525.43519999832 489142.54630000144, 150107.18679999933 488885.12319999933)"
signaleringen_wegvak.6,Kruis-pijlsignalering,H,600200354,2020-08-01T00:00:00,0,491,060020035420200801,KLK0008637985,L,I,,"LINESTRING (150525.43519999832 489142.54630000144, 150107.18679999933 488885.12319999933)"
signaleringen_wegvak.7,Autosnelwegsignalering,H,506339035,2020-06-01T00:00:00,0,2,050633903520200601,KLK0008094605,R,I,,"LINESTRING (253101.1259999983 469554.2980000004, 253101.9327000007 469556.1281000003)"
signaleringen_wegvak.8,Kruis-pijlsignalering,H,600283843,2020-06-01T00:00:00,0,142,060028384320200601,KLK0007226229,R,I,,"LINESTRING (125484.18329999968 479478.9213999994, 125438.92430000007 479457.33769999817, 125397.49489999935 479435.72019999847, 125357.80150000006 479414.48479999974)"
signaleringen_wegvak.9,Autosnelwegsignalering,H,600283843,2020-06-01T00:00:00,0,142,060028384320200601,KLK0007226228,R,I,,"LINESTRING (125484.18329999968 479478.9213999994, 125438.92430000007 479457.33769999817, 125397.49489999935 479435.72019999847, 125357.80150000006 479414.48479999974)"
signaleringen_wegvak.10,Autosnelwegsignalering,H,600283896,2020-06-01T00:00:00,0,178,060028389620200601,KLK0008077274,R,I,,"LINESTRING (128389.46909999847 481144.15630000085, 128360.55370000005 481118.5482000001, 128326.5791000016 481089.6581000015, 128261.57569999993 481037.17859999835, 128252.42379999906 481030.23800000176)"
