Nummer;Totaal van;Jaar;Maand;Aanleverende organisatie;Nationaliteit;Aantal instroom
1;Jaar;2019;*Alle*;*Alle*;*Alle*;22540
2;Jaar, Maand;2019;01;*Alle*;*Alle*;1820
2;Jaar, Maand;2019;02;*Alle*;*Alle*;1740
2;Jaar, Maand;2019;03;*Alle*;*Alle*;1890
2;Jaar, Maand;2019;04;*Alle*;*Alle*;1720
2;Jaar, Maand;2019;05;*Alle*;*Alle*;1950
2;Jaar, Maand;2019;06;*Alle*;*Alle*;1490
2;Jaar, Maand;2019;07;*Alle*;*Alle*;2020
2;Jaar, Maand;2019;08;*Alle*;*Alle*;1910
2;Jaar, Maand;2019;09;*Alle*;*Alle*;1760
2;Jaar, Maand;2019;10;*Alle*;*Alle*;2420
2;Jaar, Maand;2019;11;*Alle*;*Alle*;1880
2;Jaar, Maand;2019;12;*Alle*;*Alle*;1950
3;Jaar, Maand, Aanleverende organisatie;2019;01;Immigratie- en Naturalisatiedienst;*Alle*;1340
3;Jaar, Maand, Aanleverende organisatie;2019;01;Koninklijke Marechaussee;*Alle*;100
3;Jaar, Maand, Aanleverende organisatie;2019;01;Nationale Politie;*Alle*;240
3;Jaar, Maand, Aanleverende organisatie;2019;01;Overige;*Alle*;150
3;Jaar, Maand, Aanleverende organisatie;2019;02;Immigratie- en Naturalisatiedienst;*Alle*;1250
3;Jaar, Maand, Aanleverende organisatie;2019;02;Koninklijke Marechaussee;*Alle*;90
3;Jaar, Maand, Aanleverende organisatie;2019;02;Nationale Politie;*Alle*;250
3;Jaar, Maand, Aanleverende organisatie;2019;02;Overige;*Alle*;160
3;Jaar, Maand, Aanleverende organisatie;2019;03;Immigratie- en Naturalisatiedienst;*Alle*;1290
3;Jaar, Maand, Aanleverende organisatie;2019;03;Koninklijke Marechaussee;*Alle*;130
3;Jaar, Maand, Aanleverende organisatie;2019;03;Nationale Politie;*Alle*;290
3;Jaar, Maand, Aanleverende organisatie;2019;03;Overige;*Alle*;180
3;Jaar, Maand, Aanleverende organisatie;2019;04;Immigratie- en Naturalisatiedienst;*Alle*;1190
3;Jaar, Maand, Aanleverende organisatie;2019;04;Koninklijke Marechaussee;*Alle*;90
3;Jaar, Maand, Aanleverende organisatie;2019;04;Nationale Politie;*Alle*;250
3;Jaar, Maand, Aanleverende organisatie;2019;04;Overige;*Alle*;190
3;Jaar, Maand, Aanleverende organisatie;2019;05;Immigratie- en Naturalisatiedienst;*Alle*;1310
3;Jaar, Maand, Aanleverende organisatie;2019;05;Koninklijke Marechaussee;*Alle*;110
3;Jaar, Maand, Aanleverende organisatie;2019;05;Nationale Politie;*Alle*;280
3;Jaar, Maand, Aanleverende organisatie;2019;05;Overige;*Alle*;250
3;Jaar, Maand, Aanleverende organisatie;2019;06;Immigratie- en Naturalisatiedienst;*Alle*;1010
3;Jaar, Maand, Aanleverende organisatie;2019;06;Koninklijke Marechaussee;*Alle*;90
3;Jaar, Maand, Aanleverende organisatie;2019;06;Nationale Politie;*Alle*;250
3;Jaar, Maand, Aanleverende organisatie;2019;06;Overige;*Alle*;140
3;Jaar, Maand, Aanleverende organisatie;2019;07;Immigratie- en Naturalisatiedienst;*Alle*;1350
3;Jaar, Maand, Aanleverende organisatie;2019;07;Koninklijke Marechaussee;*Alle*;100
