Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&samhoud People Equity B.V.;;;;;;2;;;;2
010-Haptotherapie & Coaching;1;;;;;;;;;1
12% of Meer;1;;;1;1;;;;;1
1910 Restaurant;;;;1;;;;;;1
'1e Klas' Grand Café Restaurant;;;;1;;;;;;1
2 Facilitate 4 Best Results;;;;;;1;;;;1
24/7 Photo;;;;;;1;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;;;;;;;1;1
2RIDE;;;;1;;;;;;1
2useit;;;;;;1;;;;1
2Xplain V.O.F.;;;;;;1;;;;1
3 Zussen;;;;1;;;;;;1
3bmda Projektconsultancy;1;;;;;;;;;1
3K Horeca B.V.;;;;1;;;;;;1
4acht96;1;;;;;;;;;1
4D organisatieontwikkeling & opleiding;;;;;;1;;;;1
4Meetings & Events;1;;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;;;;1;;;;1
7AM B.V.;1;;;;;;;;1;1
A. Tufi t.h.o.d.n. Supervlaai;;;;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;;1;;;;;;1
A.J. Vaessen thodn Multi-Vl. 's-Hertogenbosch;;;;1;;;;;;1
A.P.D. Doetinchem;;;;1;;;;;;1
A.V. Webwinkels;;;;1;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;;;1;1
Aaaaha! The Actor Factory B.V.;;;;2;;;;;;2
AAFM Facility Management B.V.;;;;;;3;;;;3
Aagje 1 B.V.;;;;1;;;;;;1
Aal Restaurant en Wijnlokaal B.V.;1;;;1;;1;;;;1
Aalsmeers Bloemenhuis;1;;;1;;;;;;1
Aandacht & Aanraking;;;;;;1;;;;1
Aandacht voor Eten Deli;1;;;1;;;;;;1
AAS Opleiding en Training;;;;;;1;;;;1
ABC Events Nederland;;;;1;;;;;;1
Abdij van Dokkum B.V.;1;;;;;;;;;1
Abel Tasman B.V.;;;;1;;;;;;1
Abel. Grand Café Restaurant B.V.;;;;1;;1;;;;1
Able B.V.;;;;;;1;;;;1
Abrikoos Utrecht B.V.;;;;1;;;;;;1
Absoluta Food and Facilities B.V.;1;;;1;;;;;;1
Academie voor de Rechtspraktijk B.V.;1;;;;;;;;;1
Academie voor Organisatiecultuur;;;;;;1;;;;1
Academie voor Psychodynamica;;;;;1;;;;;1
Academie voor Vastgoed B.V.;;;;;;1;;;;1
Academisch Medisch Centrum;2;;;;;;;;;2
Acato;;;;;;1;;;;1
Achtienhonderdeenenvijftig (1851) B.V.;;;;1;;;;;;1
