x;y;Locatienaam;Organisatie;Straat;Nummer;Letter;Toevoeging;Adres;Postcode;Woonplaats;PCPlaats;Wijknaam;Buurtnaam;Domein;Hoofdfunctie;Functie;Kaart;Doelgroep;Telefoon;Email;Website1;Website2;Toegankelijkheid
137956;457969;Verzorgingshuis Tuindorp Oost;Careyn;Winklerlaan;365;;;Winklerlaan 365;3571 KE;Utrecht;3571 KE Utrecht;Noordoost;Tuindorp-oost;Zorg;Verpleging en verzorging ouderen;Beschut wonen;Verpleging en verzorging ouderen;Ouderen;030-258880;;https://www.careyn.nl/locaties/utrecht/utrecht/careyn-tuindorp-oost/;http://www.careyn.nl;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={083F85DA-2EF7-4D0C-8D35-5AF2F4D8607B}&lan_id=1
137757;457105;Woonzorgcentrum Nieuw Bleyenburg;Careyn;Jan van Galenstraat;8 - 70;;;Jan van Galenstraat 8 - 70;3572 LA;Utrecht;3572 LA Utrecht;Noordoost;Huizingalaan, Karel Doormanlaan e.o.;Zorg;Verstandelijke beperking;Woonzorgcentrum;Verstandelijke beperking;Mensen met een verstandelijke beperking;0900-2111222 / 030-2724745;;https://www.careyn.nl/locaties/utrecht/utrecht/nieuw-bleyenburg/;http://www.careyn.nl;
136557;457403;Samuel Muller;Stichting Sociale Huisvesting (SSH);Willem van Abcoudeplein;15;;;Willem van Abcoudeplein 15;3515 BX;Utrecht;3515 BX Utrecht;Noordoost;Tuinwijk-west;Zorg;Verpleging en verzorging ouderen;Beschut wonen;Verpleging en verzorging ouderen;Ouderen;;;;;
138120;457209;Leger des Heils hostel De Hoek;Leger des Heils;Kögllaan;25;;;Kögllaan 25;3571 PZ;Utrecht;3571 PZ Utrecht;Noordoost;Voordorp/Voorveldsepolder;Zorg;Verslavingszorg;Beschermd wonen, activering, hostel;Verslavingszorg;Drugsverslaafden;030-2721218;middennederland@legerdesheils.nl;http://www.legerdesheils.nl/midden-nederland;;
136712;456973;De Kade;Lijn5;Willem van Noortstraat;25;;;Willem van Noortstraat 25;3514 GA;Utrecht;3514 GA Utrecht;Noordoost;Tuinwijk-oost;Zorg;Maatschappelijke opvang;Kamertrainingscentrum;Maatschappelijke opvang;Meiden;088-513 16 26;info@ln5.nl;http://www.ln5.nl;;
137861;457421;Hamakerlaan;Lijn5;Hamakerlaan;5;;;Hamakerlaan 5;3571 ZE;Utrecht;3571 ZE Utrecht;Noordoost;Tuindorp-oost;Zorg;Maatschappelijke opvang;Kamertrainingscentrum;Maatschappelijke opvang;Meiden;088-513 16 26;info@ln5.nl;http://www.ln5.nl;;
137410;457205;Corporatiehotel 1;De Tussenvoorziening;Blauwkapelseweg;135;;;Blauwkapelseweg 135;3572 KE;Utrecht;3572 KE Utrecht;Noordoost;Zeeheldenbuurt, Hengeveldstraat e.o.;Zorg;Maatschappelijke opvang;Begeleid wonen;Maatschappelijke opvang;Dreigend daklozen;030-2711122;medewerkerscorporatiehotel@tussenvoorziening.nl;http://www.tussenvoorziening.nl;;
136671;456541;Nachtopvang Weerdsingel;De Tussenvoorziening;Weerdsingel Oostzijde;34;;;Weerdsingel Oostzijde 34;3514 AC;Utrecht;3514 AC Utrecht;Noordoost;Vogelenbuurt;Zorg;Maatschappelijke opvang;Nachtopvang;Maatschappelijke opvang;Mensen die niet rechtmatig in Nederland verblijven, ongedocumenteerden;030-2730407;nachtopvang@tussenvoorziening.nl;http://www.tussenvoorziening.nl;;
134798;459268;Youké Regiokantoor;Youké;Orinocodreef;21;;;Orinocodreef 21;3563 ST;Utrecht;3563 ST Utrecht;Overvecht;Vechtzoom-noord, Klopvaart;Zorg;Maatschappelijke opvang;Jeugd- en opvoedhulp, crisisopvang, ambulante spoedhulp;Maatschappelijke opvang;Kinderen en jongeren van 0 tot 23 jaar, kinderen en jongeren met jeugdzorgindicatie;030-2620014 / 0800-4005000;start@youke.nl;http://www.youke.nl;;
138399;458124;Voordorp;Reinaerde;Samora Machelstraat;6 t/m 10;;;Samora Machelstraat 6 t/m 10;3573 XK;Utrecht;3573 XK Utrecht;Noordoost;Voordorp/Voorveldsepolder;Zorg;Verstandelijke beperking;Beschermd wonen, groepswonen;Verstandelijke beperking;Mensen met een verstandelijke beperking;030-2721970;voordorp@reinaerde.nl;http://www.reinaerde.nl;;
