Leverancier;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS specifiek;Eindtotaal
3D Medicines (Beijing) Co., Ltd;;;;;;8;8
3DX-RAY;;;2;;;;2
A.M.S. Firma A. Vos & Zoons;;1;;;;;1
AB Sciex EDC B.V.;;1;2;;;;2
Accenture B.V.;;;;;;4;4
ACE Pharmaceuticals Sales B.V.;;;;;;4;4
ACTALIA Technopole Alimentec;;;;;1;;1
ACTIVE Bioscience GmbH;;1;;;;;1
AD eco advies;;;;;2;;2
Admiraal De Ruyter Ziekenhuis B.V.;;;;;;1;1
Adquipment Medical B.V.;;;;;;4;4
AethiQs B.V.;;;;;;2;2
AEVES B.V.;;;;;;3;3
Agilent Technologies Netherlands B.V.;;2;2;;;;3
Air Quality Monitoring Consultancy;;;;;1;;1
AJ Vaccines A/S;;;;;;7;7
ALcontrol Laboratories;;;;;1;;1
Al-Haya Medical Company Medicines & Hospitals Supplies;;;;;;2;2
Alliance Healthcare;;2;;;;;2
Altec IndustriÃƒÂ«le Identificatie;;1;;;;;1
Ameco Adviesgroep Milieubeleid B.V.;;;;;2;;2
Animal & Plant Heath Agency;1;;;;;;1
Anneke Sinnema;;;;;;2;2
Annemarie van Summeren B.V.;;;;;;2;2
Anoniem_VWS_2;;;;;1;;1
Anoniem_VWS_5;;;;;;1;1
Anthos Labtec B.V.;;;1;;;;1
Antibodies-online GmbH;;1;;;;;1
Antonides;;1;;;;;1
Apotheek Planetenbaan;;1;;;;;1
Applikon Biotechnology B.V.;;;;;;7;7
Aquaplantsonline;;;;1;;;1
ARAS Security B.V.;;1;;;;;1
ARCADIS Nederland B.V.;;;;;1;;1
ARCH & HOOK Holding B.V.;;;;;;3;3
ArchiQ;;;;;;1;1
Arentshorst Onderzoek Ontwerp & Advies;;;;;2;;2
Asbest Consult Nooitgedacht;;;;;1;;1
Asogem Nederland;;1;;;;;1
Astellas Pharma Europe B.V.;;;;;;6;6
Auxilium HSE Coöperatie U.A.;;;;;1;;1
Avanca International;;;;;;2;2
Avandis C.V.;;;;;;5;5
Avans Hogeschool;;;;;1;;1
Aviv B.V.;;;;;2;;2
AW-ChemAdvice;;;;;1;;1
B. Braun Medical B.V.;;1;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;2;1;;;;2
Bakker Organisatieadvies;;;;;1;;1
BaseClear B.V.;5;2;;;;;5
Basegene B.V.;1;;;;;;1
Bax & Company B.V.;;;;;1;;1
BB - NCIPD Ltd.;;;;;;2;2
BD Infection Prevention BV;;1;;;;;1
Beckman Coulter Nederland B.V.;;2;1;;;;3
Becton Dickinson;;4;3;;;;4
Beijing Aeonmed CO., LTD;;;;;;7;7
Beijing Etemity Elecironic Technology Co;;;;;;8;8
Beijing Siriusmed Medical Device Co. Ldt;;;;;;7;7
Beldico B.V.;;1;;;;;1
Belimed B.V.;;;2;;;;2
Benefit Inkoopadviesgroep B.V.;;;;;;3;3
Bentham Instruments Ltd;;1;;;;;1
Bento Presentaties;;;;;;1;1
Best Global Logistics B.V.;;;;;;4;4
Betalingen Binnenland;;;;;1;;1
Beun- de Ronde B.V.;;;4;;;;4
Bevaplast B.V.;;1;;;;;1
Bijwerkingencentrum Lareb;;;;;4;;4
Bilthoven Biologicals B.V.;3;3;4;4;3;;5
Bio Trading Benelux B.V.;;3;;;;;3
Bio-Connect B.V.;;3;;;;;3
Bio-Connect Diagnostics B.V.;;3;;;;;3
Bio-Connect Services B.V.;;6;;1;;1;6
Biognost B.V.;;4;1;;;;4
BioLegend Europe B.V.;;4;;;;;4
Biolegio B.V.;1;4;;;;;4
bioMÃƒÂ©rieux Benelux B.V.;;3;3;;;;4
Bio-Rad Laboratories B.V.;;4;2;;;;4
Biosisto B.V.;;1;;;;;1
BIOSYNTH s.r.o.;;1;;;;;1
Biozymtc B.V.;;1;;;;;1
Bisschoff Medical Research;;;;;2;;2
BKB B.V.;;;;;;1;1
BKV Artsen Intermediair B.V.;;;;;;2;2
BKV Groep B.V.;;;;;;6;6
BKV Zorg B.V.;;;;;;5;5
Bodinco B.V.;;1;;;;;1
bol.com B.V.;;1;;;;;1
Boom B.V.;;4;1;;;;4
Borgwaldt Technik GmbH;;1;2;;;;2
Bos Luchttechniek;;;;;;2;2
BPO Nederland B.V.;;;;;;2;2
Brady B.V.;;1;;;;;1
Bramer Holding B.V.;;;;;;2;2
Braxwell.com B.V.;;;;;;2;2
Breathomix B.V.;;;;;;8;8
Bronson Incubator Services B.V.;;;1;;;;1
Brookwood Biomedical;;1;;;;;1
Bruggeling Holding B.V.;;;;;;3;3
Bruins I.A.K.;;;;;2;;2
Bruker Nederland B.V.;;1;;;;;1
Brunschwig Chemie B.V.;;2;;;;;2
BSA Schaderegeling B.V.;;;;;;;
BSI Assurance UK Ltd;;;;;;2;2
BSI Group The Netherlands B.V.;;;;;;2;2
BT Brammer B.V.;;1;;;;;1
BTG International Protherics Medicines Development;;;;;;3;3
Bundesamt für Strahlenschutz;;;;;1;;1
Bureau KLB;;;;;2;;2
Bureau Veritas Industrial Services;;;1;;;;1
Buro Blauw B.V.;;1;;;;;1
Buveco Gasdetection B.V.;;;1;;;;1
C. Meerbeek B.V.;;;;;;2;2
Calculus Software B.V.;;;;;1;;1
Caliz B.V.;;;1;;;;1
Cansativa GmbH;;;;;;1;1
Cardan Technobility B.V.;;;;;;2;2
CareFusion Netherlands 238 B.V.;;;1;;;;1
CarePack Holland B.V.;;1;;;;;1
Carl Roth GmbH+Co.KG;;1;;;;;1
Carl Zeiss B.V.;;;1;;;;1
Carrosseriefabriek Harderwijk B.V.;;;1;;;;1
CasaGrande B.V.;;;;;1;;1
Cauberg-Huygen B.V.;;;;;2;;2
CE Delft;;;;;1;;1
Cell Signaling Technology Europe B.V.;;3;;;;;3
Centers for Disease Control zie nummer 18433;;;;;;2;2
Centrum voor Wetenschaps- en Technologische Studies B.V.;;;;;2;;2
Cepheid Benelux;;3;4;;;;4
CERC Cambridge Environmental Research;1;;;;;;1
CERULEAN;;1;1;;;;1
CGI Nederland B.V.(Logica Ned.B.V.);;;;;;1;1
Charles River Laboratories Den Bosch B.V.;;;;;1;;1
Chubb Fire & Security Groningen;;;1;;;;1
Cinq ICT;;;;;;2;2
Circular Earth;;;;;2;;2
CleverFranke B.V.;;;;;;6;6
Clindia Benelux B.V.;;1;;;;;1
Clinical Trial Service B.V.;;;;;4;;4
Clinigen Healthcare Ltd.;;;;;;4;4
Co. Van Beek Generatoren;;;1;;;;1
Coach en Train Interim Management B.V.;;;;;;4;4
CoaChrom Diagnostica GmbH;;1;;;;;1
COMPAREX Nederland B.V.;;;;;;2;2
Complement Technology, Inc.;;1;;;;;1
Compumatica secure networks B.V.;;;;;;4;4
Coneno GmbH;;;;;2;;2
Coöperatie Nextco U.A.;;;;;2;;2
Corvers Procurement Services B.V.;;;;;;1;1
Council of Europe Minority Youth Committees;;1;;;;;1
Covetrus B.V.;;1;;;;6;6
Craft Management Consultants B.V.;;;;;1;;1
CrisisTox Consult;;;;;1;;1
CSL Behring B.V.;;;;;;4;4
D&B;;;;;;2;2
Da Vinci Laboratory Solutions B.V.;;1;1;;;;1
Dalsup B.V.;;1;;;;;1
DAS Rechtsbijstand;;;;;;1;1
Dbvision B.V.;;;;;2;;2
DDL Diagnostic Laboratory B.V.;2;3;;;;6;6
De Milieutafel;;;;;2;;2
De Winter Information Solutions;;;;;;4;4
de Witte Raaf - Rutger J. van der Gaag R.O.C.;;;;;1;;1
DEKRA Certification B.V.;;;;;;2;2
Deloitte Consulting B.V.;;;;;;1;1
Deloitte Risk Advisory B.V.;;;;;;1;1
DEMCON macawi respiratory systems B.V.;;;;;;9;9
Denios B.V.;;;1;;;;1
Dermatologie St. Antonius Ziekenhuis;1;;;;1;;1
Desan;;;;;1;;1
Desk42;;;;;;3;3
Devrimed B.V.;;7;;;;;7
DGMR Industrie Verkeer en Milieu B.V.;;;;;2;;2
DGMR Raadgevende Ingenieurs B.V.;;;;;3;;3
DHL Express bv (SameDay NL);;;;;;5;5
DiagnOptics Technologies B.V.;;;1;;;;1
Diakonessenhuis Utrecht;;;;;1;;1
DiaVentie Management Consulting;;;;;2;;2
DierenDokters Ede;;;;;;1;1
Dijkstra-Vereenigde B.V.;;1;2;;;;2
Diversey B.V.;;;;;;6;6
