Leverancier;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
!pet handel B.V.;;;;;;;;;1;;1
2Cheap B.V.;;;;;;;;;1;;1
A.J.F. Jansen B.V.;;;;;;;;1;;;1
ABN AMRO Bank N.V.;;;;;;;;;;1;1
Absoluta Food and Facilities B.V.;1;;;;;;;;;;1
Adamse Beheer Lopik B.V.;;;;;;;3;;;;3
Adivo;;;;;;;;1;;;1
Advion B.V.;;;;5;;;;;;;5
AESTIC;;;;;;;;1;;;1
Afas Software B.V.;;;;;;;;;1;;1
AGIN Pranger Gerechtsdeurwaarders;1;;;;;;;;;;1
Ahrend Nederland B.V.;;;;;;;;9;;;9
Akkermans Holding B.V.;;;;;;;;1;;;1
Albe Technieken B.V.;;;2;;;;;;;;2
Albron Nederland B.V.;;2;;;;;;;;;2
Alpheios B.V.;;;;2;;;;;;;2
Altena's Bedrijfs Service B.V.;;;;1;;;;;;;1
Alternate Computerversand Nederland;;;;;;;;;1;;1
American Express International Inc.;;;;;;;;;;1;1
Anaco & Greeve International B.V.;;1;;;;;;;;;1
Anlag International B.V.;;;;;;;;2;;;2
Anoniem_FIN_6;;;;;1;;;;;;1
Anoniem_FIN_62;;;;;1;;;1;1;;1
Ans Kros Groenten en Fruit;;1;;;;;;;;;1
Antalis B.V.;;;;;;;;;1;;1
Anticimex;;;;1;;;;;;;1
Antonisen B.V.;;;;;7;;;;;;7
Art Packers & Schippers B.V.;;;;;1;;;;;;1
Artpub B.V.;;;;;;;;1;;;1
ASB Security B.V.;;;1;;;;;;;;1
Asito Specialistische Diensten Noord B.V.;;;;1;;;;;;;1
Auto Kuzee B.V.;;;;;1;;;;;;1
Autosleepbedrijf Sprankenis V.O.F.;;;;;1;;;;;;1
AVR-Afvalverwerking B.V.;;;;;;;3;;;;3
AWP Services NL B.V.;;;;;7;;;;;;7
Azerty;;;;;;;;;1;;1
B.V. Eerste Hulp Dichtbij!;;;1;;;;;;;;1
Baert NV;;1;;;;;;;;;1
Bakkerij Moeskops;;1;;;;;;;;;1
Bakkerij Van der Wal-Jolink;;1;;;;;;;;;1
Bakkerij Voordijk Ridderkerk B.V.;;1;;;;;;;;;1
Bakkery C.J. van Kempen;;1;;;;;;;;;1
Bambook v.o.f.;;;;;;;;;1;;1
Bank.bak. Chocolaterie van Straaten V.O.F.;;1;;;;;;;;;1
Banketbakkerij Boheemen;;1;;;;;;;;;1
Banketbakkerij M.J. van Beek;;1;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;;1;;;;;;;;;1
Banketbakkerij Rijkhoff B.V.;;1;;;;;;;;;1
Banketbakkerij Tamminga en Verweij;;1;;;;;;;;;1
BarentsKrans Co�peratief U.A.;;;;;;;2;;;;2
Bavak Beveiligingsgroep B.V.;;;6;;;;;;;;6
BCA Autoveiling B.V.;;;;;1;;;;;;1
BCC (Elektro-Speciaalzaken) B.V.;;;;;;;;;1;;1
BCS Group B.V.;;;;;1;;;;;;1
Bedrijfs- en Milieurecherchebureau BMR;;;;;;;1;;;;1
Bergh Brandkasten B.V.;;;;;;;;1;;;1
BergingsCombinatie Utrecht (B.C.U.) v.o.f.;;;;;1;;;;;;1
Bever B.V.;;;;;;;;;1;;1
Blancco (Software) Netherlands B.V.;;;;;;;3;;;;3
BlueDogConnection B.V.;;;;;;;;;6;;6
BM Uitzendbureau B.V.;;;;;1;;;;;;1
Boerhof Projectinrichters;;;;;;;;5;;;5
Bolt V.O.F.;;;;;1;;;;;;1
Boma Nederland B.V.;;;;1;;;;;;;1
Bouwsteenwinkel;;;;;;;;1;;;1
BovÃ© B.V.;;;;1;;;;;;;1
Bredox B.V.;;;;;;;5;;;;5
Breijer Techniek West B.V.;;1;;;;;;;;;1
Brezan Automaterialen B.V.;;;;;;;;1;;;1
Brilliant Group B.V.;;;;1;;;;;;;1
Brink's Cash Management (NL) B.V.;;;1;;;;;;;;1
Brink's Solutions Nederland B.V.;;;2;;;;;;;;2
BSS-van Paddenburg V.O.F.;;;;1;;;;;;;1
Buyitdirect.com B.V.;;;;;;;;1;;;1
C3Print;;;;;;;;;1;;1
Calendula and living;;;;;;;;1;;;1
Canon Nederland;;;;;;;;;7;;7
Carel Lurvink Facility B.V.;;;;1;;;;;;;1
CarePack Holland B.V.;;;;;;;2;;;;2
CCV International B.V.;;;;;;;;;;1;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;;;;;;1;;1
Centralpoint Nijmegen B.V.;;;;;;;;;9;;9
Chocolaterie Bruns;;1;;;;;;;;;1
Coöperatief City Terminal UA;;;;;1;;;;;;1
Conrad Electronic Benelux B.V.;;;1;;;;;1;1;;1
Coolblue B.V.;;;;;;;;;1;;1
Cymax E-Products B.V.;;;;;;;;;2;;2
D. en P. van Beek;;;;;;;;;1;;1
DataExpert B.V.;;;;;;;;;1;;1
De Ambachtelijke Bakker Theo Engelen B.V.;;1;;;;;;;;;1
De Haas Maassluis B.V.;;;;;2;;;;;;2
de Jonge Internationale Berging en Transport;;;;;1;;;;;;1
De Kultuurkoerier;;;;;1;;;;;;1
De Nederlandse Kluis B.V.;;;1;;;;;;;;1
De Stempelplaats B.V.;;;;;;;;;1;;1
De Tijd' Bedrijfskleding;;;;;;;;;1;;1
Delta Cargo Container Services B.V.;;;;;3;;1;;;;3
Delta International Promotioneel B.V.;;;;;;;;;2;;2
Denios B.V.;;;;;;;;2;;;2
Detecto-Command-Systems B.V.;;;;;;;;1;;;1
DHL International B.V.;;;;;7;;;;;;7
