Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
200 OK;;;;;;1;;1
2-Systems;;1;;;;;;1
4Minds;;1;;;;;;1
A.B. Info Internet Services;;;1;;;;;1
A.T. Management Consultancy;1;;;;;;;1
Accenture;;7;3;;;;;7
ADLIB Information Systems (inc Axiell);;;;1;;;;1
Advisie;;;1;1;;;;1
AENC Groep (incl. A&C en AENC Audiovisual, AENC Presentations);1;;1;;;;;1
Aenova Software;;;1;1;;;;2
AES Security Management;;1;1;;;;;1
Agilent Technologies;;1;1;;;;;1
Allround Automations;;1;;;;;;1
Altec Industriele Identificatie;1;;;;;;;1
Alterian (incl. Mediasurface);;;2;;;;;2
Amain Solutions;;1;;;;;;1
Arconell;;1;;;;;;1
Aris;;2;;;;;;2
Atos;;2;7;;;;;7
AvanTimes;;;;;;1;;1
AViste;1;;;;;;;1
Axway;1;;1;;;;;1
B&A Groep;;2;;;;;;2
B-Able;;3;;;;;;3
Bartimeus (incl. Stichting Bartiméus Accessibility);;;1;;;;;1
BCT Automatisering;;2;1;;;;;2
Best Desktop Solutions;;2;;;;;;2
Between;;;3;;;;4;5
Beun en De Ronde;;;1;;;;;1
Bio Connect Services;;;1;;;;;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);1;1;1;;;;;1
Bizz'Co;;;1;;;;;1
BlackIP;;;1;;;;;1
Bluedesk Group;;;1;;;;;1
Bol.Com;1;;;;;;;1
BPI Services;;;1;;;;;1
Bruker (incl. Chemical Analysis, Axs, Optics);;;1;;;;;1
Brunschwig Chemie;;;;;;;1;1
BT Global Services (incl. Syntegra);4;;5;2;;;;6
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);1;1;;;;3;;3
Btsoftware;;1;;;;;;1
Bureau G.I.T;1;;;;;;;1
