;Departement;Sector;Organisatie;Plaats;Functienaam;Motivatie;
1;BuZa;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Buitenlandse Zaken;DEN HAAG;Senior beheers-medewerker;;
2;BZK;Gemeenten;Gemeente Tilburg (NB);TILBURG;Burgemeester;"De norm wordt overschreden als gevolg van de kosten van de dienstauto; de toegepaste regeling is conform het rechtspositiebesluit burgemeesters.     ";
3;BZK;Gemeenten;Gemeente Zoetermeer (ZH);ZOETERMEER;Algemeen Directeur;"Wegens beÎindigen dienstverband compensatie 1 jaar pensioenopbouw en 
toekenning proportionele ambtsjubileum     ";
4;BZK;Gemeenten;Veiligheidsregio Zeeland;MIDDELBURG;Directeur;Regeling i.v.m. beeindiging dienstverband per 01-04-2013     ;
5;BZK;Overig;Veiligheidsregio Rotterdam Rijnmond;ROTTERDAM;Regionaal commandant;Door werkgevers bijdrage overgangsrecht LOGA komt betrokkene boven de norm. Dit is een vorm van levensloopregeling     ;
6;BZK;Politie;Korps Landelijke Politiediensten;Driebergen;Korpschef;Betrokkene heeft een aanstelling van 39,6 uur per week, terwijl een standaard aanstelling uitgaat van een werktijd van 36 uur. De hoogte van het inkomen is bij aanstelling vastgesteld in overleg met de minister van BZK (thans Min. Veiligheid en Justitie     ;
7;BZK;Politie;Politie Utrecht;UTRECHT;Lid Korpsleiding;Conform CAO     ;
8;BZK;Politie;Politieregio Amsterdam-Amstelland;AMSTERDAM;(ex) Korpschef;De berekening van het inkomen is geschiedt conform de regelgeving van de WOPT. Contracten zijn aangegaan voor de inwerkingtreding van de WOPT, bij nieuwe contracten wordt rekening gehouden met de WOPT.     ;
9;BZK;Politie;Politieregio Amsterdam-Amstelland;AMSTERDAM;Hoofd Bedrijfsinformatie en Operatien;De berekening van het inkomen is geschied conform de regelgeving van de WOPT. Contracten zijn aangegaan voor de inwerkintreding van de WOPT, bij nieuwe contracten wordt rekening gehouden met de WOPT.     ;
10;BZK;Politie;Politieregio Amsterdam-Amstelland;AMSTERDAM;Plaatsvervangend Korpschef;De berekening van het inkomen is geschied confom de regelgeving van de WOPT. Contracten zijn aangegaan voor de inwerkingtreding van de WOPT, bij nieuwe contracten wordt rekening gehouden met de WOPT.     ;
11;BZK;Politie;Politieregio Brabant Zuid-Oost;EINDHOVEN;Executief medewerker;Cumulatie van salaris en een tegemoetkoming bij uitdiensttreding     ;
12;BZK;Politie;Politieregio Gelderland-Zuid;NIJMEGEN;hondengeleider;In 2011 is als gevolg van een gerechtelijke procedure met een personeelslid een betaling verricht ten aanzien van achterstallig loon, schadeloosstelling en advocaatkosten die boven de Balkenende norm uitgekomen is. Met het ministerie van V&J is afgesproken een melding in de jaarrekening te maken.     ;
13;BZK;Politie;Politieregio Haaglanden;'S-GRAVENHAGE;Divisie manager;storting levensloop     ;
14;BZK;Politie;Politieregio Rotterdam-Rijnmond;ROTTERDAM;Korpschef;Betreft gemaakte arbeidsvoorwaardenafspraak met Korpsbeheerder bij aanstelling. Deze afspraak is getoetst en goedgekeurd door het departement.     ;
15;BZK;Politie;Politieregio Rotterdam-Rijnmond;ROTTERDAM;Voormalig Korpschef;Betreft gemaakte arbeidsvoorwaardenafspraak met Korpsbeheerder bij aanstelling. Deze afspraak is getoetst en goedgekeurd door het departement.     ;
16;BZK;Politie;Politieregio Rotterdam-Rijnmond;ROTTERDAM;Voormalig Plv. Korpschef;Er is sprake van stortingen in een voorziening levensloop ter toekomstige compensatie van landelijk gewijzigde pensioenafspraken. Deze stortingen tellen wel mee in de toetsing van het inkomen aan het normbedrag, maar worden niet uitbetaald bij het salaris.     ;
17;BZK;Politie;Politieregio Zuid-Holland Zuid;DORDRECHT;Korpschef;Norm is overschreden door de Inhaaltoelage Bezwarende Functie (ITBF). Deze wettelijke toelage is in feite een correctie over voorgaande jaren.     ;
