Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
!JES jij en scheiden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
!pet Groningen;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
&Maes B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;2
&Schuurman;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
(BBP) Beerens-Business Press B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
(Food)design Franke Elshout;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
@Nieuwkuijk B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
@Seven Mediabeheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
050 taxicentrale;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
073 Meeting Company B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
076 Personenvervoer;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1024 Solutions;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
10Force B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
113 Produkties B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
123 Machineverhuur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
123Accu B.V.;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1
123boekingen.nl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
123bpm.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
123Telcom B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
123TOP;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
12Connect B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
'1e Klas' Grand Café Restaurant;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1-Line Safety & Security Intermediairs B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
1medisch adviseur B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
1st. Sup. Int.le di Scienze Criminali;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2 Know How;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
21 The Netherlands;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
24 uurs-apotheek Waterland C.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
2Do Events;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2Essence;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
2MB Consultancy;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
2nd Floor Up B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2-nice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
2tact B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2Twintig Public Relations B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;3
2useit;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
32 Eten & Drinken;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
3DMens;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
3K Horeca B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
3M Nederland B.V.;;;1;;;;;;;;;;;4;;;;;1;4;;;;;;5;1;;;;;;;;;1;6
3Sixtysix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
3Stones Keniaans Restaurant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
4apps group B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
4b-Plus B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1
