Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;;6;;;1;6
(H)eerlijk lunchen;;;;1;;;1;;;1
'1e Klas' Grand Café Restaurant;;;;;;;1;;;1
2 Know How;;;;;;1;;;;1
2Aline Carrière Management B.V.;;;1;;;;;;;1
2useit;;;;;;1;;;;1
3K Horeca B.V.;;;;;;;1;;;1
50+ Carrière B.V.;;;;;1;;;;;1
5hart-IT Opleidingen B.V.;;;;;;2;;;;2
7AM Den Haag B.V.;;;;;;1;;;1;1
7habits B.V.;;;;1;;;;;;1
7Zebra's;;;;1;;;;;;1
A. Twigt;;;;;;1;;;;1
A.C. Brouwer;;;;;;;;;1;1
A.J. Bronkhorst;;;;;1;;;;;1
A.J. catering & Meer;;;;;;1;;;1;1
a.t. groep;;;;;1;;;;;1
A.V. Webwinkels;;;;;;;1;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;1;;;;;;1
AAA Display B.V.;;;;1;;;;;;1
Aaltje Vincent & Company;;;;;1;;;;;1
Aandacht voor Eten Deli;;;;1;;;;;;1
Abrikoos Utrecht B.V.;;;;1;;;1;;;1
Absoluta Food and Facilities B.V.;;;;;;;;;1;1
AC Restaurant De Meern;;;;;;;;;1;1
Academie voor het Leven;;;;;1;;;;;1
Academie voor Middenmanagement (AvMM) Coöperatie U.A.;;;;;;1;;;;1
Academy Payroll Professionals;;;;;;1;;;;1
Accountantskantoor de Kock;;;;;;1;;;;1
Achmea Pensioen- en Levensverzekeringen N.V.;1;;;;;;;;;1
Adromi Management Consultancy;;;;;;2;;;;2
Aes Consultancy;;;;;;1;;;;1
AEVES B.V.;;;;;;;;;1;1
Ahoy' Horeca B.V.;;;;1;;;;;;1
Ahoy Rotterdam N.V.;;;;;;;1;;;1
Ahrend Nederland B.V.;;;2;;;;;;;2
Ahuis Organisatieontwikk. Training Coaching;;;;;;1;;;;1
AIM4 B.V.;;;;;;;;;1;1
Akkermans Leisure & Golf;;;;;;;;;1;1
Alex Aalders Bloemist;;;;;;;;;1;1
All Day Greek markthal B.V.;;;;;;;;;1;1
Allfo Foto Services;;;;1;;;;;;1
Allium;;;;;1;;;;;1
Alpha Talen;;;;;;1;;;;1
Altimate Netherlands B.V.;;;;;;1;;;;1
AM Ringenaldus;;;;;;;;;1;1
AMADO;;;;1;;;;;;1
Amaze Escape Events;;;;;;;1;;;1
Amazing Bread Company B.V.;;;;1;;;;;;1
Amersfoortsche Stadsbrouwerij De Drie Ringen;;;;;;;1;;;1
Amershof B.V.;;;;;;;;;1;1
Amonett;;;;;;1;;;;1
An 't Roer B.V.;;;;;;;1;;;1
Andermanskeuken;;;;;;;1;;;1
Andrea;;;;;;;;;1;1
Anita de Wit;;;;;;;;;1;1
Anker & Kompas;;;;;;1;;;;1
Anovis B.V.;;;;1;;;;;;1
AOG Contractonderwijs B.V.;;;;;;3;;;1;3
AORTA Bi Solutions B.V.;;;;;;1;;;;1
Aqua Jutter;;;;1;;;;;;1
Aquabus B.V.;;;;;;;;;1;1
ArboVitale B.V.;;;7;;;;;;;7
Arcgis Gebruikersgroep Nederland;;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;;;5;;;;5
Ardis Organisatieontwikkeling B.V.;;;;;;3;;;;3
Arendshoeve B.V.;;;;;;1;;;;1
Ariadne Coaching & Organisatieontwikkeling;;;;;;1;;;;1
Array Media B.V.;;;;;;1;;;1;1
Arriva Touring;;;;;;;;;1;1
Art 4 You Decorations;;;;;1;;;;;1
Art Centre Delft;;;;;;;1;;;1
Ass. Autofauteuils B.V.;;;1;;;;;;;1
At Computing B.V.;;;;;;1;;;;1
Atelier de Pleijsterplaats;;;;;;;1;;;1
Athene Palace B.V.;;;;;;;1;;;1
Athlon Car Lease Nederland;1;;;;;;;;;1
Athlon Car Lease Nederland B.V.;;;;;;;;;2;2
Atos Nederland B.V.;3;;;;;5;;;1;5
ATP Business Travel B.V.;;;;;;;;;2;2
ATP Services B.V.;;;;;;;;;1;1
ATP Specials B.V.;;;;;;;;;3;3
ATWORKZ;;;;;;2;;;;2
Autobusbedrijf Doornbos B.V.;;;;;;;;;1;1
Autogrill Nederland Hotels B.V.;;;;;;;;;1;1
Automotive Publishing B.V.;;;;;;1;;;1;1
AutomotiveNL B.V.;;;;;;1;;;1;1
Auxilium Adviesgroep B.V.;;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;;;2;;;;2
AWVN (Algemene Werkg.ver. Nederland);;;;;;2;;;;2
Ayers Rock Island B.V.;;;;;;;1;;;1
B & T Productions;;;;;;;1;;;1
B.V. Copes SNEL;;;;;;;1;;;1
B.V. Inuk;;;;;;;1;;;1
B.V. Panorama Mesdag;;;;;;;;;1;1
B+B Vakmedianet B.V.;;;;;;2;;;1;2
B2B Productions;;;;;;1;;;1;1
Back to Balance - training en advies;;;;;;1;;;;1
Bakker & Schnabel B.V.;;;;;;1;;;;1
Bakker & Schnabel Training B.V.;;;;;;;;;1;1
Bakkerij Blanche;;;;1;;;;;;1
Bakkerij Elsevier;;;;;;;;;1;1
Bakkerij Filius;;;;;;;;;1;1
Bakkerij M. Michiels B.V.;;;;1;;;;;;1
Bakkerij Pots;;;;;;;1;;;1
Bakkerij Schuurmans;;;;;;;1;;;1
Balans4You;;;;;;1;;;;1
Banketbakkerij Boheemen;;;;1;;;1;;1;1
Banketbakkerij Borgman;;;;1;;;;;;1
Banketbakkerij en Chocolaterie De Snoeptiek;;;;1;;;1;;1;1
Banketbakkerij en Chocolaterie Wesseling B.V.;;;;;;;1;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;1;;;1
Banketbakkerij Mekking B.V.;;;;1;;;;;;1
Banketbakkerij Rodenburg B.V.;;;;1;;;;;;1
Banketbakkerij-Chocolaterie Lentelink;;;;;;;1;;;1
Banketbakkerij-Lunchroom Van Orsouw;;;;;;;1;;;1
Bar  Restaurant Taste;;;;1;;;;;;1
Bar Le Duc;;;;1;;;;;;1
Bar Moustache;;;;;;;1;;;1
Bar Restaurant La Vina;;;;1;;;2;;1;2
Bar Restaurant Pavlov B.V.;;;;;;;1;;1;1
Barbarossa Beach B.V.;;;;2;;;;;;2
Barend Beer B.V.;;;;;;;;;1;1
Barkasbus;;;;;;;;;1;1
Bart van Vliet Freelance Fotograaf;;;;1;;;;;;1
Basso Exploitatie B.V.;;;;;;;1;;;1
Battlefield Live Nederland B.V.;;;;;;;1;;;1
BDGF B.V.;;;;;;;1;;;1
BDO Holding B.V.;;;;;;1;;;;1
Beachclub Copacabana B.V.;;;;;;;;;1;1
Beauforthuis Exploitatie B.V.;;;;;;;1;;;1
Beekman Opleiding & Advies;;;;;;2;;;;2
Beelddenkwerk;;;;;;1;;;;1
Beijk Horeca B.V.;;;;1;;;;;;1
Beleidstheater;;;;;;1;;;;1
belevenisonderwijs;;;;;;1;;;;1
Belgisch Biercafé Olivier B.V.;;;;1;;;1;;;1
Ben Brummer Commerciële Presentaties;;;;;;;1;;;1
Berenschot B.V.;;;;;;1;;;;1
Berenschot Groep;;;;;;2;;;;2
Berenschot Groep B.V.;;;;;;1;;;;1
Berlitz Schools of Languages B.V.;;;;;;1;;;;1
Beroepsvereniging Vide;;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;;1;;;;1
Bert Klerk;;;;;;;;;1;1
Bestuursacademie;;;;;;1;;;;1
Bestuursacademie Nederland;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;;;2
Betty Wijntjes, coach loopbaan en ontwikkel.;;;;;;1;;;;1
Bezemer Kuiper & Schubad B.V.;;;;;;1;;;;1
Biardo Survival Suits B.V.;;;1;;;;;;;1
Biesbosch Museum;;;;;;;1;;;1
Bij Broeders;;;;;;;1;;;1
Bij Mario;;;;;;;1;;;1
BIJ12;;;;;;1;;;;1
Bijl Praktijk psycho sociaal advies/hulpvrl.;;;;;;1;;;;1
BijzonderStrafrecht B.V.;;;;;;1;;;;1
Bikkelhart B.V.;;;;;;1;;;;1
Bilderberg Grand Hotel Wientjes;;;;;;;;;1;1
Bilderberg Hotel De Buunderkamp;;;;;;;;;1;1
Bilderberg Hotel Wolfheze;;;;;;;;;1;1
Bind Academie B.V.;;;;;;1;;;;1
Biotechnische Vereniging Nederland;;;;;;1;;;;1
Biozymtc B.V.;;;;;;1;;;;1
Bis 26 B.V.;;;;1;;;;;1;1
