Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&Maes B.V.;;;;;;1;;;;1
(BBP) Beerens-Business Press B.V.;;;;1;;;;;;1
2Xplain V.O.F.;;;;;;1;;;;1
3K Horeca B.V.;1;;;;;;;;;1
5hart-IT Opleidingen B.V.;;;;;;2;;;;2
5P Trading;;;;1;;;;;;1
7AM B.V.;;;;1;;2;;;1;2
7Zebra's;;;;;;1;;;;1
A&W Cuisine B.V.;;;;1;;;;;;1
A. Krosenbrink Coach., Supervisie en Training;;;;;;1;;;;1
A. van Keulen Broekhuizen;;;;;;1;;;;1
a4 Training;;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;1;;;1
Abbink Metaal B.V.;;;;1;;;;;;1
About Flowers;;;;1;;;;;;1
ABP-Reclame;;;;1;;;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;1;;;1
Academie Lokale Belastingen;;;;;;1;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;;1
Academy for Leadership B.V.;;;;;;6;;;;6
Academy Payroll Professionals;;;;;;1;;;;1
Accor Hospitality Nederland N.V.;;;;;;;;;1;1
Acte De Présence;;;;;;1;;;;1
Activo;;;;;;1;;;;1
ACTME B.V.;;;;;;1;;;;1
ADO Hospitality & Events B.V.;;;;1;;;;;;1
Advies;;;;;;1;;;;1
Advies- & Gezondheidsbureau Jarid;;;1;;;;;;;1
Advop;;;;;;1;;;;1
AEVES B.V.;;;;;;;;;1;1
Afdeling Buitengewone Zaken;;;;1;;1;;;;2
Afrikaanderwijk Coöperatief UA;;;;1;;;;;;1
Albron Nederland B.V.;1;;;;;;;;;1
Algemene Stichting Horeca Onderwijs;;;;;;1;;;;1
Allianz Global Assistance;;;;;;;;;1;1
Altera Vastgoed N.V.;;;;;;2;;;;2
Altuition B.V.;;;;;;1;;;;1
Amaze Escape Events;;;;1;;;;;;1
Andermanskeuken;;;;1;;;;;;1
Andreas van Wagenberg B.V.;;;;;;1;;;;1
Anjoly NL B.V.;;;;;;;;;1;1
Anker & Kompas;;;;;;1;;;;1
Annalise Market Intelligence B.V.;;;;;;;;;1;1
Anne-Britt Petri;;;;;4;;;;;4
Annemarie Willems Producties;;;;1;;;;;;1
Anoniem 10;;;;;;1;;;;1
Anoniem 102;;;;;;3;;;;3
Anoniem 107;;;;;;1;;;;1
Anoniem 109;;;;1;;;;;;1
Anoniem 110;;;;1;;;;;;1
Anoniem 115;;;;;;1;;;;1
Anoniem 117;;;;;;1;;;;1
Anoniem 118;;;;;;1;;;;1
Anoniem 119;;;;1;;1;;;;1
Anoniem 120;;;;;1;;;;;1
Anoniem 121;;;;;;1;;;;1
Anoniem 122;;;;;;1;;;;1
Anoniem 123;;;;;;1;;;;1
Anoniem 124;;;;1;;;;;;1
Anoniem 127;;;;;;1;;;1;1
Anoniem 128;;;;1;;;;;;1
Anoniem 129;;;;1;;;;;;1
Anoniem 13;;;;;;1;;;;1
Anoniem 130;;;;1;;;;;;1
Anoniem 132;;;;1;;;;;;1
Anoniem 138;;;;1;;;;;;1
Anoniem 139;;;;1;;;;;;1
Anoniem 14;;;;;;2;;;;2
Anoniem 148;;;;;;;;;1;1
Anoniem 153;;;;;;1;;;;1
Anoniem 156;;;;;;1;;;;1
Anoniem 158;;;;;;1;;;;1
Anoniem 16;;;;;;1;;;;1
Anoniem 160;;;;;;1;;;;1
Anoniem 165;;;;;;;;;1;1
Anoniem 166;;;;;;1;;;;1
Anoniem 168;;;;1;;;;;;1
Anoniem 170;;;;;;2;;;;2
Anoniem 174;;;;1;;;;;;1
Anoniem 175;;;;1;;;;;;1
Anoniem 178;;;;;;1;;;;1
Anoniem 18;;;1;;;;;;;1
Anoniem 180;;;;1;;;;;;1
Anoniem 189;;;;1;;;;;;1
Anoniem 190;;;;1;;;;;;1
Anoniem 193;;;;1;;;;;;1
Anoniem 194;;;;;;1;;;;1
Anoniem 196;;;;1;;;;;;1
Anoniem 197;1;;;;;;;;;1
Anoniem 200;;;;2;;1;;;;2
Anoniem 204;;;;;;1;;;;1
Anoniem 205;;;;;;1;;;;1
Anoniem 206;;;;;;;;;1;1
Anoniem 208;;;;1;;;;;;1
Anoniem 209;;;;;;;2;;;2
Anoniem 210;;;;1;;;;;;1
Anoniem 211;;;;1;;;;;;1
Anoniem 213;;;;;;1;;;;1
Anoniem 214;;;;;;;;;1;1
Anoniem 215;;;;;;;;;1;1
Anoniem 223;;;;;;1;;;;1
Anoniem 225;;;;;;1;;;;1
Anoniem 226;;;;1;;;;;;1
Anoniem 228;;;;;;1;;;;1
Anoniem 229;;;;;;1;;;;1
Anoniem 231;;;;;;1;;;;1
Anoniem 232;;;;;;1;;;;1
Anoniem 235;;;;;;1;;;;1
Anoniem 237;;;;;;1;;;;1
Anoniem 238;;;;;;1;;;;1
Anoniem 240;;;1;;;;;;;1
Anoniem 242;;;;;;1;;;;1
Anoniem 243;;;;1;;;;;;1
Anoniem 244;;;;1;;;;;;1
Anoniem 245;;;;2;;1;;;;2
Anoniem 247;;;;1;;;;;;1
Anoniem 249;;;;1;;;;;;1
Anoniem 250;;;;1;;;1;;;1
Anoniem 251;;;1;;;;;;;1
Anoniem 252;;;;1;;;;;;1
Anoniem 254;;;;;;2;;;;2
Anoniem 255;;;;;;;;;1;1
Anoniem 257;;;;;;1;;;;1
Anoniem 259;;;;;;1;;;;1
Anoniem 260;;;;1;;;;;;1
Anoniem 261;;;;;;1;;;;1
Anoniem 263;;;;;;2;;;;2
Anoniem 265;;;;;;2;;;;2
Anoniem 268;;;;1;;;;;;1
Anoniem 269;;;1;;;;;;;1
Anoniem 27;;;;;;1;;;;1
Anoniem 271;;;;;;1;;;;1
Anoniem 273;;;;;;1;;;;1
Anoniem 274;;;;;;;;;1;1
Anoniem 28;;;;;;1;;;;1
Anoniem 280;;;;;;1;;;;1
Anoniem 282;;;;;;2;;;;2
Anoniem 284;;;;;;1;;;;1
Anoniem 289;1;;;;;;1;;;1
Anoniem 29;;;;1;;;;;;1
Anoniem 290;;;;;;1;;;;1
Anoniem 293;;;;1;;;;;;1
Anoniem 294;;;;;;1;;;;1
Anoniem 296;;;;;;1;;;;1
Anoniem 298;;;;1;;;;;;1
Anoniem 299;;;;1;;;;;;1
Anoniem 301;;;;;;1;;;;1
Anoniem 304;;;;;;1;;;;1
Anoniem 307;;;;1;;;;;;1
Anoniem 308;;;;;;1;;;;1
Anoniem 309;;;;;;1;;;;1
Anoniem 31;;;;;;1;;;;1
Anoniem 310;;;;;;1;;;;1
Anoniem 311;;;;;;;;;1;1
Anoniem 312;;;;;;1;;;;1
Anoniem 315;;;;;;2;;;;2
Anoniem 317;;;;;;;1;;;1
Anoniem 318;;;;;;2;;;;2
Anoniem 319;;;;;;1;;;;1
Anoniem 320;;;;;;2;;;;2
Anoniem 323;;;;;;;1;;;1
Anoniem 325;;;;1;;;;;;1
Anoniem 326;;;;1;;;;;;1
Anoniem 327;;;;;;2;;;;2
Anoniem 330;;;;;;1;;;;1
Anoniem 331;;;;;;1;;;;1
Anoniem 335;;;;;;1;;;;1
Anoniem 336;;;;;;1;;;;1
Anoniem 337;;;;1;;;;;;1
Anoniem 339;;;;;;1;;;;1
Anoniem 340;;;;1;;1;;;;1
Anoniem 345;;;;1;;;;;;1
Anoniem 346;;;;;;;;;1;1
Anoniem 348;;;;;;1;;;;1
Anoniem 349;;;;1;;;;;;1
Anoniem 350;;;;;;1;;;;1
Anoniem 353;;;1;;;;;;;1
Anoniem 354;;;;;;1;;;;1
Anoniem 356;;;;;;1;;;;1
Anoniem 36;;;;1;;;1;;;1
Anoniem 360;;;;;;1;;;;1
Anoniem 365;;;;1;;;;;;1
Anoniem 367;;;;1;;;;;;1
Anoniem 370;;;;;;1;;;;1
Anoniem 375;;;;1;;;;;;1
Anoniem 376;;;;;;1;;;;1
Anoniem 377;;;;;;1;;;;1
Anoniem 38;;;;;;1;;;;1
Anoniem 382;;;;;;1;;;;1
Anoniem 384;;;;;;1;;;;1
Anoniem 385;;;;1;;;;;;1
Anoniem 386;;;;1;;;;;;1
Anoniem 39;;;;1;;;;;;1
Anoniem 390;;;;;;1;;;;1
Anoniem 391;;;;1;;;;;;1
Anoniem 392;;;;;;;;;1;1
Anoniem 393;;;;;;1;;;;1
